-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mb9nknk1bfa62d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Dell Latitude Core i3/i5/i7 32GB RAM SSD 256GB Windows 11 Siap Pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.350.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Dell Latitude Core i3/i5/i7 32GB RAM SSD 256GB Windows 11 Siap Pakai
Rp
1.350.000
Cicilan
4.5
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-Core-i3-i5-i7-32GB-RAM-SSD-256GB-Windows-11-Siap-Pakai-i.230649038.12447121939?extraParams=%7B%22display_model_id%22%3A129158926143%2C%22model_selection_logic%22%3A3%7D&sp_atk=f52f728b-911b-480f-bcad-b7dddd4e7ed1&xptdk=f52f728b-911b-480f-bcad-b7dddd4e7ed1
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn6tm0mmooi032,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Dell Latitude Core i5 / Core i7 | RAM 16GB | SSD 512GB | Mulus / Second  / Original / Berkualitas / Bergaransi.,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.750.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Dell Latitude Core i5 / Core i7 | RAM 16GB | SSD 512GB | Mulus / Second / Original / Berkualitas / Bergaransi.
Rp
2.750.000
4.8
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-Core-i5-Core-i7-RAM-16GB-SSD-512GB-Mulus-Second-Original-Berkualitas-Bergaransi.-i.30169103.19027487468?extraParams=%7B%22display_model_id%22%3A226721256722%2C%22model_selection_logic%22%3A3%7D&sp_atk=dc3d727a-747c-4e9d-9d10-58c2da9eee50&xptdk=dc3d727a-747c-4e9d-9d10-58c2da9eee50
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmse6ovxpvcxba,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Dell Latitude E5420 14"" i5 4/8GB SSD 128/256GB Murah Bergaransi",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.359.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,78 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,,,"Laptop Dell Latitude E5420 14"" i5 4/8GB SSD 128/256GB Murah Bergaransi
Rp
1.359.000
4.8
78 Terjual
Tangerang",https://shopee.co.id/Laptop-Dell-Latitude-E5420-14-i5-4-8GB-SSD-128-256GB-Murah-Bergaransi-i.772901883.23952988988?extraParams=%7B%22display_model_id%22%3A355570630288%2C%22model_selection_logic%22%3A3%7D&sp_atk=e8a4fb32-1b2c-43a3-a33f-e8c004998192&xptdk=e8a4fb32-1b2c-43a3-a33f-e8c004998192
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-ma0zfx03ip0z85,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Dell Latitude 5310 / 5320 / 5410 / 5411 / 5420 / 5421/ 5430 / 7310 / 7320 / 7410 / 7420  i5 / i7 Gen 10 | Second Original Dan Murah,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.900.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,218 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Dell Latitude 5310 / 5320 / 5410 / 5411 / 5420 / 5421/ 5430 / 7310 / 7320 / 7410 / 7420 i5 / i7 Gen 10 | Second Original Dan Murah
Rp
4.900.000
4.9
218 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-5310-5320-5410-5411-5420-5421-5430-7310-7320-7410-7420-i5-i7-Gen-10-Second-Original-Dan-Murah-i.872249560.28412650069?extraParams=%7B%22display_model_id%22%3A29525050605%2C%22model_selection_logic%22%3A3%7D&sp_atk=f51b6532-5599-455a-80aa-9b945bd80e3f&xptdk=f51b6532-5599-455a-80aa-9b945bd80e3f
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlpxttr48lq888,,Laptop Dell Latitude 5320 i5 Gen 11 Core i5-1145G7 RAM 16GB/1TB SSD Siap Pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.630.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,7 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop Dell Latitude 5320 i5 Gen 11 Core i5-1145G7 RAM 16GB/1TB SSD Siap Pakai
Rp
3.630.000
-1%
5.0
7 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Laptop-Dell-Latitude-5320-i5-Gen-11-Core-i5-1145G7-RAM-16GB-1TB-SSD-Siap-Pakai-i.1746862462.46007130479?extraParams=%7B%22display_model_id%22%3A224660432104%2C%22model_selection_logic%22%3A3%7D&sp_atk=0d32d077-252f-45b3-9f53-4eae07c803d6&xptdk=0d32d077-252f-45b3-9f53-4eae07c803d6
https://down-id.img.susercontent.com/file/id-11134207-8224z-mk2ak41tupza2f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Dell Latitude 7430/7420/7320 Core i7 16GB Mulus Original Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.250.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,43 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Dell Latitude 7430/7420/7320 Core i7 16GB Mulus Original Bergaransi
Rp
5.250.000
4.6
43 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-7430-7420-7320-Core-i7-16GB-Mulus-Original-Bergaransi-i.24623010.28980366218?extraParams=%7B%22display_model_id%22%3A296517177254%2C%22model_selection_logic%22%3A3%7D&sp_atk=0885f51a-271b-4ec1-8969-723e2bcd81d3&xptdk=0885f51a-271b-4ec1-8969-723e2bcd81d3
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mcfy6w45aykb30,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Dell Latitude E Series Second Original,,Rp,2.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Laptop Dell Latitude E Series Second Original
Rp
2.200.000
5.0
12 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-E-Series-Second-Original-i.485212080.40009310035?extraParams=%7B%22display_model_id%22%3A375007380559%2C%22model_selection_logic%22%3A3%7D&sp_atk=f2a9fbf0-1050-4495-88b6-724178810085&xptdk=f2a9fbf0-1050-4495-88b6-724178810085
https://down-id.img.susercontent.com/file/id-11134207-82252-mg0d2elcuf4ca6,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Dell Latitude 5320 Intel Core i3  Gen 1125G4 Ram 8GB SSD 256GB/512GB Layar 13,3 Inch Laptop Second Bergaransi",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.700.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"Laptop Dell Latitude 5320 Intel Core i3 Gen 1125G4 Ram 8GB SSD 256GB/512GB Layar 13,3 Inch Laptop Second Bergaransi
Rp
5.700.000
Besok 12:00
Surabaya",https://shopee.co.id/Laptop-Dell-Latitude-5320-Intel-Core-i3-Gen-1125G4-Ram-8GB-SSD-256GB-512GB-Layar-13-3-Inch-Laptop-Second-Bergaransi-i.1526223742.27393152686?extraParams=%7B%22display_model_id%22%3A259045139836%2C%22model_selection_logic%22%3A3%7D&sp_atk=10b75591-cbbd-41d1-9f4d-3e7ef09c5c77&xptdk=10b75591-cbbd-41d1-9f4d-3e7ef09c5c77
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mb9ad10jxd0e16,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Latitude 5410 Core i5-i7 16GB 256GB 14"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.550.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"Dell Latitude 5410 Core i5-i7 16GB 256GB 14"" FHD
Rp
5.550.000
5.0
3 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Dell-Latitude-5410-Core-i5-i7-16GB-256GB-14-FHD-i.1526223742.42000616559?extraParams=%7B%22display_model_id%22%3A248740763344%2C%22model_selection_logic%22%3A3%7D&sp_atk=28718002-edc9-4be0-90e0-ccfcb217618b&xptdk=28718002-edc9-4be0-90e0-ccfcb217618b
https://down-id.img.susercontent.com/file/id-11134207-8224x-mhybj2q4s0zm33,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Dell Latitude 5320 I7 16GB 512GB SSD Bonus Tas Mouse,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.409.999,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-41%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Dell Latitude 5320 I7 16GB 512GB SSD Bonus Tas Mouse
Rp
4.409.999
-41%
5.0
8 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-5320-I7-16GB-512GB-SSD-Bonus-Tas-Mouse-i.500227963.55451875630?extraParams=%7B%22display_model_id%22%3A400179427002%2C%22model_selection_logic%22%3A3%7D&sp_atk=83df09ee-6ec8-434b-b3eb-449de626a8f2&xptdk=83df09ee-6ec8-434b-b3eb-449de626a8f2
https://down-id.img.susercontent.com/file/id-11134207-8224o-mjoglvm3m8lj27,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Second DELL VOSTRO 5300 (Intel Core i7-10210U) 8GB / 256GB NVMe | Dual VGA,,Rp,5.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kediri,,,"Laptop Second DELL VOSTRO 5300 (Intel Core i7-10210U) 8GB / 256GB NVMe | Dual VGA
Rp
5.500.000
5.0
1 Terjual
3-7 Hari
Kediri",https://shopee.co.id/Laptop-Second-DELL-VOSTRO-5300-(Intel-Core-i7-10210U)-8GB-256GB-NVMe-Dual-VGA-i.308226047.52201868062?extraParams=%7B%22display_model_id%22%3A335180411958%2C%22model_selection_logic%22%3A3%7D&sp_atk=c27460e6-00dc-449c-abb5-a124b1a87f7b&xptdk=c27460e6-00dc-449c-abb5-a124b1a87f7b
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn9mimh2tibk5e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,DELL LATITUDE 5410 | CORE I5 GEN 10 | RAM 16 GB | SSD 512 GB | SIAP PAKAI,,Rp,4.500.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,,"DELL LATITUDE 5410 | CORE I5 GEN 10 | RAM 16 GB | SSD 512 GB | SIAP PAKAI
Rp
4.500.000
< 2 Hari
Kab. Sleman",https://shopee.co.id/DELL-LATITUDE-5410-CORE-I5-GEN-10-RAM-16-GB-SSD-512-GB-SIAP-PAKAI-i.439741471.50059146523?extraParams=%7B%22display_model_id%22%3A415809793072%2C%22model_selection_logic%22%3A3%7D&sp_atk=850b40bb-5f5d-4980-abb3-c77f126b92e9&xptdk=850b40bb-5f5d-4980-abb3-c77f126b92e9
https://down-id.img.susercontent.com/file/id-11134207-81ztq-meuubhay68010e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Laptop Dell Latitude 7410 i5/i7 16GB SSD 14""",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.300.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"Laptop Dell Latitude 7410 i5/i7 16GB SSD 14""
Rp
5.300.000
Besok 12:00
Surabaya",https://shopee.co.id/Laptop-Dell-Latitude-7410-i5-i7-16GB-SSD-14--i.1526223742.44453924820?extraParams=%7B%22display_model_id%22%3A196114487531%2C%22model_selection_logic%22%3A3%7D&sp_atk=c54c2bf1-b200-4d76-bc6d-dc78a3865c10&xptdk=c54c2bf1-b200-4d76-bc6d-dc78a3865c10
https://down-id.img.susercontent.com/file/sg-11134201-23010-7pp9y2sq5qmv88,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop i5 CORE i5 i7 Dell / RAM 8GB / SSD 512GB / SSD 256GB /2TB/1TB/ 14"" - Windows 10, Laptop Bekas Dell i5 Core i5",,Rp,1.400.000,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.6,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,"Laptop i5 CORE i5 i7 Dell / RAM 8GB / SSD 512GB / SSD 256GB /2TB/1TB/ 14"" - Windows 10, Laptop Bekas Dell i5 Core i5
Rp
1.400.000
Cicilan
4.6
1RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Laptop-i5-CORE-i5-i7-Dell-RAM-8GB-SSD-512GB-SSD-256GB-2TB-1TB-14-Windows-10-Laptop-Bekas-Dell-i5-Core-i5-i.20507921.1186092271?extraParams=%7B%22display_model_id%22%3A98892035260%2C%22model_selection_logic%22%3A3%7D&sp_atk=72a47c4e-4c0d-41cb-94d6-de8d5dd52914&xptdk=72a47c4e-4c0d-41cb-94d6-de8d5dd52914
https://down-id.img.susercontent.com/file/id-11134207-822wh-mn2oaolns7i9d1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 5330 i7Gen12 8GB SSD 256GB/512GB Second Original Mulus Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.800.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,,"Dell Latitude 5330 i7Gen12 8GB SSD 256GB/512GB Second Original Mulus Bergaransi
Rp
3.800.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-5330-i7Gen12-8GB-SSD-256GB-512GB-Second-Original-Mulus-Bergaransi-i.1678672041.50955667730?extraParams=%7B%22display_model_id%22%3A380786959915%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbcc889d-3996-49a3-9504-eea615d158f1&xptdk=bbcc889d-3996-49a3-9504-eea615d158f1
https://down-id.img.susercontent.com/file/id-11134207-822wn-mn796iul2s5g98,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP DELL LATITUDE 7320 SLIM 11TH GEN CORE I5 SSD 256GB RAM 16GB SECOND,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.215.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,"LAPTOP DELL LATITUDE 7320 SLIM 11TH GEN CORE I5 SSD 256GB RAM 16GB SECOND
Rp
5.215.000
< 2 Hari
Bandung",https://shopee.co.id/LAPTOP-DELL-LATITUDE-7320-SLIM-11TH-GEN-CORE-I5-SSD-256GB-RAM-16GB-SECOND-i.379562643.50509064378?extraParams=%7B%22display_model_id%22%3A445803963246%2C%22model_selection_logic%22%3A3%7D&sp_atk=dc833e59-0fe9-4799-b928-3517c3c10c83&xptdk=dc833e59-0fe9-4799-b928-3517c3c10c83
https://down-id.img.susercontent.com/file/sg-11134201-81zwh-mmu8nigzb1muec,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,laptop second Dell 3510 ram 8gb core i5 gen10 HDD 500 ringan  PROMO 5.5,,Rp,3.050.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,"laptop second Dell 3510 ram 8gb core i5 gen10 HDD 500 ringan PROMO 5.5
Rp
3.050.000
Besok 12:00
Surabaya",https://shopee.co.id/laptop-second-Dell-3510-ram-8gb-core-i5-gen10-HDD-500-ringan-PROMO-5.5-i.31172897.44958509061?extraParams=%7B%22display_model_id%22%3A297519876859%2C%22model_selection_logic%22%3A3%7D&sp_atk=c1c79f6b-4374-4bc6-bc0e-b92477cfb94e&xptdk=c1c79f6b-4374-4bc6-bc0e-b92477cfb94e
https://down-id.img.susercontent.com/file/id-11134207-82250-mkt7s9oj8l5251,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Core i7 Gen 11 Ram 16Gb Intel Iris Xe normal lancar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.800.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3.3,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,"Dell Core i7 Gen 11 Ram 16Gb Intel Iris Xe normal lancar
Rp
3.800.000
3.3
4 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Dell-Core-i7-Gen-11-Ram-16Gb-Intel-Iris-Xe-normal-lancar-i.278069110.44656270178?extraParams=%7B%22display_model_id%22%3A277411211497%2C%22model_selection_logic%22%3A3%7D&sp_atk=4f001c73-ebbe-4daa-b9bc-818680944c16&xptdk=4f001c73-ebbe-4daa-b9bc-818680944c16
