-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-ellipsis,img,text-xs/sp14_2,text-xs,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,truncate,text-shopee-primary,pointer-events-none_3,_container,_container_link,text-shopee-green,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mdshjxrk0g3y99,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Xiaomi Redmi 15C 6/128GB 8/256GB RAM 6GB 8GB ROM 128GB 256GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.201.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,4RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,,,"Xiaomi Redmi 15C 6/128GB 8/256GB RAM 6GB 8GB ROM 128GB 256GB
Rp
2.201.000
4.9
4RB+ Terjual
Besok
Kab. Sidoarjo",https://shopee.co.id/Xiaomi-Redmi-15C-6-128GB-8-256GB-RAM-6GB-8GB-ROM-128GB-256GB-i.160369383.17173976531?extraParams=%7B%22display_model_id%22%3A144790544990%2C%22model_selection_logic%22%3A3%7D&sp_atk=aab63ee3-39df-4fc2-b883-2fd375c186be&xptdk=aab63ee3-39df-4fc2-b883-2fd375c186be,,
https://down-id.img.susercontent.com/file/id-11134207-81ztd-meug79uzu6maa8,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Xiaomi Redmi 15 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB - Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.663.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,2RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,Cicilan,,,"Xiaomi Redmi 15 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB - Garansi Resmi 1 Tahun
Rp
2.663.000
Cicilan
4.9
2RB+ Terjual
Besok
Surabaya",https://shopee.co.id/Xiaomi-Redmi-15-8-128GB-8-256GB-RAM-8GB-ROM-128GB-256GB-Garansi-Resmi-1-Tahun-i.160369383.8356900793?extraParams=%7B%22display_model_id%22%3A35506389402%2C%22model_selection_logic%22%3A3%7D&sp_atk=54132f2a-f42d-428c-bdd3-f1a9f11121e5&xptdk=54132f2a-f42d-428c-bdd3-f1a9f11121e5,,
https://down-id.img.susercontent.com/file/id-11134207-8224z-mgbtvodnffnwe2,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,"Xiaomi Redmi 15c (RAM 6/8GB, ROM 128/256GB, 6000mAh Battery, Large Display)",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.249.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,579 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pasuruan,,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Xiaomi Redmi 15c (RAM 6/8GB, ROM 128/256GB, 6000mAh Battery, Large Display)
Rp
2.249.000
-1%
5.0
579 Terjual
< 2 Hari
Pasuruan",https://shopee.co.id/Xiaomi-Redmi-15c-(RAM-6-8GB-ROM-128-256GB-6000mAh-Battery-Large-Display)-i.49893858.25253311300?extraParams=%7B%22display_model_id%22%3A197434197074%2C%22model_selection_logic%22%3A3%7D&sp_atk=8df9088f-8098-4f67-a048-b7414198c41c&xptdk=8df9088f-8098-4f67-a048-b7414198c41c,,
https://down-id.img.susercontent.com/file/id-11134207-8224y-mfwcps3qrr4a62,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,XIAOMI REDMI 15C 6/8GB 128/256GB | GREEN - BLACK - BLUE - ORANGE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.189.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,663 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,-49%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"XIAOMI REDMI 15C 6/8GB 128/256GB | GREEN - BLACK - BLUE - ORANGE
Rp
2.189.000
-49%
5.0
663 Terjual
Besok
Surabaya",https://shopee.co.id/XIAOMI-REDMI-15C-6-8GB-128-256GB-GREEN-BLACK-BLUE-ORANGE-i.1273997571.28223159060?extraParams=%7B%22display_model_id%22%3A99744909199%2C%22model_selection_logic%22%3A3%7D&sp_atk=01274a12-aeb7-4842-b72f-331d635cb513&xptdk=01274a12-aeb7-4842-b72f-331d635cb513,,
https://down-id.img.susercontent.com/file/id-11134207-8224q-mhod64qoyex2da,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"XIAOMI REDMI 15 8GB+8GB / 128GB | 8GB+8GB / 256GB  |FHD+ 6,9"" | 144 Hz | SENAPDRAGON 685 | CAMERA 50 MP | 7000 MAH | BERGARNSI RESMI.",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.749.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,40 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,-5%,,"XIAOMI REDMI 15 8GB+8GB / 128GB | 8GB+8GB / 256GB |FHD+ 6,9"" | 144 Hz | SENAPDRAGON 685 | CAMERA 50 MP | 7000 MAH | BERGARNSI RESMI.
Rp
2.749.000
-5%
5.0
40 Terjual
2 jam
Kab. Sidoarjo",https://shopee.co.id/XIAOMI-REDMI-15-8GB-8GB-128GB-8GB-8GB-256GB-FHD-6-9-144-Hz-SENAPDRAGON-685-CAMERA-50-MP-7000-MAH-BERGARNSI-RESMI.-i.105409987.26154994821?extraParams=%7B%22display_model_id%22%3A251174270250%2C%22model_selection_logic%22%3A3%7D&sp_atk=084576b7-7147-4b7c-b416-0220f44a968a&xptdk=084576b7-7147-4b7c-b416-0220f44a968a,,
https://down-id.img.susercontent.com/file/id-11134207-81zte-mei5lkx0fyfb5d,,"Xiaomi Redmi 15 (8GB/128GB) (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 144Hz | 50MP  kamera ganda AI [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.599.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,Kombo Hemat,,,"Xiaomi Redmi 15 (8GB/128GB) (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 144Hz | 50MP kamera ganda AI [Official Store]
Rp
2.599.000
Kombo Hemat
4.9
10RB+ Terjual
3-4 Hari
Kab. Tangerang",https://shopee.co.id/Xiaomi-Redmi-15-(8GB-128GB)-(8GB-256GB)-Baterai-besar-7000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-144Hz-50MP-kamera-ganda-AI-Official-Store--i.51925611.25631088302?extraParams=%7B%22display_model_id%22%3A186266664126%2C%22model_selection_logic%22%3A3%7D&sp_atk=831283a6-1df5-416d-a261-0e9a7f0aa1e2&xptdk=831283a6-1df5-416d-a261-0e9a7f0aa1e2,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mdmlmft4kdn623,,"Xiaomi Redmi 15C (6GB/128GB) (8GB/256GB) | Baterai besar 6000mAh dengan pengisian daya 33W | Desain ramping dan elegan | Layar Imersif 6.9"" 120Hz | 50 MP kamera ganda AI [Offical Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.149.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,"Xiaomi Redmi 15C (6GB/128GB) (8GB/256GB) | Baterai besar 6000mAh dengan pengisian daya 33W | Desain ramping dan elegan | Layar Imersif 6.9"" 120Hz | 50 MP kamera ganda AI [Offical Store]
Rp
2.149.000
4.9
10RB+ Terjual
3-4 Hari
Kab. Tangerang",https://shopee.co.id/Xiaomi-Redmi-15C-(6GB-128GB)-(8GB-256GB)-Baterai-besar-6000mAh-dengan-pengisian-daya-33W-Desain-ramping-dan-elegan-Layar-Imersif-6.9-120Hz-50-MP-kamera-ganda-AI-Offical-Store--i.51925611.24836135524?extraParams=%7B%22display_model_id%22%3A276055249004%2C%22model_selection_logic%22%3A3%7D&sp_atk=695c26a5-7cce-4530-afc8-6caa685a4bf1&xptdk=695c26a5-7cce-4530-afc8-6caa685a4bf1,,
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmujbmqh7t3413,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Redmi 15C 6/128 8/256 | 6/128GB 8/256GB | 6GB 8GB 128GB 256GB Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.219.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,667 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,,,,"Xiaomi Redmi 15C 6/128 8/256 | 6/128GB 8/256GB | 6GB 8GB 128GB 256GB Garansi Resmi
Rp
2.219.000
5.0
667 Terjual
3-4 Hari
Denpasar",https://shopee.co.id/Xiaomi-Redmi-15C-6-128-8-256-6-128GB-8-256GB-6GB-8GB-128GB-256GB-Garansi-Resmi-i.25468108.25739092073?extraParams=%7B%22display_model_id%22%3A380731722896%2C%22model_selection_logic%22%3A3%7D&sp_atk=e0dec3c4-b0dc-4845-9852-234dcb5e7fc8&xptdk=e0dec3c4-b0dc-4845-9852-234dcb5e7fc8,,
https://down-id.img.susercontent.com/file/sg-11134201-7rdyq-mdoc73lco12i80,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Redmi 15C [8GB/256GB] [6GB/128GB] Garansi Resmi Xiaomi Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.199.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,,,,"Xiaomi Redmi 15C [8GB/256GB] [6GB/128GB] Garansi Resmi Xiaomi Indonesia
Rp
2.199.000
4.9
1RB+ Terjual
3 Hari
Palembang",https://shopee.co.id/Xiaomi-Redmi-15C-8GB-256GB-6GB-128GB-Garansi-Resmi-Xiaomi-Indonesia-i.133736627.18723614709?extraParams=%7B%22display_model_id%22%3A258773974765%2C%22model_selection_logic%22%3A3%7D&sp_atk=95da11ca-3265-4605-a63c-5c08a11083ef&xptdk=95da11ca-3265-4605-a63c-5c08a11083ef,,
https://down-id.img.susercontent.com/file/id-11134207-82250-mhrazuc9uzgkbc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Redmi 15 [8/256GB] [8/128GB] Garansi Resmi Xiaomi 15 Bulan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.649.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,,,,"Xiaomi Redmi 15 [8/256GB] [8/128GB] Garansi Resmi Xiaomi 15 Bulan
Rp
2.649.000
4.9
1RB+ Terjual
2-3 Hari
Palembang",https://shopee.co.id/Xiaomi-Redmi-15-8-256GB-8-128GB-Garansi-Resmi-Xiaomi-15-Bulan-i.133736627.12575332633?extraParams=%7B%22display_model_id%22%3A306676569303%2C%22model_selection_logic%22%3A3%7D&sp_atk=01be6954-ea3e-4a6a-b841-1a024d70c715&xptdk=01be6954-ea3e-4a6a-b841-1a024d70c715,,
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmimb95ef01xb6,,"Xiaomi 15T (12/512GB) / Xiaomi 15T Pro (12/512GB) | Leica Summilux optical lens Dimensity 8400-Ultra | 6.83"" 120Hz eye-care display | Massive 5500mAh (typ) battery | 67W HyperCharge [Official Store]",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,Hadiah Gratis,,,"Xiaomi 15T (12/512GB) / Xiaomi 15T Pro (12/512GB) | Leica Summilux optical lens Dimensity 8400-Ultra | 6.83"" 120Hz eye-care display | Massive 5500mAh (typ) battery | 67W HyperCharge [Official Store]
Rp
7.999.000
Hadiah Gratis
4.9
10RB+ Terjual
3-4 Hari
Kab. Tangerang",https://shopee.co.id/Xiaomi-15T-(12-512GB)-Xiaomi-15T-Pro-(12-512GB)-Leica-Summilux-optical-lens-Dimensity-8400-Ultra-6.83-120Hz-eye-care-display-Massive-5500mAh-(typ)-battery-67W-HyperCharge-Official-Store--i.51925611.28712146920?extraParams=%7B%22display_model_id%22%3A266913372368%2C%22model_selection_logic%22%3A3%7D&sp_atk=035658a6-027a-4ad4-994c-89c6151046a8&xptdk=035658a6-027a-4ad4-994c-89c6151046a8,,
https://down-id.img.susercontent.com/file/id-11134207-8224w-mkai5g3ial8i5f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Xiaomi Redmi Note 15 4G 8/128GB 8/256GB Layar Lengkung HP Terbaru Xiaomi 2026 Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,"Xiaomi Redmi Note 15 4G 8/128GB 8/256GB Layar Lengkung HP Terbaru Xiaomi 2026 Garansi Resmi
Rp
2.999.000
5.0
23 Terjual
2-3 Hari
Bandung",https://shopee.co.id/Xiaomi-Redmi-Note-15-4G-8-128GB-8-256GB-Layar-Lengkung-HP-Terbaru-Xiaomi-2026-Garansi-Resmi-i.1309773474.43728580408?extraParams=%7B%22display_model_id%22%3A355524106967%2C%22model_selection_logic%22%3A3%7D&sp_atk=c98ac675-e61a-4b10-9b47-d589256b9f51&xptdk=c98ac675-e61a-4b10-9b47-d589256b9f51,,
https://down-id.img.susercontent.com/file/id-11134207-8224s-mg2a8lk11r0q91,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,XIAOMI REDMI 15 8/128 GB - 8/256 GB Garansi Resmi [BISA INSTAN AREA MALANG],https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.628.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,498 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"XIAOMI REDMI 15 8/128 GB - 8/256 GB Garansi Resmi [BISA INSTAN AREA MALANG]
Rp
2.628.000
-1%
5.0
498 Terjual
2-4 Hari
Malang",https://shopee.co.id/XIAOMI-REDMI-15-8-128-GB-8-256-GB-Garansi-Resmi-BISA-INSTAN-AREA-MALANG--i.966967238.25165909920?extraParams=%7B%22display_model_id%22%3A271626115356%2C%22model_selection_logic%22%3A3%7D&sp_atk=ad58c216-71a0-41ea-8c74-9765b0f83f6e&xptdk=ad58c216-71a0-41ea-8c74-9765b0f83f6e,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mdk52dkl6kcuaa,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Xiaomi Redmi 15C 8/256 6000mAh 33Watt Garansi Resmi Xiaomi Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.129.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,198 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,,,"Xiaomi Redmi 15C 8/256 6000mAh 33Watt Garansi Resmi Xiaomi Indonesia
Rp
2.129.000
5.0
198 Terjual
2-3 Hari
Bandung",https://shopee.co.id/Xiaomi-Redmi-15C-8-256-6000mAh-33Watt-Garansi-Resmi-Xiaomi-Indonesia-i.1155487689.27363957920?extraParams=%7B%22display_model_id%22%3A360627414871%2C%22model_selection_logic%22%3A3%7D&sp_atk=54af9d38-48d3-4562-bfd3-b5a1c32aa913&xptdk=54af9d38-48d3-4562-bfd3-b5a1c32aa913,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mdolgk3nlle7fc,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,XIAOMI REDMI 15C 8GB / 256GB | BATRAI 6000mAh | Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,39 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,-12%,,"XIAOMI REDMI 15C 8GB / 256GB | BATRAI 6000mAh | Garansi Resmi
Rp
2.299.000
-12%
5.0
39 Terjual
2 jam
Kab. Sidoarjo",https://shopee.co.id/XIAOMI-REDMI-15C-8GB-256GB-BATRAI-6000mAh-Garansi-Resmi-i.105409987.40064390179?extraParams=%7B%22display_model_id%22%3A261183223903%2C%22model_selection_logic%22%3A3%7D&sp_atk=617e1c50-43f2-4f40-ab8c-cfdf00b33bb6&xptdk=617e1c50-43f2-4f40-ab8c-cfdf00b33bb6,,
https://down-id.img.susercontent.com/file/id-11134207-81ztn-mez4tniig3ke7b,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Xiaomi Redmi 15 (8GB/128GB) (8GB/256GB) Baterai besar 7000mAh | Ekspansi RAM hingga 16GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.663.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,2RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,"Xiaomi Redmi 15 (8GB/128GB) (8GB/256GB) Baterai besar 7000mAh | Ekspansi RAM hingga 16GB
Rp
2.663.000
4.9
2RB+ Terjual
Besok
Surabaya",https://shopee.co.id/Xiaomi-Redmi-15-(8GB-128GB)-(8GB-256GB)-Baterai-besar-7000mAh-Ekspansi-RAM-hingga-16GB-i.308460192.22970379210?extraParams=%7B%22display_model_id%22%3A266688445671%2C%22model_selection_logic%22%3A3%7D&sp_atk=4a540991-2dba-4e29-acdc-46d30be329ef&xptdk=4a540991-2dba-4e29-acdc-46d30be329ef,,
