-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,truncate,img_2,text-xs_2,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224s-mkkgs1a0bzep5b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 Core i3-1315U 8GB 512GB SSD Intel 14 inch FHD IPS Windows 11 Classic Black -C13M 9S7-14J112-1468 laptop Backlit Keyboard Intel core i3 gen 13,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.756.000,4.7,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,15 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=41720301980&shopid=26681244,"MSI Modern 14 Core i3-1315U 8GB 512GB SSD Intel 14 inch FHD IPS Windows 11 Classic Black -C13M 9S7-14J112-1468 laptop Backlit Keyboard Intel core i3 gen 13
Rp
7.756.000
4.7
15 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/MSI-Modern-14-Core-i3-1315U-8GB-512GB-SSD-Intel-14-inch-FHD-IPS-Windows-11-Classic-Black-C13M-9S7-14J112-1468-laptop-Backlit-Keyboard-Intel-core-i3-gen-13-i.26681244.41720301980?extraParams=%7B%22display_model_id%22%3A216275154376%2C%22model_selection_logic%22%3A3%7D&sp_atk=e4658f96-96eb-4bfa-81aa-e621bee6c07c&xptdk=e4658f96-96eb-4bfa-81aa-e621bee6c07c
https://down-id.img.susercontent.com/file/id-11134207-82251-mi9oh93t73sz93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 F13MG CORE I3-1315 8GB 512GB W11 14.0FHD IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.575.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-33%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,921 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=19594737795&shopid=1065524421,"MSI MODERN 14 F13MG CORE I3-1315 8GB 512GB W11 14.0FHD IPS
Rp
8.575.000
-33%
5.0
921 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-F13MG-CORE-I3-1315-8GB-512GB-W11-14.0FHD-IPS-i.1065524421.19594737795?extraParams=%7B%22display_model_id%22%3A236635536973%2C%22model_selection_logic%22%3A3%7D&sp_atk=35ca1842-a415-4ccc-85a1-cc0db1fabe74&xptdk=35ca1842-a415-4ccc-85a1-cc0db1fabe74
https://down-id.img.susercontent.com/file/id-11134207-8224w-mh5yapk3in0o01,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 C13M 9S7-14J112-1468 BLACK INTEL CORE i3-1315U 8GB 512GB WIN 11 HOME TANPA OFFICE NO OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.011.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,13 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=55201447143&shopid=272053442,"MSI MODERN 14 C13M 9S7-14J112-1468 BLACK INTEL CORE i3-1315U 8GB 512GB WIN 11 HOME TANPA OFFICE NO OHS
Rp
9.011.000
5.0
13 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/MSI-MODERN-14-C13M-9S7-14J112-1468-BLACK-INTEL-CORE-i3-1315U-8GB-512GB-WIN-11-HOME-TANPA-OFFICE-NO-OHS-i.272053442.55201447143?extraParams=%7B%22display_model_id%22%3A430131870372%2C%22model_selection_logic%22%3A3%7D&sp_atk=cbc84c4a-5e85-4627-af77-510c23e39517&xptdk=cbc84c4a-5e85-4627-af77-510c23e39517
https://down-id.img.susercontent.com/file/id-11134207-82250-mgq2aqprcikpb0,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 CORE I5 1334 - RAM 16GB 512GB W11+OHS 14.0FHD IPS BLIT -F13MG.678,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.336.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-48%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,278 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=14300631310&shopid=250649369,"MSI MODERN 14 CORE I5 1334 - RAM 16GB 512GB W11+OHS 14.0FHD IPS BLIT -F13MG.678
Rp
9.336.000
-48%
Hadiah Gratis
5.0
278 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-CORE-I5-1334-RAM-16GB-512GB-W11-OHS-14.0FHD-IPS-BLIT-F13MG.678-i.250649369.14300631310?extraParams=%7B%22display_model_id%22%3A405566162760%2C%22model_selection_logic%22%3A3%7D&sp_atk=4f210230-188d-4b20-8587-09a8cdb833c7&xptdk=4f210230-188d-4b20-8587-09a8cdb833c7
https://down-id.img.susercontent.com/file/id-11134207-8224y-mhita5mcq1vs3a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 F13MG CORE I5-1334U 8GB 512GB W11 14.0FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.336.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-33%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,162 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=15498485849&shopid=1065524421,"MSI MODERN 14 F13MG CORE I5-1334U 8GB 512GB W11 14.0FHD
Rp
9.336.000
-33%
5.0
162 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-F13MG-CORE-I5-1334U-8GB-512GB-W11-14.0FHD-i.1065524421.15498485849?extraParams=%7B%22display_model_id%22%3A222941315265%2C%22model_selection_logic%22%3A3%7D&sp_atk=b59bb0a8-5260-4b2c-840c-cc8726d2b920&xptdk=b59bb0a8-5260-4b2c-840c-cc8726d2b920
https://down-id.img.susercontent.com/file/id-11134207-8224z-ml0lq5vfgr2d32,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 I3 1315 8GB 512GB 14.0FHD BLIT IPS Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.576.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,12 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=42370558936&shopid=1039970542,"MSI MODERN 14 I3 1315 8GB 512GB 14.0FHD BLIT IPS Windows 11
Rp
8.576.000
5.0
12 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/MSI-MODERN-14-I3-1315-8GB-512GB-14.0FHD-BLIT-IPS-Windows-11-i.1039970542.42370558936?extraParams=%7B%22display_model_id%22%3A276680097875%2C%22model_selection_logic%22%3A3%7D&sp_atk=52bebc1c-632f-4649-94a2-f98b9d1109d5&xptdk=52bebc1c-632f-4649-94a2-f98b9d1109d5
https://down-id.img.susercontent.com/file/id-11134207-8224w-mgm3up9nj959f6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Cyborg 15 B13WEKG Intel Core i7-13620H 512GB SSD 16GB RTX5050 8GB 15.6 Inch FHD W11+OH2024,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,18.199.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-4%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,20 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=43226407724&shopid=41303795,"MSI Cyborg 15 B13WEKG Intel Core i7-13620H 512GB SSD 16GB RTX5050 8GB 15.6 Inch FHD W11+OH2024
Rp
18.199.000
-4%
5.0
20 Terjual
3-4 Hari
Jakarta Barat",https://shopee.co.id/MSI-Cyborg-15-B13WEKG-Intel-Core-i7-13620H-512GB-SSD-16GB-RTX5050-8GB-15.6-Inch-FHD-W11-OH2024-i.41303795.43226407724?extraParams=%7B%22display_model_id%22%3A345300541780%2C%22model_selection_logic%22%3A3%7D&sp_atk=419078a2-94de-4160-b658-32028c14bd85&xptdk=419078a2-94de-4160-b658-32028c14bd85
https://down-id.img.susercontent.com/file/id-11134207-822wq-mmfktb98lhjc6e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 F13MG Core i5-1334 8GB 512GB W11 14.0FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.336.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-44%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,506 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24100655589&shopid=1065524421,"MSI Modern 14 F13MG Core i5-1334 8GB 512GB W11 14.0FHD
Rp
9.336.000
-44%
4.9
506 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/MSI-Modern-14-F13MG-Core-i5-1334-8GB-512GB-W11-14.0FHD-i.1065524421.24100655589?extraParams=%7B%22display_model_id%22%3A168351234438%2C%22model_selection_logic%22%3A3%7D&sp_atk=f773c185-338e-4df9-93e3-0a54d511a1d3&xptdk=f773c185-338e-4df9-93e3-0a54d511a1d3
https://down-id.img.susercontent.com/file/id-11134207-8224p-miquul4z9af836,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 Core i3 8GB 512GB Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.575.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-46%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,658 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=13251900006&shopid=250649369,"MSI Modern 14 Core i3 8GB 512GB Windows 11
Rp
8.575.000
-46%
Hadiah Gratis
4.9
658 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/MSI-Modern-14-Core-i3-8GB-512GB-Windows-11-i.250649369.13251900006?extraParams=%7B%22display_model_id%22%3A375763028581%2C%22model_selection_logic%22%3A3%7D&sp_atk=555dd390-e50a-4470-be57-bfbee58e5808&xptdk=555dd390-e50a-4470-be57-bfbee58e5808
https://down-id.img.susercontent.com/file/sg-11134201-7rdw1-mdognhapielmeb,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 F13MG I5 1334U 8GB 512GB 14 0 FHD IPS 2YR W11 OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.487.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=42264326840&shopid=28377910,"MSI MODERN 14 F13MG I5 1334U 8GB 512GB 14 0 FHD IPS 2YR W11 OHS
Rp
9.487.000
5.0
2 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/MSI-MODERN-14-F13MG-I5-1334U-8GB-512GB-14-0-FHD-IPS-2YR-W11-OHS-i.28377910.42264326840?extraParams=%7B%22display_model_id%22%3A415492008460%2C%22model_selection_logic%22%3A3%7D&sp_atk=d7407761-309a-4479-af0f-f5b3fbe87b5b&xptdk=d7407761-309a-4479-af0f-f5b3fbe87b5b
https://down-id.img.susercontent.com/file/id-11134207-8224q-mjo2et64hczq9f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 I5 1334 8GB 512GB W11 14.0FHD BLIT 2Y SLV -F13MG.647,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.312.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=48503133178&shopid=1471949508,"MSI MODERN 14 I5 1334 8GB 512GB W11 14.0FHD BLIT 2Y SLV -F13MG.647
Rp
9.312.000
-1%
Produk Baru
5.0
5 Terjual
Besok
Surabaya",https://shopee.co.id/MSI-MODERN-14-I5-1334-8GB-512GB-W11-14.0FHD-BLIT-2Y-SLV-F13MG.647-i.1471949508.48503133178?extraParams=%7B%22display_model_id%22%3A355300360764%2C%22model_selection_logic%22%3A3%7D&sp_atk=3f5b7a32-e9d3-4e1c-ba0e-a281b253a0e9&xptdk=3f5b7a32-e9d3-4e1c-ba0e-a281b253a0e9
https://down-id.img.susercontent.com/file/id-11134207-8224x-ml0lq5vfmdc5c7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 I5 1334 8GB 512GB 14.0FHD BLIT Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.337.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=53706318114&shopid=1039970542,"MSI MODERN 14 I5 1334 8GB 512GB 14.0FHD BLIT Windows 11
Rp
9.337.000
4.0
1 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/MSI-MODERN-14-I5-1334-8GB-512GB-14.0FHD-BLIT-Windows-11-i.1039970542.53706318114?extraParams=%7B%22display_model_id%22%3A262414583611%2C%22model_selection_logic%22%3A3%7D&sp_atk=a159ecad-88f5-44eb-9090-072f75e7cdd6&xptdk=a159ecad-88f5-44eb-9090-072f75e7cdd6
https://down-id.img.susercontent.com/file/sg-11134201-7rdw0-mdmp806qrvqiea,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"MSI Cyborg 15 B2RWFKG-051ID Core 5 210H/16GB/512GB SSD/RTX 5060 8GB/W11 Home/OHS24 15.6"" FHD/ 2Y /",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,21.604.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Kombo Hemat,,7-10 Hari,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=42964044765&shopid=32443527,"MSI Cyborg 15 B2RWFKG-051ID Core 5 210H/16GB/512GB SSD/RTX 5060 8GB/W11 Home/OHS24 15.6"" FHD/ 2Y /
Rp
21.604.000
-6%
Kombo Hemat
7-10 Hari
Jakarta Barat",https://shopee.co.id/MSI-Cyborg-15-B2RWFKG-051ID-Core-5-210H-16GB-512GB-SSD-RTX-5060-8GB-W11-Home-OHS24-15.6-FHD-2Y--i.32443527.42964044765?extraParams=%7B%22display_model_id%22%3A296157725491%2C%22model_selection_logic%22%3A3%7D&sp_atk=dafa5b8b-0742-4f31-bcf4-92276b9a30c0&xptdk=dafa5b8b-0742-4f31-bcf4-92276b9a30c0
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjs1wsyegfev89,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Thin 15 B13VF i5 RTX4060 32GB 144Hz IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,11.998.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,82 Terjual,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=16474488333&shopid=757795871,"MSI Thin 15 B13VF i5 RTX4060 32GB 144Hz IPS
Rp
11.998.000
-1%
Hadiah Gratis
4.9
82 Terjual
< 2 Hari
Bogor",https://shopee.co.id/MSI-Thin-15-B13VF-i5-RTX4060-32GB-144Hz-IPS-i.757795871.16474488333?extraParams=%7B%22display_model_id%22%3A365773603253%2C%22model_selection_logic%22%3A3%7D&sp_atk=88eae606-429e-4a1f-acb8-582bbaf9981b&xptdk=88eae606-429e-4a1f-acb8-582bbaf9981b
https://down-id.img.susercontent.com/file/id-11134207-822wt-mmtv0fxu2vwhb3,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"MSI MODERN 14 S143 INTEL CORE I5 1334U 8GB 512GB 14"" IPS W11+OHS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,9.565.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28573766160&shopid=120549837,"MSI MODERN 14 S143 INTEL CORE I5 1334U 8GB 512GB 14"" IPS W11+OHS
Rp
9.565.000
Besok 12:00
Surabaya",https://shopee.co.id/MSI-MODERN-14-S143-INTEL-CORE-I5-1334U-8GB-512GB-14-IPS-W11-OHS-i.120549837.28573766160?extraParams=%7B%22display_model_id%22%3A49511980455%2C%22model_selection_logic%22%3A3%7D&sp_atk=4f41d2fe-5ff9-4c63-a55c-4ab2d45b1251&xptdk=4f41d2fe-5ff9-4c63-a55c-4ab2d45b1251
