-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-shopee-primary,w-auto,text-white,pointer-events-none_3,text-ellipsis,_container,_container_link,img_2,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-8224o-mjdy0y1692px68,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Apple Iphone 15 - Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,12.050.000,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,,,,,,"Apple Iphone 15 - Garansi Resmi
Rp
12.050.000
Kombo Hemat
5.0
1RB+ Terjual
4-6 Hari
Banjarmasin",https://shopee.co.id/Apple-Iphone-15-Garansi-Resmi-i.53222836.24445740227?extraParams=%7B%22display_model_id%22%3A272327450029%2C%22model_selection_logic%22%3A3%7D&sp_atk=ba29c734-6e3d-4115-8be2-daa7893fbc41&xptdk=ba29c734-6e3d-4115-8be2-daa7893fbc41,,
https://down-id.img.susercontent.com/file/id-11134201-7r98t-lmpk42301ctbbc,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Apple iPhone 15,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,12.249.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,-28%,,,,,"Apple iPhone 15
Rp
12.249.000
-28%
5.0
10RB+ Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/Apple-iPhone-15-i.255563049.23157471408?extraParams=%7B%22display_model_id%22%3A185496650529%2C%22model_selection_logic%22%3A3%7D&sp_atk=254fcb0c-1054-40cd-9e74-c79c4ccb9276&xptdk=254fcb0c-1054-40cd-9e74-c79c4ccb9276,,
https://down-id.img.susercontent.com/file/id-11134207-8224r-mkvxmfr8jzt056,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,IP 14 [ Garansi Resmi ] [Iphone@] 256GB Resmi Garansi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,10.900.000,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,46 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-27%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"IP 14 [ Garansi Resmi ] [Iphone@] 256GB Resmi Garansi 1 Tahun
Rp
10.900.000
-27%
Kombo Hemat
5.0
46 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/IP-14-Garansi-Resmi-Iphone-256GB-Resmi-Garansi-1-Tahun-i.1516969716.51206282013?extraParams=%7B%22display_model_id%22%3A340568502076%2C%22model_selection_logic%22%3A3%7D&sp_atk=459e56f6-2db8-49b2-b01d-6c0d0dca2ecb&xptdk=459e56f6-2db8-49b2-b01d-6c0d0dca2ecb,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mdr9anv0bjbj6c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Apple iPhone 14 256GB, Starlight",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,10.799.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,325 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-29%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Apple iPhone 14 256GB, Starlight
Rp
10.799.000
-29%
5.0
325 Terjual
2-3 Hari
Jakarta Barat",https://shopee.co.id/Apple-iPhone-14-256GB-Starlight-i.241308147.18053793259?extraParams=%7B%22display_model_id%22%3A192700497903%2C%22model_selection_logic%22%3A3%7D&sp_atk=0edf4fea-a2a7-41bc-aa5a-2aabce550c4f&xptdk=0edf4fea-a2a7-41bc-aa5a-2aabce550c4f,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mb55nceyjxq018,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,ipphooneee seri 13 memory 128GB resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.599.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,28 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,"ipphooneee seri 13 memory 128GB resmi
Rp
7.599.000
5.0
28 Terjual
1-3 Hari
Surabaya",https://shopee.co.id/ipphooneee-seri-13-memory-128GB-resmi-i.94985634.29080394693?extraParams=%7B%22display_model_id%22%3A290133104006%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbc51009-bba4-4a76-9244-a0ee0afddcde&xptdk=bbc51009-bba4-4a76-9244-a0ee0afddcde,,
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn0zo6nz1a125a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Iphone 13 128GB New Garansi resmi,,Rp,8.042.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Rembang,,,,,,"Iphone 13 128GB New Garansi resmi
Rp
8.042.000
5.0
1 Terjual
2-4 Hari
Kab. Rembang",https://shopee.co.id/Iphone-13-128GB-New-Garansi-resmi-i.868925169.56808772266?extraParams=%7B%22display_model_id%22%3A375779630021%2C%22model_selection_logic%22%3A3%7D&sp_atk=09719936-5812-4990-9374-cd2a8f33d37f&xptdk=09719936-5812-4990-9374-cd2a8f33d37f,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0n-mdr868y1rkmn6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Apple iPhone 15 128GB, Pink",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,11.799.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-19%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Apple iPhone 15 128GB, Pink
Rp
11.799.000
-19%
4.9
10RB+ Terjual
2-3 Hari
Jakarta Barat",https://shopee.co.id/Apple-iPhone-15-128GB-Pink-i.241308147.22982495280?extraParams=%7B%22display_model_id%22%3A177898467848%2C%22model_selection_logic%22%3A3%7D&sp_atk=44d44388-952e-45e8-a421-993a4d60b925&xptdk=44d44388-952e-45e8-a421-993a4d60b925,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m7x4wa0vusjx31,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,IP 13 / 14 / 15 / 15 Plus 128GB 256GB 512GB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,11.489.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,205 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,-18%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"IP 13 / 14 / 15 / 15 Plus 128GB 256GB 512GB
Rp
11.489.000
-18%
5.0
205 Terjual
< 2 Hari
Malang",https://shopee.co.id/IP-13-14-15-15-Plus-128GB-256GB-512GB-i.10625226.28181198200?extraParams=%7B%22display_model_id%22%3A287353706686%2C%22model_selection_logic%22%3A3%7D&sp_atk=3f3c0c7e-0180-45ae-a142-a9f936fb2c40&xptdk=3f3c0c7e-0180-45ae-a142-a9f936fb2c40,,
https://down-id.img.susercontent.com/file/id-11134207-82251-mipyfekozrwiae,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,iPhone 15 & 13 New segel bnib 128,,Rp,8.400.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,24 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"iPhone 15 & 13 New segel bnib 128
Rp
8.400.000
5.0
24 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/iPhone-15-13-New-segel-bnib-128-i.294817697.45652788726?extraParams=%7B%22display_model_id%22%3A405364392426%2C%22model_selection_logic%22%3A3%7D&sp_atk=a6417ea2-2d7f-4e70-9ea7-c02bc92dcd51&xptdk=a6417ea2-2d7f-4e70-9ea7-c02bc92dcd51,,
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn9n0350oqh127,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,IPHONE 14 128GB / 256GB GRS RSMI INDONESIA,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,11.154.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,3RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-44%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"IPHONE 14 128GB / 256GB GRS RSMI INDONESIA
Rp
11.154.000
-44%
4.9
3RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/IPHONE-14-128GB-256GB-GRS-RSMI-INDONESIA-i.383392952.22140852608?extraParams=%7B%22display_model_id%22%3A340810268553%2C%22model_selection_logic%22%3A3%7D&sp_atk=592aabfe-cb46-430a-bcf6-1543e35c3458&xptdk=592aabfe-cb46-430a-bcf6-1543e35c3458,,
https://down-id.img.susercontent.com/file/id-11134207-7rash-m12fwkovdw2s3b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Apple iPhone 16,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,14.499.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,-3%,,,,,"Apple iPhone 16
Rp
14.499.000
-3%
5.0
6RB+ Terjual
2-3 Hari
Jakarta Selatan",https://shopee.co.id/Apple-iPhone-16-i.255563049.27763189001?extraParams=%7B%22display_model_id%22%3A241719576811%2C%22model_selection_logic%22%3A3%7D&sp_atk=b59bc5f9-c748-4f3e-9837-58595b9f2c28&xptdk=b59bc5f9-c748-4f3e-9837-58595b9f2c28,,
https://down-id.img.susercontent.com/file/id-11134207-81zth-merzrno2scg240,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,iPhone 15 128GB Garansi Resmi Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,13.099.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,155 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,,,"iPhone 15 128GB Garansi Resmi Indonesia
Rp
13.099.000
5.0
155 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/iPhone-15-128GB-Garansi-Resmi-Indonesia-i.143199398.40369581349?extraParams=%7B%22display_model_id%22%3A296602948034%2C%22model_selection_logic%22%3A3%7D&sp_atk=a40e1388-3a08-49d8-a8ad-6ee7f3bbf8e3&xptdk=a40e1388-3a08-49d8-a8ad-6ee7f3bbf8e3,,
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmxiu75jtddw8e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,iPhone 14 128 new BNIB,,Rp,9.360.000,,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sukoharjo,,,,,,"iPhone 14 128 new BNIB
Rp
9.360.000
1 Terjual
3-5 Hari
Kab. Sukoharjo",https://shopee.co.id/iPhone-14-128-new-BNIB-i.794203169.29994581620?extraParams=%7B%22display_model_id%22%3A375766769824%2C%22model_selection_logic%22%3A3%7D&sp_atk=2f135349-1e54-4bf0-8851-8baa9478ba98&xptdk=2f135349-1e54-4bf0-8851-8baa9478ba98,,
https://down-id.img.susercontent.com/file/id-11134207-8224x-mjzsscgixb0i17,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,Apple iPhone 15 128GB - Garansi Resmi Indonesia,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,11.830.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-66%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Apple iPhone 15 128GB - Garansi Resmi Indonesia
Rp
11.830.000
-66%
4.9
1RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Apple-iPhone-15-128GB-Garansi-Resmi-Indonesia-i.1105655476.43410284303?extraParams=%7B%22display_model_id%22%3A350493411165%2C%22model_selection_logic%22%3A3%7D&sp_atk=41d3d205-66f2-4dac-85c1-63a3f3a03f58&xptdk=41d3d205-66f2-4dac-85c1-63a3f3a03f58,,
https://down-id.img.susercontent.com/file/id-11134207-7r990-lm8mlqt53e3oa5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,13 128GB Baru Segel Garansi Resmi Ibox Indonesia 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,9.100.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari Ini 12:00,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,"13 128GB Baru Segel Garansi Resmi Ibox Indonesia 1 Tahun
Rp
9.100.000
5.0
3 Terjual
Hari Ini 12:00
Surabaya",https://shopee.co.id/13-128GB-Baru-Segel-Garansi-Resmi-Ibox-Indonesia-1-Tahun-i.162746231.23656364099?extraParams=%7B%22display_model_id%22%3A204619233271%2C%22model_selection_logic%22%3A3%7D&sp_atk=ee927ade-c2c0-431e-8d4e-4311e8102941&xptdk=ee927ade-c2c0-431e-8d4e-4311e8102941,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0t-md5rzmeisyzc58,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,IP 14 [ Garansi Resmi ] [Iphone@] 128GB Resmii,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.949.000,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,757 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-9%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,"IP 14 [ Garansi Resmi ] [Iphone@] 128GB Resmii
Rp
9.949.000
-9%
Kombo Hemat
4.9
757 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/IP-14-Garansi-Resmi-Iphone-128GB-Resmii-i.1516969716.42061977102?extraParams=%7B%22display_model_id%22%3A306003254090%2C%22model_selection_logic%22%3A3%7D&sp_atk=b274449c-c334-4c5c-87df-53afa964fc97&xptdk=b274449c-c334-4c5c-87df-53afa964fc97,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mc9b9vroafsr28,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,APPLE iPhone 15 128GB 256GB 512GB A16 Bionic CPU 6C / GPU 5C Resmi IBOX,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,12.221.000,Kombo Hemat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,185 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,"APPLE iPhone 15 128GB 256GB 512GB A16 Bionic CPU 6C / GPU 5C Resmi IBOX
Rp
12.221.000
Kombo Hemat
4.9
185 Terjual
Besok
Kab. Sidoarjo",https://shopee.co.id/APPLE-iPhone-15-128GB-256GB-512GB-A16-Bionic-CPU-6C-GPU-5C-Resmi-IBOX-i.71769871.40758418361?extraParams=%7B%22display_model_id%22%3A277145561802%2C%22model_selection_logic%22%3A3%7D&sp_atk=40101c1d-3cc1-4f9d-b45e-9795f1245240&xptdk=40101c1d-3cc1-4f9d-b45e-9795f1245240,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mdr8co9v8tgv07,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Apple iPhone 15 128GB, Black",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,11.799.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,8RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-19%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Apple iPhone 15 128GB, Black
Rp
11.799.000
-19%
5.0
8RB+ Terjual
2-3 Hari
Jakarta Barat",https://shopee.co.id/Apple-iPhone-15-128GB-Black-i.241308147.15198254976?extraParams=%7B%22display_model_id%22%3A109021980808%2C%22model_selection_logic%22%3A3%7D&sp_atk=dea8e159-b2fc-4ef2-93b8-e7d8dd49bd8a&xptdk=dea8e159-b2fc-4ef2-93b8-e7d8dd49bd8a,,
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mdv8sc9pxfgnad,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,iphone 13 baru,,Rp,8.150.000,Grosir,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,14 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pasuruan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,"iphone 13 baru
Rp
8.150.000
Grosir
5.0
14 Terjual
< 2 Hari
Pasuruan",https://shopee.co.id/iphone-13-baru-i.124796933.43065088421?extraParams=%7B%22display_model_id%22%3A291248442114%2C%22model_selection_logic%22%3A3%7D&sp_atk=5e60a4fd-446a-4349-b81a-7bad106b2597&xptdk=5e60a4fd-446a-4349-b81a-7bad106b2597,,
