-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,text-ellipsis,truncate,img_2,text-xs_2,_container,_container_link,img,text-shopee-green
https://down-id.img.susercontent.com/file/id-11134207-8224t-mkxeb4827w1t96,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,REALME C71 4/6/8GB 128GB | FOREST - WHITE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.239.000,-44%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,44 Terjual,"REALME C71 4/6/8GB 128GB | FOREST - WHITE
Rp
2.239.000
-44%
5.0
44 Terjual
Hari ini
Surabaya",https://shopee.co.id/REALME-C71-4-6-8GB-128GB-FOREST-WHITE-i.1273997571.55556238771?extraParams=%7B%22display_model_id%22%3A320568854874%2C%22model_selection_logic%22%3A3%7D&sp_atk=7f1537cd-99c1-4f47-94d5-75153c206117&xptdk=7f1537cd-99c1-4f47-94d5-75153c206117,,
https://down-id.img.susercontent.com/file/id-11134207-822wk-mmoyuefauio62f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Realme P3 Lite 4GB+8GB 128GB 6300mAh NFC | Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.845.000,-46%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,702 Terjual,"Realme P3 Lite 4GB+8GB 128GB 6300mAh NFC | Garansi Resmi
Rp
1.845.000
-46%
Hadiah Gratis
4.9
702 Terjual
Besok
Surabaya",https://shopee.co.id/Realme-P3-Lite-4GB-8GB-128GB-6300mAh-NFC-Garansi-Resmi-i.1366391145.47951984535?extraParams=%7B%22display_model_id%22%3A415387559284%2C%22model_selection_logic%22%3A3%7D&sp_atk=68994f7f-dbc3-4cc2-aa51-3ad09d16f148&xptdk=68994f7f-dbc3-4cc2-aa51-3ad09d16f148,,
https://down-id.img.susercontent.com/file/id-11134207-8224w-mh8rpshhhfyi22,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Realme C71 [8GB+128GB] - Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.899.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,740 Terjual,"Realme C71 [8GB+128GB] - Garansi Resmi 1 Tahun
Rp
1.899.000
4.9
740 Terjual
2-5 Hari
Jakarta Utara",https://shopee.co.id/Realme-C71-8GB-128GB-Garansi-Resmi-1-Tahun-i.1053062682.44254471047?extraParams=%7B%22display_model_id%22%3A119513936703%2C%22model_selection_logic%22%3A3%7D&sp_atk=a571b241-2598-4cbd-9415-7ed73afd7160&xptdk=a571b241-2598-4cbd-9415-7ed73afd7160,,
https://down-id.img.susercontent.com/file/id-11134201-7ra0q-mc1tr7oktcmr82,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,realme C71 4GB+8GB* |128GB (6300 Baterai | 45W Fast Charge | Military Grade Shock Resistance | NFC),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.899.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,10RB+ Terjual,"realme C71 4GB+8GB* |128GB (6300 Baterai | 45W Fast Charge | Military Grade Shock Resistance | NFC)
Rp
1.899.000
4.9
10RB+ Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/realme-C71-4GB-8GB*-128GB-(6300-Baterai-45W-Fast-Charge-Military-Grade-Shock-Resistance-NFC)-i.109598751.43453727326?extraParams=%7B%22display_model_id%22%3A227864201524%2C%22model_selection_logic%22%3A3%7D&sp_atk=da708a14-a674-451f-ae9d-b0638d1b4b99&xptdk=da708a14-a674-451f-ae9d-b0638d1b4b99,,
https://down-id.img.susercontent.com/file/sg-11134201-8262e-mlc94fnynugx8b,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,realme Note 80 4GB+8GB*|128GB (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell™ | Jaminan Lancar Hingga 48-bulan | IP54),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.149.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,252 Terjual,"realme Note 80 4GB+8GB*|128GB (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell™ | Jaminan Lancar Hingga 48-bulan | IP54)
Rp
2.149.000
4.9
252 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/realme-Note-80-4GB-8GB*-128GB-(Desain-Tangguh-6300mAh-Baterai-Proteksi-ArmorShell%E2%84%A2-Jaminan-Lancar-Hingga-48-bulan-IP54)-i.109598751.51055779332?extraParams=%7B%22display_model_id%22%3A375523388811%2C%22model_selection_logic%22%3A3%7D&sp_atk=f0177f69-54b9-4512-9517-e9d5470c6679&xptdk=f0177f69-54b9-4512-9517-e9d5470c6679,,
https://down-id.img.susercontent.com/file/id-11134207-822wr-mmpo5amer1tt2b,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,"Realme 16 5G [8GB+256GB] [12GB+256GB] Mediatek Dimensity 6400 Turbo -Display AMOLED 6,57 inch - Camera 50MP - 7000mAh - Garansi Resmi 1 Tahun",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.769.000,-18%,,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,15 Terjual,"Realme 16 5G [8GB+256GB] [12GB+256GB] Mediatek Dimensity 6400 Turbo -Display AMOLED 6,57 inch - Camera 50MP - 7000mAh - Garansi Resmi 1 Tahun
Rp
4.769.000
-18%
4.8
15 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Realme-16-5G-8GB-256GB-12GB-256GB-Mediatek-Dimensity-6400-Turbo-Display-AMOLED-6-57-inch-Camera-50MP-7000mAh-Garansi-Resmi-1-Tahun-i.1516969716.49007224826?extraParams=%7B%22display_model_id%22%3A340642958009%2C%22model_selection_logic%22%3A3%7D&sp_atk=e316737c-352f-480a-bc8e-40d9740ef6eb&xptdk=e316737c-352f-480a-bc8e-40d9740ef6eb,,
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlcbju5m8xz4d4,https://down-id.img.susercontent.com/file/id-11134258-822wp-mnayfzzccrupa3,realme Note 80 4GB+8GB*|128GB (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell | Jaminan Lancar Hingga 48-bulan | IP54),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.099.000,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,51 Terjual,"realme Note 80 4GB+8GB*|128GB (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell | Jaminan Lancar Hingga 48-bulan | IP54)
Rp
2.099.000
-2%
4.9
51 Terjual
< 2 Hari
Kab. Tangerang",https://shopee.co.id/realme-Note-80-4GB-8GB*-128GB-(Desain-Tangguh-6300mAh-Baterai-Proteksi-ArmorShell-Jaminan-Lancar-Hingga-48-bulan-IP54)-i.1050447455.49356681250?extraParams=%7B%22display_model_id%22%3A380598740574%2C%22model_selection_logic%22%3A3%7D&sp_atk=29abf2d3-482c-4623-96a5-22de22010eac&xptdk=29abf2d3-482c-4623-96a5-22de22010eac,,
https://down-id.img.susercontent.com/file/id-11134207-822wo-mnfryc8buj9f97,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,realme Note 80 RAM 4+8GB | 128GB | 64GB (6300 mAh | Proteksi Armorshell | IP54 | ORIGINAL,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.735.000,-6%,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandar Lampung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,307 Terjual,"realme Note 80 RAM 4+8GB | 128GB | 64GB (6300 mAh | Proteksi Armorshell | IP54 | ORIGINAL
Rp
1.735.000
-6%
5.0
307 Terjual
3-6 Hari
Bandar Lampung",https://shopee.co.id/realme-Note-80-RAM-4-8GB-128GB-64GB-(6300-mAh-Proteksi-Armorshell-IP54-ORIGINAL-i.1410261051.55156388120?extraParams=%7B%22display_model_id%22%3A282418095698%2C%22model_selection_logic%22%3A3%7D&sp_atk=5dec04a7-66d5-430c-9bd4-4812f9edb0db&xptdk=5dec04a7-66d5-430c-9bd4-4812f9edb0db,,
https://down-id.img.susercontent.com/file/id-11134207-822wk-mlpsqtmj6ivj32,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,[Gratis Earphone Bluetooth]  Realme 16 5G 8GB+10GB 256GB Resmi 7000mAh Baterai Titan 60W Fast Charging Kamera 50MP IP68 Anti Air Debu HP Android,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.653.000,-21%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,,1-4 Hari,"[Gratis Earphone Bluetooth] Realme 16 5G 8GB+10GB 256GB Resmi 7000mAh Baterai Titan 60W Fast Charging Kamera 50MP IP68 Anti Air Debu HP Android
Rp
5.653.000
-21%
1-4 Hari
Pontianak",https://shopee.co.id/-Gratis-Earphone-Bluetooth-Realme-16-5G-8GB-10GB-256GB-Resmi-7000mAh-Baterai-Titan-60W-Fast-Charging-Kamera-50MP-IP68-Anti-Air-Debu-HP-Android-i.1717858591.45157115625?extraParams=%7B%22display_model_id%22%3A315745955435%2C%22model_selection_logic%22%3A3%7D&sp_atk=3d4e46df-58f9-43fd-b1c0-60f5c3c577d4&xptdk=3d4e46df-58f9-43fd-b1c0-60f5c3c577d4,,
https://down-id.img.susercontent.com/file/id-11134207-822wt-mmoyuefam39i1c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,realme C85 4G 6GB +128 | 8GB +128GB | 8GB+256GB7000mAh Titan Battery | IP69 Pro Water Resistance | 144Hz 1200nit Ultra Bright Display,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,2.564.000,-49%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,101 Terjual,"realme C85 4G 6GB +128 | 8GB +128GB | 8GB+256GB7000mAh Titan Battery | IP69 Pro Water Resistance | 144Hz 1200nit Ultra Bright Display
Rp
2.564.000
-49%
Hadiah Gratis
5.0
101 Terjual
Besok
Surabaya",https://shopee.co.id/realme-C85-4G-6GB-128-8GB-128GB-8GB-256GB7000mAh-Titan-Battery-IP69-Pro-Water-Resistance-144Hz-1200nit-Ultra-Bright-Display-i.1366391145.49152621374?extraParams=%7B%22display_model_id%22%3A395387589832%2C%22model_selection_logic%22%3A3%7D&sp_atk=9dab5f5a-edb8-4d92-ad03-c7e038126600&xptdk=9dab5f5a-edb8-4d92-ad03-c7e038126600,,
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmzf1qhdqrr80e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,realme C71 NFC 4/128GB 6/128GB 8/128GB Baterai 6300mAh 45W Layar 120Hz Tahan Banting Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.808.000,-52%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,9 Terjual,"realme C71 NFC 4/128GB 6/128GB 8/128GB Baterai 6300mAh 45W Layar 120Hz Tahan Banting Garansi Resmi
Rp
1.808.000
-52%
5.0
9 Terjual
3-5 Hari
Denpasar",https://shopee.co.id/realme-C71-NFC-4-128GB-6-128GB-8-128GB-Baterai-6300mAh-45W-Layar-120Hz-Tahan-Banting-Garansi-Resmi-i.1704458777.53556865419?extraParams=%7B%22display_model_id%22%3A297438647160%2C%22model_selection_logic%22%3A3%7D&sp_atk=b9db87c6-c0ce-4837-8371-bf1cea6fd6ec&xptdk=b9db87c6-c0ce-4837-8371-bf1cea6fd6ec,,
https://down-id.img.susercontent.com/file/sg-11134201-81zwn-mmk7twbxkzybb0,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,realme 16 5G 12GB+14GB*|256GB (Air design | 50MP Front & Sony Rear AI Cameras | Selfie Mirror | 7000mAh Titan Battery + 60W Ultra Charge | AI Instant Clip),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.999.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,48 Terjual,"realme 16 5G 12GB+14GB*|256GB (Air design | 50MP Front & Sony Rear AI Cameras | Selfie Mirror | 7000mAh Titan Battery + 60W Ultra Charge | AI Instant Clip)
Rp
5.999.000
5.0
48 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/realme-16-5G-12GB-14GB*-256GB-(Air-design-50MP-Front-Sony-Rear-AI-Cameras-Selfie-Mirror-7000mAh-Titan-Battery-60W-Ultra-Charge-AI-Instant-Clip)-i.109598751.46355808003?extraParams=%7B%22display_model_id%22%3A330523401009%2C%22model_selection_logic%22%3A3%7D&sp_atk=470f03e4-6597-45d9-a666-a753280135ed&xptdk=470f03e4-6597-45d9-a666-a753280135ed,,
https://down-id.img.susercontent.com/file/sg-11134201-81zwi-mmk7twbu9loh4c,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,realme 16 5G 8GB+10GB*|256GB (Air design | 50MP Front & Sony Rear AI Cameras | Selfie Mirror | 7000mAh Titan Battery + 60W Ultra Charge | AI Instant Clip),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.499.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,49 Terjual,"realme 16 5G 8GB+10GB*|256GB (Air design | 50MP Front & Sony Rear AI Cameras | Selfie Mirror | 7000mAh Titan Battery + 60W Ultra Charge | AI Instant Clip)
Rp
5.499.000
4.9
49 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/realme-16-5G-8GB-10GB*-256GB-(Air-design-50MP-Front-Sony-Rear-AI-Cameras-Selfie-Mirror-7000mAh-Titan-Battery-60W-Ultra-Charge-AI-Instant-Clip)-i.109598751.51455790422?extraParams=%7B%22display_model_id%22%3A147999528612%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c0a67cd-a69a-4871-b1a3-0554a45661c4&xptdk=8c0a67cd-a69a-4871-b1a3-0554a45661c4,,
https://down-id.img.susercontent.com/file/id-11134201-7ra0s-mc1tr7oktb4xe9,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,realme C71 6GB+12GB* |128GB (6300 Baterai | 45W Fast Charge | Military Grade Shock Resistance | NFC),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.099.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,3RB+ Terjual,"realme C71 6GB+12GB* |128GB (6300 Baterai | 45W Fast Charge | Military Grade Shock Resistance | NFC)
Rp
2.099.000
4.9
3RB+ Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/realme-C71-6GB-12GB*-128GB-(6300-Baterai-45W-Fast-Charge-Military-Grade-Shock-Resistance-NFC)-i.109598751.41653712598?extraParams=%7B%22display_model_id%22%3A280311952429%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbd3d4f8-6d4b-450f-823e-8bc3a0187fc9&xptdk=bbd3d4f8-6d4b-450f-823e-8bc3a0187fc9,,
https://down-id.img.susercontent.com/file/id-11134207-822ws-mmk16kkrg3d2dd,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Realme C75 5G NFC 8GB RAM 256GB ROM AI Ready Helio G92 Max Kamera 50MP Baterai 6000mAh Layar 6.72” FHD+ 90Hz,,Rp,2.289.999,-36%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,117 Terjual,"Realme C75 5G NFC 8GB RAM 256GB ROM AI Ready Helio G92 Max Kamera 50MP Baterai 6000mAh Layar 6.72” FHD+ 90Hz
Rp
2.289.999
-36%
5.0
117 Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/Realme-C75-5G-NFC-8GB-RAM-256GB-ROM-AI-Ready-Helio-G92-Max-Kamera-50MP-Baterai-6000mAh-Layar-6.72%E2%80%9D-FHD-90Hz-i.1774466673.28894499809?extraParams=%7B%22display_model_id%22%3A355721656988%2C%22model_selection_logic%22%3A3%7D&sp_atk=49cfd757-94ae-4ecc-b359-a04be257f0cf&xptdk=49cfd757-94ae-4ecc-b359-a04be257f0cf,,
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlh4kvewz474d2,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,realme Note 80 4GB+8GB*|64GB (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell™ | Jaminan Lancar Hingga 48-bulan | IP54),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.849.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,377 Terjual,"realme Note 80 4GB+8GB*|64GB (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell™ | Jaminan Lancar Hingga 48-bulan | IP54)
Rp
1.849.000
5.0
377 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/realme-Note-80-4GB-8GB*-64GB-(Desain-Tangguh-6300mAh-Baterai-Proteksi-ArmorShell%E2%84%A2-Jaminan-Lancar-Hingga-48-bulan-IP54)-i.109598751.47355804118?extraParams=%7B%22display_model_id%22%3A307386299061%2C%22model_selection_logic%22%3A3%7D&sp_atk=8324a82b-9f4c-4b6e-8345-20d29060985f&xptdk=8324a82b-9f4c-4b6e-8345-20d29060985f,,
