-image-yazkc-11,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,-image-yazkc-11_2,inline-block,w-auto,text-white,img,text-xs/sp14_2,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wr-mn9nw0fqs6x1e9,huawei p30 lite ram 6/128 seken,Rp,800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,,,,,,"Scrape to BigSeller
huawei p30 lite ram 6/128 seken
Rp
800.000
4-8 Hari
Kab. Tangerang",https://shopee.co.id/huawei-p30-lite-ram-6-128-seken-i.230298126.51709134272?extraParams=%7B%22display_model_id%22%3A405810103417%2C%22model_selection_logic%22%3A3%7D&sp_atk=9f8b4bf1-ac40-47f2-9b8c-7234ded590f0&xptdk=9f8b4bf1-ac40-47f2-9b8c-7234ded590f0
https://down-id.img.susercontent.com/file/id-11134207-81ztf-me9xh9pn2fwh41,Huawei Nova 3i 4/128 GB Resmi Indonesia Second Ori (Baca Deskripsi),Rp,675.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Huawei Nova 3i 4/128 GB Resmi Indonesia Second Ori (Baca Deskripsi)
Rp
675.000
Besok
Jakarta Utara",https://shopee.co.id/Huawei-Nova-3i-4-128-GB-Resmi-Indonesia-Second-Ori-(Baca-Deskripsi)-i.1563349780.41967650182?extraParams=%7B%22display_model_id%22%3A276452833167%2C%22model_selection_logic%22%3A3%7D&sp_atk=012b0023-9427-4679-ba88-82fc5cfa1e01&xptdk=012b0023-9427-4679-ba88-82fc5cfa1e01
https://down-id.img.susercontent.com/file/id-11134207-822wu-mn3hlce34f0gc7,Huawei Elegant mulus murah second,Rp,400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,,"Scrape to BigSeller
Huawei Elegant mulus murah second
Rp
400.000
4-7 Hari
Kab. Bandung",https://shopee.co.id/Huawei-Elegant-mulus-murah-second-i.6613662.52108899722?extraParams=%7B%22display_model_id%22%3A315790513732%2C%22model_selection_logic%22%3A3%7D&sp_atk=aa350dae-bdf6-4bb5-a5a6-a9390a5a407f&xptdk=aa350dae-bdf6-4bb5-a5a6-a9390a5a407f
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn6rto2n3k7616,Huawei Mate 20 Pro 6/128 GB Garansi Resmi Indonesia Second Bekas Original (Baca Deskripsi),Rp,1.775.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Huawei Mate 20 Pro 6/128 GB Garansi Resmi Indonesia Second Bekas Original (Baca Deskripsi)
Rp
1.775.000
Besok
Jakarta Utara",https://shopee.co.id/Huawei-Mate-20-Pro-6-128-GB-Garansi-Resmi-Indonesia-Second-Bekas-Original-(Baca-Deskripsi)-i.515774005.50459038772?extraParams=%7B%22display_model_id%22%3A259212705388%2C%22model_selection_logic%22%3A3%7D&sp_atk=07b91c29-faa8-46bf-a019-50bb91f3f59a&xptdk=07b91c29-faa8-46bf-a019-50bb91f3f59a
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmp8fs6sfimd6f,Huawei Nova 8i second,Rp,1.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,,"Scrape to BigSeller
Huawei Nova 8i second
Rp
1.500.000
4-7 Hari
Kab. Cirebon",https://shopee.co.id/Huawei-Nova-8i-second-i.283517352.51308271350?extraParams=%7B%22display_model_id%22%3A405734724564%2C%22model_selection_logic%22%3A3%7D&sp_atk=41e4d47f-be0f-4df5-8400-91b72ad9c3c4&xptdk=41e4d47f-be0f-4df5-8400-91b72ad9c3c4
https://down-id.img.susercontent.com/file/id-11134207-8224w-mhobzvl0rw8w58,Huawei P30 lite Ram 6/128gb All operator minus dikit normal,Rp,800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,8-20 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Batam,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,,"Scrape to BigSeller
Huawei P30 lite Ram 6/128gb All operator minus dikit normal
Rp
800.000
8-20 Hari
Batam",https://shopee.co.id/Huawei-P30-lite-Ram-6-128gb-All-operator-minus-dikit-normal-i.113909107.49352370831?extraParams=%7B%22display_model_id%22%3A395227212953%2C%22model_selection_logic%22%3A3%7D&sp_atk=018ca551-95c6-4e9f-9ee2-496947c6a2df&xptdk=018ca551-95c6-4e9f-9ee2-496947c6a2df
https://down-id.img.susercontent.com/file/id-11134207-8224z-mgph51r4mart54,huawei nova 7i ram 8/128 second nurmal,Rp,1.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Probolinggo,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,,"Scrape to BigSeller
huawei nova 7i ram 8/128 second nurmal
Rp
1.600.000
4.5
2 Terjual
< 2 Hari
Kab. Probolinggo",https://shopee.co.id/huawei-nova-7i-ram-8-128-second-nurmal-i.78346931.26660327380?extraParams=%7B%22display_model_id%22%3A108448280487%2C%22model_selection_logic%22%3A3%7D&sp_atk=3d262ff0-9084-4248-9f45-940f7bb9238a&xptdk=3d262ff0-9084-4248-9f45-940f7bb9238a
https://down-id.img.susercontent.com/file/id-11134207-8224x-mhv8pdviozk88f,HUAWEI P30 LITE RAM 6/128GB Second Original Ex Garansi Resmi Murah Kualitas Terbaik / Hp Android Second Huawei Resmi,Rp,1.349.999,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
HUAWEI P30 LITE RAM 6/128GB Second Original Ex Garansi Resmi Murah Kualitas Terbaik / Hp Android Second Huawei Resmi
Rp
1.349.999
5.0
1 Terjual
Besok
Bandung",https://shopee.co.id/HUAWEI-P30-LITE-RAM-6-128GB-Second-Original-Ex-Garansi-Resmi-Murah-Kualitas-Terbaik-Hp-Android-Second-Huawei-Resmi-i.8420742.45302622836?extraParams=%7B%22display_model_id%22%3A169123318045%2C%22model_selection_logic%22%3A3%7D&sp_atk=7c255842-f20d-48ab-92a3-5960a82fc367&xptdk=7c255842-f20d-48ab-92a3-5960a82fc367
https://down-id.img.susercontent.com/file/sg-11134201-22100-hlhuylyi1fiv38,huawaei vky L29 normal copotan,Rp,380.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Pasuruan,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,,,,,,"Scrape to BigSeller
huawaei vky L29 normal copotan
Rp
380.000
2-5 Hari
Kab. Pasuruan",https://shopee.co.id/huawaei-vky-L29-normal-copotan-i.453772462.17487239728?extraParams=%7B%22display_model_id%22%3A182670947739%2C%22model_selection_logic%22%3A3%7D&sp_atk=b99b2d26-1e56-4239-a6ab-7c4eb1207142&xptdk=b99b2d26-1e56-4239-a6ab-7c4eb1207142
https://down-id.img.susercontent.com/file/id-11134207-82250-ml7aphxve48y25,Huawei Mate 10 4/64 siap pakai,Rp,1.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tegal,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Huawei Mate 10 4/64 siap pakai
Rp
1.000.000
Besok
Tegal",https://shopee.co.id/Huawei-Mate-10-4-64-siap-pakai-i.69374066.48556536231?extraParams=%7B%22display_model_id%22%3A234655527531%2C%22model_selection_logic%22%3A3%7D&sp_atk=986c79e6-65da-471c-a85d-5beec5c0f852&xptdk=986c79e6-65da-471c-a85d-5beec5c0f852
https://down-id.img.susercontent.com/file/id-11134207-7rasb-m63qibf28d9247,Huawei Nova 5T 8/128gb Bekas (100% Original),Rp,1.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
Huawei Nova 5T 8/128gb Bekas (100% Original)
Rp
1.700.000
5.0
3 Terjual
2-3 Hari
Surakarta (Solo)",https://shopee.co.id/Huawei-Nova-5T-8-128gb-Bekas-(100-Original)-i.101812551.18173269140?extraParams=%7B%22display_model_id%22%3A186970662586%2C%22model_selection_logic%22%3A3%7D&sp_atk=dacbb796-6c7e-4e51-8ebc-70f4e3232764&xptdk=dacbb796-6c7e-4e51-8ebc-70f4e3232764
https://down-id.img.susercontent.com/file/id-11134207-7r98o-lukgoj77kz9mb1,Huawei Nova 3i second original,Rp,1.100.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
Huawei Nova 3i second original
Rp
1.100.000
5.0
5 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Huawei-Nova-3i-second-original-i.954669947.23658407615?extraParams=%7B%22display_model_id%22%3A235752268155%2C%22model_selection_logic%22%3A3%7D&sp_atk=21ab3d94-ec78-44b5-9634-7a3caa00ad14&xptdk=21ab3d94-ec78-44b5-9634-7a3caa00ad14
https://down-id.img.susercontent.com/file/id-11134207-8224s-mimikisfer5wce,ponsel bekas Huawei Y9s STK-L22 Ram 6GB Rom 128GB kirin 710f,Rp,1.050.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Baru,"Scrape to BigSeller
ponsel bekas Huawei Y9s STK-L22 Ram 6GB Rom 128GB kirin 710f
Rp
1.050.000
Produk Baru
Besok
Jakarta Barat",https://shopee.co.id/ponsel-bekas-Huawei-Y9s-STK-L22-Ram-6GB-Rom-128GB-kirin-710f-i.1216046747.55153541468?extraParams=%7B%22display_model_id%22%3A340340122332%2C%22model_selection_logic%22%3A3%7D&sp_atk=5ab216af-b441-4e34-bcdd-dcd22f3adb4c&xptdk=5ab216af-b441-4e34-bcdd-dcd22f3adb4c
https://down-id.img.susercontent.com/file/id-11134207-81ztq-mfj95na6qx3h81,HUAWEI NOVA 5T SECOND / NOVA 5T  SECOND 8/128 [BACA DESKRIPSI],Rp,1.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
HUAWEI NOVA 5T SECOND / NOVA 5T SECOND 8/128 [BACA DESKRIPSI]
Rp
1.250.000
5.0
4 Terjual
2-3 Hari
Kab. Bogor",https://shopee.co.id/HUAWEI-NOVA-5T-SECOND-NOVA-5T-SECOND-8-128-BACA-DESKRIPSI--i.391453485.41519642266?extraParams=%7B%22display_model_id%22%3A169068056984%2C%22model_selection_logic%22%3A3%7D&sp_atk=dad577fd-884b-4128-bf1e-810daf9ce976&xptdk=dad577fd-884b-4128-bf1e-810daf9ce976
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmyqy1f38e1431,Huawei P40 5G 8/128 Silver Bekas Second Prelove,Rp,3.200.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,,"Scrape to BigSeller
Huawei P40 5G 8/128 Silver Bekas Second Prelove
Rp
3.200.000
4-7 Hari
Depok",https://shopee.co.id/Huawei-P40-5G-8-128-Silver-Bekas-Second-Prelove-i.102903762.54658678457?extraParams=%7B%22display_model_id%22%3A420770713750%2C%22model_selection_logic%22%3A3%7D&sp_atk=d1c4feb9-2923-40ba-98b9-f58fcaa01c9b&xptdk=d1c4feb9-2923-40ba-98b9-f58fcaa01c9b
https://down-id.img.susercontent.com/file/id-11134207-822wj-mna8mffiez9k7f,Huawei Mate X7 16/512GB Black Garansi Resmi Indo Fullset Ori Mulus Like New Bekas Second Indonesia Hitam MateX7 Matte MatteX7 512,Rp,22.249.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
Huawei Mate X7 16/512GB Black Garansi Resmi Indo Fullset Ori Mulus Like New Bekas Second Indonesia Hitam MateX7 Matte MatteX7 512
Rp
22.249.000
Besok
Jakarta Selatan",https://shopee.co.id/Huawei-Mate-X7-16-512GB-Black-Garansi-Resmi-Indo-Fullset-Ori-Mulus-Like-New-Bekas-Second-Indonesia-Hitam-MateX7-Matte-MatteX7-512-i.14056881.52959182574?extraParams=%7B%22display_model_id%22%3A267554985156%2C%22model_selection_logic%22%3A3%7D&sp_atk=c81f194e-d5fd-4714-a5d0-e47a1e36bdbf&xptdk=c81f194e-d5fd-4714-a5d0-e47a1e36bdbf
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn9s1ltqomwxec,Huawei P30 Pro 8/256 Minus,Rp,2.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Kendal,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,,,,,,,"Scrape to BigSeller
Huawei P30 Pro 8/256 Minus
Rp
2.500.000
4-7 Hari
Kab. Kendal",https://shopee.co.id/Huawei-P30-Pro-8-256-Minus-i.113535326.57009149378?extraParams=%7B%22display_model_id%22%3A262553436193%2C%22model_selection_logic%22%3A3%7D&sp_atk=4f632fe6-6848-4f07-880d-e1f7b3b89e6a&xptdk=4f632fe6-6848-4f07-880d-e1f7b3b89e6a
https://down-id.img.susercontent.com/file/067b8c76aacbb1ddc0ffe4b16241686f,Huawei Nova 7 8/256 GB Ex Huawei Resmi Indonesia Second Bekas Seken Ex Pemakaian Good Condition,Rp,2.490.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
Huawei Nova 7 8/256 GB Ex Huawei Resmi Indonesia Second Bekas Seken Ex Pemakaian Good Condition
Rp
2.490.000
5.0
5 Terjual
2-3 Hari
Jakarta Utara",https://shopee.co.id/Huawei-Nova-7-8-256-GB-Ex-Huawei-Resmi-Indonesia-Second-Bekas-Seken-Ex-Pemakaian-Good-Condition-i.304735900.3280845623?extraParams=%7B%22display_model_id%22%3A253509805726%2C%22model_selection_logic%22%3A3%7D&sp_atk=9e8ca2a3-0296-4dcd-820e-396fbb57458e&xptdk=9e8ca2a3-0296-4dcd-820e-396fbb57458e
https://down-id.img.susercontent.com/file/id-11134207-7r98z-lz1rqzfi3cv26a,HUAWEI NOVA 5T SECOND 8/128 GB HP SECOND HANDPHONE SECOND HP SEKEN HP BEKAS HP MURAH,Rp,1.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,17 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,,"Scrape to BigSeller
HUAWEI NOVA 5T SECOND 8/128 GB HP SECOND HANDPHONE SECOND HP SEKEN HP BEKAS HP MURAH
Rp
1.800.000
4.0
17 Terjual
Besok
Kab. Bogor",https://shopee.co.id/HUAWEI-NOVA-5T-SECOND-8-128-GB-HP-SECOND-HANDPHONE-SECOND-HP-SEKEN-HP-BEKAS-HP-MURAH-i.119246735.7008086551?extraParams=%7B%22display_model_id%22%3A256396527720%2C%22model_selection_logic%22%3A3%7D&sp_atk=90be3df8-62c8-4fc7-8c74-f83ddcca5bb2&xptdk=90be3df8-62c8-4fc7-8c74-f83ddcca5bb2
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m8bbxh5x11chfd,HP Huawei Y6II Normal Second Normal Siap Pakai,Rp,500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"Scrape to BigSeller
HP Huawei Y6II Normal Second Normal Siap Pakai
Rp
500.000
5.0
1 Terjual
9-19 Hari
Makassar",https://shopee.co.id/HP-Huawei-Y6II-Normal-Second-Normal-Siap-Pakai-i.1098399642.29710496015?extraParams=%7B%22display_model_id%22%3A148781627871%2C%22model_selection_logic%22%3A3%7D&sp_atk=a08cf3cb-36bb-4ee2-b8fc-70636a02e443&xptdk=a08cf3cb-36bb-4ee2-b8fc-70636a02e443
https://down-id.img.susercontent.com/file/id-11134207-8224q-mgncyrd2h6a418,huawei mate 20x original copotan,Rp,75.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tegal,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Scrape to BigSeller
huawei mate 20x original copotan
Rp
75.000
Besok
Tegal",https://shopee.co.id/huawei-mate-20x-original-copotan-i.69374066.53950801383?extraParams=%7B%22display_model_id%22%3A345071806559%2C%22model_selection_logic%22%3A3%7D&sp_atk=22238ae1-4606-45c5-871d-fbb3d1a39302&xptdk=22238ae1-4606-45c5-871d-fbb3d1a39302
