-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,text-shopee-green,inline-block,img,text-xs/sp14_3,pointer-events-none_3,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmy3z3xo17gl57,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL INSPIRON P24T AMD A9 9420E RAM 8GB HDD 500GB LAYAR 12.0 INCH BLACK,Rp,1.899.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,Besok 12:00,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"DELL INSPIRON P24T AMD A9 9420E RAM 8GB HDD 500GB LAYAR 12.0 INCH BLACK
Rp
1.899.000
Besok 12:00
Surabaya",https://shopee.co.id/DELL-INSPIRON-P24T-AMD-A9-9420E-RAM-8GB-HDD-500GB-LAYAR-12.0-INCH-BLACK-i.18635193.48258697920?extraParams=%7B%22display_model_id%22%3A167393280641%2C%22model_selection_logic%22%3A3%7D&sp_atk=58e01354-f5ae-4c60-9244-6b8af030cc3e&xptdk=58e01354-f5ae-4c60-9244-6b8af030cc3e
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m331xtosgt6s76,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Dell Inspiron 5301 Core i7-1165G7 NVIDIA MX350 Ram 8Gb Ssd 512Gb SCU16287,Rp,9.397.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Laptop Dell Inspiron 5301 Core i7-1165G7 NVIDIA MX350 Ram 8Gb Ssd 512Gb SCU16287
Rp
9.397.500
< 2 Hari
Malang",https://shopee.co.id/Laptop-Dell-Inspiron-5301-Core-i7-1165G7-NVIDIA-MX350-Ram-8Gb-Ssd-512Gb-SCU16287-i.44435356.25588815319?extraParams=%7B%22display_model_id%22%3A138132844013%2C%22model_selection_logic%22%3A3%7D&sp_atk=52dffcfa-ebf4-4cb9-9608-39242867f13d&xptdk=52dffcfa-ebf4-4cb9-9608-39242867f13d
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmog6zvjal1e6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL LATITUDE 5330 CORE i5 GEN 12 (TOUCHSCREEN) 16/256GB,Rp,5.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,-13%,2-4 Hari,,,,,,"DELL LATITUDE 5330 CORE i5 GEN 12 (TOUCHSCREEN) 16/256GB
Rp
5.800.000
-13%
2-4 Hari
Bandung",https://shopee.co.id/DELL-LATITUDE-5330-CORE-i5-GEN-12-(TOUCHSCREEN)-16-256GB-i.1422954640.56156531401?extraParams=%7B%22display_model_id%22%3A259206705136%2C%22model_selection_logic%22%3A3%7D&sp_atk=932ec6f4-18c3-4a8f-b29c-188295293330&xptdk=932ec6f4-18c3-4a8f-b29c-188295293330
https://down-id.img.susercontent.com/file/id-11134207-7rasi-m3vwh8d2gg2g94,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Dell Inspiron 3535 Touchscreen AMD Ryzen 7 15.6""",Rp,9.505.020,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-2%,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Dell Inspiron 3535 Touchscreen AMD Ryzen 7 15.6""
Rp
9.505.020
-2%
5.0
8 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Dell-Inspiron-3535-Touchscreen-AMD-Ryzen-7-15.6--i.357633576.29270926746?extraParams=%7B%22display_model_id%22%3A252273379337%2C%22model_selection_logic%22%3A3%7D&sp_atk=6ce739b3-c18a-4093-8337-ed439d031a2e&xptdk=6ce739b3-c18a-4093-8337-ed439d031a2e
https://down-id.img.susercontent.com/file/sg-11134201-8262m-mllygpot6tj837,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 3420 Core I5 Gen 11 RAM 16GB SSD 512GB NVME Bonus Tas & Mouse Wireless Windows Office,Rp,4.008.001,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-41%,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Dell Latitude 3420 Core I5 Gen 11 RAM 16GB SSD 512GB NVME Bonus Tas & Mouse Wireless Windows Office
Rp
4.008.001
-41%
2 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-3420-Core-I5-Gen-11-RAM-16GB-SSD-512GB-NVME-Bonus-Tas-Mouse-Wireless-Windows-Office-i.1556303584.40429148324?extraParams=%7B%22display_model_id%22%3A302444218852%2C%22model_selection_logic%22%3A3%7D&sp_atk=878e4b12-4079-4d4a-b95b-753504007a7d&xptdk=878e4b12-4079-4d4a-b95b-753504007a7d
https://down-id.img.susercontent.com/file/id-11134207-822wl-mmk0oyplvthf9b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Precision 5530 i9 Gen 8 15.6"" FHD IPS",Rp,6.690.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-1%,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Kombo Hemat,"Dell Precision 5530 i9 Gen 8 15.6"" FHD IPS
Rp
6.690.000
-1%
Kombo Hemat
Besok 12:00
Surabaya",https://shopee.co.id/Dell-Precision-5530-i9-Gen-8-15.6-FHD-IPS-i.1290502453.27244499467?extraParams=%7B%22display_model_id%22%3A315721662085%2C%22model_selection_logic%22%3A3%7D&sp_atk=fd248fd6-02c4-49a6-b50d-ee5eea61f71a&xptdk=fd248fd6-02c4-49a6-b50d-ee5eea61f71a
https://down-id.img.susercontent.com/file/id-11134207-8224y-mhrd2515n30h2e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Dell Latitude 14 5450 Ultra 5 32GB 1TB IPS Windows 11,Rp,9.497.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,-1%,11 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,"Dell Latitude 14 5450 Ultra 5 32GB 1TB IPS Windows 11
Rp
9.497.000
-1%
Hadiah Gratis
5.0
11 Terjual
< 2 Hari
Depok",https://shopee.co.id/Dell-Latitude-14-5450-Ultra-5-32GB-1TB-IPS-Windows-11-i.768368658.26860197726?extraParams=%7B%22display_model_id%22%3A405569447379%2C%22model_selection_logic%22%3A3%7D&sp_atk=525b2d12-bb18-4fab-928b-8f7e38d938d6&xptdk=525b2d12-bb18-4fab-928b-8f7e38d938d6
https://down-id.img.susercontent.com/file/id-11134207-822wm-mlkg7191yvb9cf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL LATITUDE 7320/ LAPTOP DENGAN GEN TERBARU,Rp,6.485.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"DELL LATITUDE 7320/ LAPTOP DENGAN GEN TERBARU
Rp
6.485.000
< 2 Hari
Kab. Sleman",https://shopee.co.id/DELL-LATITUDE-7320-LAPTOP-DENGAN-GEN-TERBARU-i.933065681.51056929148?extraParams=%7B%22display_model_id%22%3A395619913427%2C%22model_selection_logic%22%3A3%7D&sp_atk=7fbf93c9-68a2-4a7a-80f1-947e56f0afe3&xptdk=7fbf93c9-68a2-4a7a-80f1-947e56f0afe3
https://down-id.img.susercontent.com/file/id-11134207-822wj-mld0g8y2aiv92e,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Militer Outdoor Dell Latitude RUGGED 5420 i7 Gen8 RAM 32GB SSD 512GB Touchscreen,Rp,4.795.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,-1%,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Laptop Militer Outdoor Dell Latitude RUGGED 5420 i7 Gen8 RAM 32GB SSD 512GB Touchscreen
Rp
4.795.000
-1%
5 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/Laptop-Militer-Outdoor-Dell-Latitude-RUGGED-5420-i7-Gen8-RAM-32GB-SSD-512GB-Touchscreen-i.609911463.51206680274?extraParams=%7B%22display_model_id%22%3A345721826979%2C%22model_selection_logic%22%3A3%7D&sp_atk=6af3bd11-2c51-4bc4-9c7f-f8071e22234c&xptdk=6af3bd11-2c51-4bc4-9c7f-f8071e22234c
https://down-id.img.susercontent.com/file/id-11134207-7r98x-ls14cgojyo925d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Dell Vostro 14 3000 Mengkilat,Rp,8.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,56 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,,,"Laptop Dell Vostro 14 3000 Mengkilat
Rp
8.500
4.8
56 Terjual
7 Hari
Kab. Cirebon",https://shopee.co.id/Laptop-Dell-Vostro-14-3000-Mengkilat-i.368869539.24864655347?extraParams=%7B%22display_model_id%22%3A255359934016%2C%22model_selection_logic%22%3A2%7D&sp_atk=9b4e6d10-9688-405f-9e6d-748b61c64f79&xptdk=9b4e6d10-9688-405f-9e6d-748b61c64f79
https://down-id.img.susercontent.com/file/id-11134207-8224z-mjf566klh1q9f1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Dell Latitude 5330 Intel Core i5 Generasi 12,Rp,5.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,Besok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,,"Laptop Dell Latitude 5330 Intel Core i5 Generasi 12
Rp
5.000.000
Besok
Surabaya",https://shopee.co.id/Laptop-Dell-Latitude-5330-Intel-Core-i5-Generasi-12-i.220594153.43127974545?extraParams=%7B%22display_model_id%22%3A385752395761%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4c58fc5-4fbf-4b67-adfe-360b9b94be38&xptdk=d4c58fc5-4fbf-4b67-adfe-360b9b94be38
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-md2q76xn4ndw59,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Latitude 7410 i5/i7 14"" IPS Windows 10",Rp,5.140.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-1%,4 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Kombo Hemat,"Dell Latitude 7410 i5/i7 14"" IPS Windows 10
Rp
5.140.000
-1%
Kombo Hemat
5.0
4 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Dell-Latitude-7410-i5-i7-14-IPS-Windows-10-i.1290502453.29179042444?extraParams=%7B%22display_model_id%22%3A237488271247%2C%22model_selection_logic%22%3A3%7D&sp_atk=5cd2a9ee-4b92-4db2-baf6-32d14db82509&xptdk=5cd2a9ee-4b92-4db2-baf6-32d14db82509
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m9126s3o3uot81,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Latitude 5410 i5/i7 Gen 11 14"" SSD 1M Warranty",Rp,3.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,259 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,,Hadiah Gratis,"Dell Latitude 5410 i5/i7 Gen 11 14"" SSD 1M Warranty
Rp
3.300.000
Hadiah Gratis
4.9
259 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Dell-Latitude-5410-i5-i7-Gen-11-14-SSD-1M-Warranty-i.1083554816.27007783815?extraParams=%7B%22display_model_id%22%3A365391969167%2C%22model_selection_logic%22%3A3%7D&sp_atk=78434464-7102-4985-ae81-4718f94204f9&xptdk=78434464-7102-4985-ae81-4718f94204f9
https://down-id.img.susercontent.com/file/id-11134207-8224u-mjy5dm1kzdonb4,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Dell Latitude e5470 i5,Rp,2.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bojonegoro,,5-8 Hari,,,,,,"Dell Latitude e5470 i5
Rp
2.800.000
5-8 Hari
Kab. Bojonegoro",https://shopee.co.id/Dell-Latitude-e5470-i5-i.650527303.43328366012?extraParams=%7B%22display_model_id%22%3A208802926718%2C%22model_selection_logic%22%3A3%7D&sp_atk=4da62860-70ff-4c76-a5bb-ba2aabff3a4c&xptdk=4da62860-70ff-4c76-a5bb-ba2aabff3a4c
https://down-id.img.susercontent.com/file/id-11134207-8224p-mie12zg1zq4h81,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop Dell Latitude 7320 Core i7 Gen11| RAM 16GB | 512GB NVMe SSD | Win 11,Rp,5.299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Laptop Dell Latitude 7320 Core i7 Gen11| RAM 16GB | 512GB NVMe SSD | Win 11
Rp
5.299.000
5.0
1 Terjual
2-3 Hari
Surabaya",https://shopee.co.id/Laptop-Dell-Latitude-7320-Core-i7-Gen11-RAM-16GB-512GB-NVMe-SSD-Win-11-i.23355627.24554934109?extraParams=%7B%22display_model_id%22%3A375425222675%2C%22model_selection_logic%22%3A3%7D&sp_atk=bbe480bc-6e8d-4c4f-9a3a-baff6713ce52&xptdk=bbe480bc-6e8d-4c4f-9a3a-baff6713ce52
https://down-id.img.susercontent.com/file/id-11134207-822wu-mliuv8jkpbsxd5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell 5320 RAM 16Gb core i7 gen11 slim elegan 13.3 inch touchscreen,Rp,5.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,,"Dell 5320 RAM 16Gb core i7 gen11 slim elegan 13.3 inch touchscreen
Rp
5.600.000
5.0
1 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Dell-5320-RAM-16Gb-core-i7-gen11-slim-elegan-13.3-inch-touchscreen-i.31172897.43473097519?extraParams=%7B%22display_model_id%22%3A271878339407%2C%22model_selection_logic%22%3A3%7D&sp_atk=343813ea-88c0-4f24-9fab-4134a4382f81&xptdk=343813ea-88c0-4f24-9fab-4134a4382f81
https://down-id.img.susercontent.com/file/id-11134207-822wp-mlzx44kom96r3b,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Preccision 5530 Core i7 / i9 Gen 8 Ram 8GB / 16GB SSD 256GB / 512GB / 1TB Layar 15,6""Full HD",Rp,6.524.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-1%,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"Dell Preccision 5530 Core i7 / i9 Gen 8 Ram 8GB / 16GB SSD 256GB / 512GB / 1TB Layar 15,6""Full HD
Rp
6.524.000
-1%
Besok 12:00
Surabaya",https://shopee.co.id/Dell-Preccision-5530-Core-i7-i9-Gen-8-Ram-8GB-16GB-SSD-256GB-512GB-1TB-Layar-15-6-Full-HD-i.698601258.46757420059?extraParams=%7B%22display_model_id%22%3A395658028328%2C%22model_selection_logic%22%3A3%7D&sp_atk=b7bc074f-5821-4145-ac55-13c32291c352&xptdk=b7bc074f-5821-4145-ac55-13c32291c352
https://down-id.img.susercontent.com/file/id-11134207-8224z-mkozenfwr6yp88,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,DELL PRO 14 ESSENTIAL PV14255 RYZEN 5 220 8GB 512GB 14.0 WUXGA,Rp,9.084.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,-1%,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,"DELL PRO 14 ESSENTIAL PV14255 RYZEN 5 220 8GB 512GB 14.0 WUXGA
Rp
9.084.000
-1%
3-4 Hari
Bekasi",https://shopee.co.id/DELL-PRO-14-ESSENTIAL-PV14255-RYZEN-5-220-8GB-512GB-14.0-WUXGA-i.1368552879.41478764978?extraParams=%7B%22display_model_id%22%3A405563268561%2C%22model_selection_logic%22%3A3%7D&sp_atk=0c2fbf3d-5cfa-4ade-90f3-df50520d3495&xptdk=0c2fbf3d-5cfa-4ade-90f3-df50520d3495
