-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,pointer-events-none_3,truncate,img_2,text-xs_2,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-825zx-mkeyqwzx4o3m54,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Asus Vivobook 14 A1404VAP Intel Core 5 RAM 8/16GB 512GB SSD 14"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,11.483.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 Terjual,"Asus Vivobook 14 A1404VAP Intel Core 5 RAM 8/16GB 512GB SSD 14"" FHD
Rp
11.483.000
5.0
2 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Asus-Vivobook-14-A1404VAP-Intel-Core-5-RAM-8-16GB-512GB-SSD-14-FHD-i.1610100526.48255947883?extraParams=%7B%22display_model_id%22%3A167381355007%2C%22model_selection_logic%22%3A3%7D&sp_atk=48565919-48a3-46a6-8813-cd455d42d610&xptdk=48565919-48a3-46a6-8813-cd455d42d610
https://down-id.img.susercontent.com/file/id-11134207-8224q-mir7vizteqrof6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus VivoBook X1404VA-I38128 i3 8GB 512GB FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.779.600,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-4%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,8 Terjual,"Asus VivoBook X1404VA-I38128 i3 8GB 512GB FHD
Rp
6.779.600
-4%
Produk Baru
5.0
8 Terjual
2 jam
Surabaya",https://shopee.co.id/Asus-VivoBook-X1404VA-I38128-i3-8GB-512GB-FHD-i.348905854.51803830049?extraParams=%7B%22display_model_id%22%3A410363309481%2C%22model_selection_logic%22%3A3%7D&sp_atk=4db50041-6af4-42f7-b3a1-a97dd874c891&xptdk=4db50041-6af4-42f7-b3a1-a97dd874c891
https://down-id.img.susercontent.com/file/id-11134207-8224x-misnd3ykjy8807,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus VivoBook E1404FA Ryzen 3 8GB 512GB SSD FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.698.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,162 Terjual,"Asus VivoBook E1404FA Ryzen 3 8GB 512GB SSD FHD
Rp
4.698.000
-1%
Cicilan
4.9
162 Terjual
< 2 Hari
Kab. Tangerang",https://shopee.co.id/Asus-VivoBook-E1404FA-Ryzen-3-8GB-512GB-SSD-FHD-i.401207104.10528979470?extraParams=%7B%22display_model_id%22%3A395765177819%2C%22model_selection_logic%22%3A3%7D&sp_atk=9ad727e7-9c14-4e3c-bbe9-5f0f0b46cdae&xptdk=9ad727e7-9c14-4e3c-bbe9-5f0f0b46cdae
https://down-id.img.susercontent.com/file/id-11134207-8224z-mkafpyoubrwob9,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Vivobook 14 i3 8GB 512GB W11 IPS Display,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.067.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-68%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2RB+ Terjual,"Asus Vivobook 14 i3 8GB 512GB W11 IPS Display
Rp
8.067.000
-68%
Cicilan
Hadiah Gratis
4.9
2RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Asus-Vivobook-14-i3-8GB-512GB-W11-IPS-Display-i.250649369.10628880295?extraParams=%7B%22display_model_id%22%3A335744375950%2C%22model_selection_logic%22%3A3%7D&sp_atk=f1212ee3-ff16-4526-97be-29139424eb27&xptdk=f1212ee3-ff16-4526-97be-29139424eb27
https://down-id.img.susercontent.com/file/id-11134207-7r991-lz7yomt1vi20f1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS VIVOBOOK GO 14 E410KA N4500 8gb 256gb Windows11+Office 14.0FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.495.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 07:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,104 Terjual,"ASUS VIVOBOOK GO 14 E410KA N4500 8gb 256gb Windows11+Office 14.0FHD
Rp
6.495.000
5.0
104 Terjual
Besok 07:00
Surabaya",https://shopee.co.id/ASUS-VIVOBOOK-GO-14-E410KA-N4500-8gb-256gb-Windows11-Office-14.0FHD-i.1039970542.26058576494?extraParams=%7B%22display_model_id%22%3A355320376497%2C%22model_selection_logic%22%3A3%7D&sp_atk=d7473607-7514-4ba3-ad42-b0db6614b74d&xptdk=d7473607-7514-4ba3-ad42-b0db6614b74d
https://down-id.img.susercontent.com/file/sg-11134301-7rdwm-mcha7k3u0cicbc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Vivobook E1404FA-VIPS5153M R5-7520U/UMA/16GB/512GB/Cool Silver/VIPS/FHD /OPI 2024 + FREE M365/Win 11/Non-upgrade/Backpack///,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.174.800,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-42%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,328 Terjual,"Asus Vivobook E1404FA-VIPS5153M R5-7520U/UMA/16GB/512GB/Cool Silver/VIPS/FHD /OPI 2024 + FREE M365/Win 11/Non-upgrade/Backpack///
Rp
9.174.800
-42%
5.0
328 Terjual
2-3 Hari
Surabaya",https://shopee.co.id/Asus-Vivobook-E1404FA-VIPS5153M-R5-7520U-UMA-16GB-512GB-Cool-Silver-VIPS-FHD-OPI-2024-FREE-M365-Win-11-Non-upgrade-Backpack--i.54873248.41509378658?extraParams=%7B%22display_model_id%22%3A237950913326%2C%22model_selection_logic%22%3A3%7D&sp_atk=d47a873c-b603-475a-94ad-97ee5e2db3de&xptdk=d47a873c-b603-475a-94ad-97ee5e2db3de
https://down-id.img.susercontent.com/file/sg-11134201-825zk-mkf1ibdd4ow49b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"ASUS Zenbook S 14 UX5406SA Ultra 7-258V 32GB 1TB 14"" 3K 120Hz W11 OHS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,28.132.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"ASUS Zenbook S 14 UX5406SA Ultra 7-258V 32GB 1TB 14"" 3K 120Hz W11 OHS
Rp
28.132.000
< 2 Hari
Jakarta Timur",https://shopee.co.id/ASUS-Zenbook-S-14-UX5406SA-Ultra-7-258V-32GB-1TB-14-3K-120Hz-W11-OHS-i.1610100526.45905951311?extraParams=%7B%22display_model_id%22%3A335536982595%2C%22model_selection_logic%22%3A3%7D&sp_atk=8a067e74-90ab-49bf-a067-7986d147a2b4&xptdk=8a067e74-90ab-49bf-a067-7986d147a2b4
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lxxb9022jz4a93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS VIVOBOOK 14 A1404VA I3 1315 8gb 512gb 14.0FHD Windows 11+Office,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.904.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 07:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,129 Terjual,"ASUS VIVOBOOK 14 A1404VA I3 1315 8gb 512gb 14.0FHD Windows 11+Office
Rp
8.904.000
-2%
4.9
129 Terjual
Besok 07:00
Surabaya",https://shopee.co.id/ASUS-VIVOBOOK-14-A1404VA-I3-1315-8gb-512gb-14.0FHD-Windows-11-Office-i.1039970542.26055155653?extraParams=%7B%22display_model_id%22%3A297312774720%2C%22model_selection_logic%22%3A3%7D&sp_atk=dfd38325-b39e-4770-93f3-00782374ab2e&xptdk=dfd38325-b39e-4770-93f3-00782374ab2e
https://down-id.img.susercontent.com/file/id-11134207-8224y-mkafpyoxu70g9e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Vivobook 14 8GB 512GB SSD W11 FHD 2Yr Warranty,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.494.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-24%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2RB+ Terjual,"Asus Vivobook 14 8GB 512GB SSD W11 FHD 2Yr Warranty
Rp
6.494.000
-24%
Hadiah Gratis
4.9
2RB+ Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Asus-Vivobook-14-8GB-512GB-SSD-W11-FHD-2Yr-Warranty-i.250649369.15927978790?extraParams=%7B%22display_model_id%22%3A252515176158%2C%22model_selection_logic%22%3A3%7D&sp_atk=854f9610-fbcf-4ca3-9c00-f5b4dc6537aa&xptdk=854f9610-fbcf-4ca3-9c00-f5b4dc6537aa
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmtqke9bbuv7fb,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Asus Vivobook A1404VA Intel Core 13-1315U RAM 8GB SSD 256GB Windows 11 OFFICE HOME 2024,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.625.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Batam,,,,,,"Laptop Asus Vivobook A1404VA Intel Core 13-1315U RAM 8GB SSD 256GB Windows 11 OFFICE HOME 2024
Rp
7.625.000
Batam",https://shopee.co.id/Laptop-Asus-Vivobook-A1404VA-Intel-Core-13-1315U-RAM-8GB-SSD-256GB-Windows-11-OFFICE-HOME-2024-i.34909398.51008481269?extraParams=%7B%22display_model_id%22%3A345752266844%2C%22model_selection_logic%22%3A3%7D&sp_atk=517fa257-3a6d-4f0b-bb2f-cee7940d0e46&xptdk=517fa257-3a6d-4f0b-bb2f-cee7940d0e46
https://down-id.img.susercontent.com/file/id-11134207-7r98p-lnfei2cx451i58,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS Vivobook GO 14 E1404FA Ryzen 3 7320 RAM 8GB 512GB SSD Windows 11+Office 14.0FHD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.068.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 07:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,506 Terjual,"ASUS Vivobook GO 14 E1404FA Ryzen 3 7320 RAM 8GB 512GB SSD Windows 11+Office 14.0FHD
Rp
8.068.000
5.0
506 Terjual
Besok 07:00
Surabaya",https://shopee.co.id/ASUS-Vivobook-GO-14-E1404FA-Ryzen-3-7320-RAM-8GB-512GB-SSD-Windows-11-Office-14.0FHD-i.1039970542.22785007271?extraParams=%7B%22display_model_id%22%3A325369981842%2C%22model_selection_logic%22%3A3%7D&sp_atk=c3444603-94f1-45d3-8ef1-5f99a558c2bf&xptdk=c3444603-94f1-45d3-8ef1-5f99a558c2bf
https://down-id.img.susercontent.com/file/id-11134207-7qukz-liwnn2jxjyjn53,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ASUS VIVOBOOK GO 14 E1404FA RYZEN 3 7320U 8GB 256GB/512GB W11+OHS 14.0 FHD BLK,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.613.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-24%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1RB+ Terjual,"LAPTOP ASUS VIVOBOOK GO 14 E1404FA RYZEN 3 7320U 8GB 256GB/512GB W11+OHS 14.0 FHD BLK
Rp
7.613.000
-24%
4.9
1RB+ Terjual
3-4 Hari
Jakarta Utara",https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-GO-14-E1404FA-RYZEN-3-7320U-8GB-256GB-512GB-W11-OHS-14.0-FHD-BLK-i.78730497.18807428103?extraParams=%7B%22display_model_id%22%3A156963039709%2C%22model_selection_logic%22%3A3%7D&sp_atk=26d1176c-d2ab-4a2d-a4be-0a2dd406d2e2&xptdk=26d1176c-d2ab-4a2d-a4be-0a2dd406d2e2
https://down-id.img.susercontent.com/file/id-11134207-822wm-mnawxk9tj0204c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS VivoBook 14 Core i3 16GB 512GB SSD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.499.000,4.7,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,56 Terjual,"ASUS VivoBook 14 Core i3 16GB 512GB SSD Windows 11
Rp
3.499.000
-1%
Cicilan
Hadiah Gratis
4.7
56 Terjual
< 2 Hari
Kab. Tangerang",https://shopee.co.id/ASUS-VivoBook-14-Core-i3-16GB-512GB-SSD-Windows-11-i.33502991.13206081936?extraParams=%7B%22display_model_id%22%3A287555955145%2C%22model_selection_logic%22%3A3%7D&sp_atk=675ec7fb-e13e-4cd7-a6bd-90a66c507956&xptdk=675ec7fb-e13e-4cd7-a6bd-90a66c507956
https://down-id.img.susercontent.com/file/sg-11134201-7rccy-lstnfe5fvxzua4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ASUS NOTEBOOK A1404ZA-FHD321 i3 BLUE,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.998.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,4 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,4 jam,"ASUS NOTEBOOK A1404ZA-FHD321 i3 BLUE
Rp
6.998.000
4 jam
Surabaya",https://shopee.co.id/ASUS-NOTEBOOK-A1404ZA-FHD321-i3-BLUE-i.29471017.22183520892?extraParams=%7B%22display_model_id%22%3A59709420689%2C%22model_selection_logic%22%3A3%7D&sp_atk=4947f10f-cdb4-440e-91b1-80501fad230b&xptdk=4947f10f-cdb4-440e-91b1-80501fad230b
https://down-id.img.susercontent.com/file/id-11134207-8224q-mkafpyoxn668b2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Asus Vivobook 14 I3 8GB 512GB W11 IPS Display,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.016.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-61%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,854 Terjual,"Asus Vivobook 14 I3 8GB 512GB W11 IPS Display
Rp
8.016.000
-61%
Hadiah Gratis
4.9
854 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/Asus-Vivobook-14-I3-8GB-512GB-W11-IPS-Display-i.250649369.11870731761?extraParams=%7B%22display_model_id%22%3A375748145032%2C%22model_selection_logic%22%3A3%7D&sp_atk=4e311c0f-cecb-4df0-a8a7-876ad23be1c2&xptdk=4e311c0f-cecb-4df0-a8a7-876ad23be1c2
https://down-id.img.susercontent.com/file/sg-11134201-82282-mhps9isb14htc6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ASUS Zenbook 14 OLED UX3405CA Ultra 9 285H 1TB SSD 32GB 3K 120Hz Touch Win11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,27.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,-3%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,"ASUS Zenbook 14 OLED UX3405CA Ultra 9 285H 1TB SSD 32GB 3K 120Hz Touch Win11+OHS
Rp
27.999.000
-3%
< 2 Hari
Bekasi",https://shopee.co.id/ASUS-Zenbook-14-OLED-UX3405CA-Ultra-9-285H-1TB-SSD-32GB-3K-120Hz-Touch-Win11-OHS-i.1687289711.58102379654?extraParams=%7B%22display_model_id%22%3A244106240515%2C%22model_selection_logic%22%3A3%7D&sp_atk=8cdf4814-37b8-4b0e-a59d-ba98a12bae4f&xptdk=8cdf4814-37b8-4b0e-a59d-ba98a12bae4f
https://down-id.img.susercontent.com/file/id-11134207-822ws-mn6n2pu0hv5vb2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,PROMO Asus Chromebook I3 8GB 128GB FHD 14 Inch,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.499.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,199 Terjual,"PROMO Asus Chromebook I3 8GB 128GB FHD 14 Inch
Rp
6.499.000
Cicilan
4.9
199 Terjual
< 2 Hari
Kab. Tangerang",https://shopee.co.id/PROMO-Asus-Chromebook-I3-8GB-128GB-FHD-14-Inch-i.401207104.12908858836?extraParams=%7B%22display_model_id%22%3A320740768558%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c02000e-b51b-452e-91f3-e7e24694f3f8&xptdk=1c02000e-b51b-452e-91f3-e7e24694f3f8
