-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,w-auto,text-white,text-shopee-primary,pointer-events-none_3,img,text-xs/sp14_3,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-8260z-mjthhzcldkw22d,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"laptop Msi Thin GF63 12UC i5-12450H RTX 2050 Ram 16GB SSD1TB Ssd 15.6"" Fhd 144Hz Win 11",Rp,8.750.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,,"laptop Msi Thin GF63 12UC i5-12450H RTX 2050 Ram 16GB SSD1TB Ssd 15.6"" Fhd 144Hz Win 11
Rp
8.750.000
2-3 Hari
Malang",https://shopee.co.id/laptop-Msi-Thin-GF63-12UC-i5-12450H-RTX-2050-Ram-16GB-SSD1TB-Ssd-15.6-Fhd-144Hz-Win-11-i.212142573.53555157864?extraParams=%7B%22display_model_id%22%3A390473716824%2C%22model_selection_logic%22%3A3%7D&sp_atk=cf462445-8c23-4205-bb76-17088b4e6405&xptdk=cf462445-8c23-4205-bb76-17088b4e6405
https://down-id.img.susercontent.com/file/id-11134207-822wh-mmtxb37b9csme1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,laptop gaming msi gf63thin intel core i5-12450H nvidia rtx 2050 ram 8gb/ssd 512gb fhd ips 144Hz,Rp,9.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"laptop gaming msi gf63thin intel core i5-12450H nvidia rtx 2050 ram 8gb/ssd 512gb fhd ips 144Hz
Rp
9.000.000
< 2 Hari
Bandung",https://shopee.co.id/laptop-gaming-msi-gf63thin-intel-core-i5-12450H-nvidia-rtx-2050-ram-8gb-ssd-512gb-fhd-ips-144Hz-i.201383432.51058464476?extraParams=%7B%22display_model_id%22%3A345751570799%2C%22model_selection_logic%22%3A3%7D&sp_atk=293c69e0-6a8e-41cd-bd88-ab642b2e7868&xptdk=293c69e0-6a8e-41cd-bd88-ab642b2e7868
https://down-id.img.susercontent.com/file/id-11134207-8224u-mizgkpm7jkzl43,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI THIN 15 CORE I5-13420H RTX3050 - 8GB 512GB W11 15.6FHD 144HZ,Rp,12.761.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,129 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-29%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"MSI THIN 15 CORE I5-13420H RTX3050 - 8GB 512GB W11 15.6FHD 144HZ
Rp
12.761.000
-29%
5.0
129 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/MSI-THIN-15-CORE-I5-13420H-RTX3050-8GB-512GB-W11-15.6FHD-144HZ-i.1065524421.18186500677?extraParams=%7B%22display_model_id%22%3A128169129667%2C%22model_selection_logic%22%3A3%7D&sp_atk=cd91b6c3-a59c-4a1b-8b32-5129b9235b90&xptdk=cd91b6c3-a59c-4a1b-8b32-5129b9235b90
https://down-id.img.susercontent.com/file/id-11134207-822wl-mn1h9fh9oah0ac,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI GAMING GF63 Thin 11SC Intel Core i5-11400H RAM 8GB SSD 512GB GTX 1650 GEN11 144Hz,Rp,8.299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Laptop MSI GAMING GF63 Thin 11SC Intel Core i5-11400H RAM 8GB SSD 512GB GTX 1650 GEN11 144Hz
Rp
8.299.000
< 2 Hari
Bandung",https://shopee.co.id/Laptop-MSI-GAMING-GF63-Thin-11SC-Intel-Core-i5-11400H-RAM-8GB-SSD-512GB-GTX-1650-GEN11-144Hz-i.136426278.51908808195?extraParams=%7B%22display_model_id%22%3A206381443563%2C%22model_selection_logic%22%3A3%7D&sp_atk=04d722ea-69ef-4248-a5ce-45b690eba672&xptdk=04d722ea-69ef-4248-a5ce-45b690eba672
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn3wsrh9awhtcf,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop MSI GF63 Thin 9RCX, Intel Core I7- 9750H, Gen 9Th, ##DualVga: - Nvidia GeForce GTX 1050Ti 4Gb, Ram 8Gb /  1Tb + 256Gb, High Spek, Super Gaming Editing, Fullset, Black",Rp,7.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Laptop MSI GF63 Thin 9RCX, Intel Core I7- 9750H, Gen 9Th, ##DualVga: - Nvidia GeForce GTX 1050Ti 4Gb, Ram 8Gb / 1Tb + 256Gb, High Spek, Super Gaming Editing, Fullset, Black
Rp
7.800.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/Laptop-MSI-GF63-Thin-9RCX-Intel-Core-I7-9750H-Gen-9Th-DualVga-Nvidia-GeForce-GTX-1050Ti-4Gb-Ram-8Gb-1Tb-256Gb-High-Spek-Super-Gaming-Editing-Fullset-Black-i.953200515.52908928706?extraParams=%7B%22display_model_id%22%3A262542234980%2C%22model_selection_logic%22%3A3%7D&sp_atk=d96abfe6-eb64-47b6-a64c-411074fde883&xptdk=d96abfe6-eb64-47b6-a64c-411074fde883
https://down-id.img.susercontent.com/file/sg-11134201-8227k-mhu9q4r5p24o98,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 I3 1315 8GB 512GB W11 14.0FHD BLIT IPS 2Y BLK -C13M.1468,Rp,8.576.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,,,,"MSI MODERN 14 I3 1315 8GB 512GB W11 14.0FHD BLIT IPS 2Y BLK -C13M.1468
Rp
8.576.000
3-5 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-I3-1315-8GB-512GB-W11-14.0FHD-BLIT-IPS-2Y-BLK-C13M.1468-i.1273141886.54152568718?extraParams=%7B%22display_model_id%22%3A282226953100%2C%22model_selection_logic%22%3A3%7D&sp_atk=04dc1283-eaf6-474a-b913-e2f842a24de4&xptdk=04dc1283-eaf6-474a-b913-e2f842a24de4
https://down-id.img.susercontent.com/file/id-11134207-82251-mirbm014bpxc92,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 I5 1334 8GB 512GB W11 14.0FHD BLIT 2Y,Rp,9.337.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-16%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Baru,"MSI MODERN 14 I5 1334 8GB 512GB W11 14.0FHD BLIT 2Y
Rp
9.337.000
-16%
Produk Baru
1 Terjual
< 2 Hari
Tangerang",https://shopee.co.id/MSI-MODERN-14-I5-1334-8GB-512GB-W11-14.0FHD-BLIT-2Y-i.1274920948.52153821471?extraParams=%7B%22display_model_id%22%3A287293447889%2C%22model_selection_logic%22%3A3%7D&sp_atk=71252a56-1230-4e98-a9ac-789e2235bb6c&xptdk=71252a56-1230-4e98-a9ac-789e2235bb6c
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlq0kfqkb1fpac,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Thin 15 B13V i5-13420H RTX4050 - 16GB 512GB W11 15.6FHD 144HZ,Rp,14.614.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,540 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-53%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,,"MSI Thin 15 B13V i5-13420H RTX4050 - 16GB 512GB W11 15.6FHD 144HZ
Rp
14.614.000
-53%
4.9
540 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/MSI-Thin-15-B13V-i5-13420H-RTX4050-16GB-512GB-W11-15.6FHD-144HZ-i.1065524421.22461513511?extraParams=%7B%22display_model_id%22%3A320633639126%2C%22model_selection_logic%22%3A3%7D&sp_atk=5bd683e9-653d-4350-a30f-efb156dd7d5c&xptdk=5bd683e9-653d-4350-a30f-efb156dd7d5c
https://down-id.img.susercontent.com/file/id-11134207-822wp-mn1hkelt222ob4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Gaming MSI GF63 Thin 11SC 11th Gen Intel Core I5-11400H 8/512GB GTX 1650,Rp,7.999.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Laptop Gaming MSI GF63 Thin 11SC 11th Gen Intel Core I5-11400H 8/512GB GTX 1650
Rp
7.999.000
< 2 Hari
Bandung",https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-11SC-11th-Gen-Intel-Core-I5-11400H-8-512GB-GTX-1650-i.407815554.50558810212?extraParams=%7B%22display_model_id%22%3A365782324416%2C%22model_selection_logic%22%3A3%7D&sp_atk=44932f60-c0eb-43e3-9459-852128a1e3ef&xptdk=44932f60-c0eb-43e3-9459-852128a1e3ef
https://down-id.img.susercontent.com/file/id-11134207-7rasj-m505iihg0ncw67,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop MSI EXTREME PLUS GT683DXR E16F2JMS FULLSET,Rp,5.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Laptop MSI EXTREME PLUS GT683DXR E16F2JMS FULLSET
Rp
5.400.000
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Laptop-MSI-EXTREME-PLUS-GT683DXR-E16F2JMS-FULLSET-i.407083712.26423498823?extraParams=%7B%22display_model_id%22%3A215721697641%2C%22model_selection_logic%22%3A3%7D&sp_atk=a40ac654-9aab-4d28-84e0-0531843c3127&xptdk=a40ac654-9aab-4d28-84e0-0531843c3127
https://down-id.img.susercontent.com/file/id-11134207-7rbke-may06ln3ucu0dd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Dominator Gaming Laptop Core i7 20GB Dual VGA,Rp,5.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,,,,,,,,"MSI Dominator Gaming Laptop Core i7 20GB Dual VGA
Rp
5.600.000
3-4 Hari
Tangerang Selatan",https://shopee.co.id/MSI-Dominator-Gaming-Laptop-Core-i7-20GB-Dual-VGA-i.648896746.41001411450?extraParams=%7B%22display_model_id%22%3A227828049989%2C%22model_selection_logic%22%3A3%7D&sp_atk=cbc896ae-f640-4c49-aa08-502cc2b513de&xptdk=cbc896ae-f640-4c49-aa08-502cc2b513de
https://down-id.img.susercontent.com/file/id-11134207-822wn-mm8ue2l1vbb6b4,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI Thin GF63 12UCX Intel Core i5-12450H NVIDIA RTX 2050 Ram 8Gb Ssd 512Gb,Rp,9.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,,,,,,,,"Laptop MSI Thin GF63 12UCX Intel Core i5-12450H NVIDIA RTX 2050 Ram 8Gb Ssd 512Gb
Rp
9.350.000
2-3 Hari
Malang",https://shopee.co.id/Laptop-MSI-Thin-GF63-12UCX-Intel-Core-i5-12450H-NVIDIA-RTX-2050-Ram-8Gb-Ssd-512Gb-i.1443585582.40456269803?extraParams=%7B%22display_model_id%22%3A270525503754%2C%22model_selection_logic%22%3A3%7D&sp_atk=9e375b76-ce32-43e2-a1b0-591762e41423&xptdk=9e375b76-ce32-43e2-a1b0-591762e41423
https://down-id.img.susercontent.com/file/id-11134207-8224o-mgvq3ib37aj061,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop gaming MSI GF63 i5 10500H NVIDIA GTX 1650 4Gb,Rp,6.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Laptop gaming MSI GF63 i5 10500H NVIDIA GTX 1650 4Gb
Rp
6.350.000
< 2 Hari
Jakarta Timur",https://shopee.co.id/Laptop-gaming-MSI-GF63-i5-10500H-NVIDIA-GTX-1650-4Gb-i.330837130.45301099643?extraParams=%7B%22display_model_id%22%3A267139933546%2C%22model_selection_logic%22%3A3%7D&sp_atk=4f025b7e-e0be-42e0-8e2b-0fd33e23e7f7&xptdk=4f025b7e-e0be-42e0-8e2b-0fd33e23e7f7
https://down-id.img.susercontent.com/file/id-11134207-82250-ml4i8bmitedeb5,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MSI MODERN 14 F13MG CORE I5 1334U 8GB 512GB 14"" FULL HD IPS",Rp,9.337.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-2%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"MSI MODERN 14 F13MG CORE I5 1334U 8GB 512GB 14"" FULL HD IPS
Rp
9.337.000
-2%
5.0
1 Terjual
< 2 Hari
Bandung",https://shopee.co.id/MSI-MODERN-14-F13MG-CORE-I5-1334U-8GB-512GB-14-FULL-HD-IPS-i.1031896757.41578880549?extraParams=%7B%22display_model_id%22%3A405578527013%2C%22model_selection_logic%22%3A3%7D&sp_atk=e140f7b1-c09c-4592-b3ca-b5c6adf1d909&xptdk=e140f7b1-c09c-4592-b3ca-b5c6adf1d909
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m2yv1re2jht99d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI MODERN 14 C2MO i5 1235U 8GB 512GB SSD FHD IPS BACKLIT WINDOWS 11 OFFICE OHS,Rp,6.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,3 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,,"MSI MODERN 14 C2MO i5 1235U 8GB 512GB SSD FHD IPS BACKLIT WINDOWS 11 OFFICE OHS
Rp
6.800.000
4.7
3 Terjual
< 2 Hari
Tangerang Selatan",https://shopee.co.id/MSI-MODERN-14-C2MO-i5-1235U-8GB-512GB-SSD-FHD-IPS-BACKLIT-WINDOWS-11-OFFICE-OHS-i.251705568.24618085646?extraParams=%7B%22display_model_id%22%3A355726012389%2C%22model_selection_logic%22%3A3%7D&sp_atk=a78eddbd-c7b7-4043-8086-78617dbf23ad&xptdk=a78eddbd-c7b7-4043-8086-78617dbf23ad
https://down-id.img.susercontent.com/file/id-11134207-822wn-mmsr6c4wicjs99,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop MSI Modern 14 C5M, Amd Ryzen 5-5625U, Ram 8/512Gb SSD, #Backlight, Super Slim, Gaming Editing Libas, Super Ngebut, Lengkap, Black",Rp,6.400.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,,"Laptop MSI Modern 14 C5M, Amd Ryzen 5-5625U, Ram 8/512Gb SSD, #Backlight, Super Slim, Gaming Editing Libas, Super Ngebut, Lengkap, Black
Rp
6.400.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/Laptop-MSI-Modern-14-C5M-Amd-Ryzen-5-5625U-Ram-8-512Gb-SSD-Backlight-Super-Slim-Gaming-Editing-Libas-Super-Ngebut-Lengkap-Black-i.953200515.40579853902?extraParams=%7B%22display_model_id%22%3A360747104894%2C%22model_selection_logic%22%3A3%7D&sp_atk=55384aaa-1667-410e-8111-d698bce835bd&xptdk=55384aaa-1667-410e-8111-d698bce835bd
https://down-id.img.susercontent.com/file/id-11134207-81ztk-mf14rsystngoa2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Gaming GF63 Thin 10SC i5 8GB 256GB GTX 1650,Rp,7.000.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"MSI Gaming GF63 Thin 10SC i5 8GB 256GB GTX 1650
Rp
7.000.000
5.0
2 Terjual
3-5 Hari
Bandung",https://shopee.co.id/MSI-Gaming-GF63-Thin-10SC-i5-8GB-256GB-GTX-1650-i.261317525.42171016740?extraParams=%7B%22display_model_id%22%3A286713693318%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce35fab7-4ad0-45e6-9dd7-25101af7be2e&xptdk=ce35fab7-4ad0-45e6-9dd7-25101af7be2e
https://down-id.img.susercontent.com/file/id-11134207-8224y-mk0wx84zdmv96d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MSI Modern 14 i3-1315U 8GB 512GB SSD 14""FHD IPS Win11",Rp,8.749.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,-1%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,,"MSI Modern 14 i3-1315U 8GB 512GB SSD 14""FHD IPS Win11
Rp
8.749.000
-1%
5.0
5 Terjual
< 2 Hari
Jakarta Barat",https://shopee.co.id/MSI-Modern-14-i3-1315U-8GB-512GB-SSD-14-FHD-IPS-Win11-i.174585297.19722651786?extraParams=%7B%22display_model_id%22%3A325676240767%2C%22model_selection_logic%22%3A3%7D&sp_atk=97750a9c-f561-4d18-bbfb-8c3d1a2d7f4c&xptdk=97750a9c-f561-4d18-bbfb-8c3d1a2d7f4c
