-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,img,text-xs/sp14_2,text-xs,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,inline-block,text-shopee-primary,pointer-events-none_3,w-auto,text-white,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/98d316e3fa3d366b19f38e07638191d6,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,ZTE V1f609,Rp,90.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,2-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Banyuwangi,,,,,,,"Scrape to BigSeller
ZTE V1f609
Rp
90.000
5.0
9 Terjual
2-5 Hari
Kab. Banyuwangi",https://shopee.co.id/ZTE-V1f609-i.215395823.12135879587?extraParams=%7B%22display_model_id%22%3A157332740710%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ba867c4-ce07-4f0b-ba19-ba69125b73d2&xptdk=0ba867c4-ce07-4f0b-ba19-ba69125b73d2
https://down-id.img.susercontent.com/file/sg-11134201-7rdvz-mbros5fi6qh966,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Zte Nubia Neo 3 GT 5G 8/256GB | Amoled 6.8inch | Unisoc T9100 | 6000mAh | Garansi Resmi,Rp,3.178.500,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,36 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-21%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
Zte Nubia Neo 3 GT 5G 8/256GB | Amoled 6.8inch | Unisoc T9100 | 6000mAh | Garansi Resmi
Rp
3.178.500
-21%
5.0
36 Terjual
Besok
Jakarta Barat",https://shopee.co.id/Zte-Nubia-Neo-3-GT-5G-8-256GB-Amoled-6.8inch-Unisoc-T9100-6000mAh-Garansi-Resmi-i.59822858.41957281391?extraParams=%7B%22display_model_id%22%3A285616084158%2C%22model_selection_logic%22%3A3%7D&sp_atk=76beb804-3191-4494-a0d8-e155104559ef&xptdk=76beb804-3191-4494-a0d8-e155104559ef
https://down-id.img.susercontent.com/file/id-11134207-8224p-mjz136gb6nlv11,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE A36 4GB 64GB BLACK / GREEN,Rp,1.579.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-21%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
ZTE A36 4GB 64GB BLACK / GREEN
Rp
1.579.000
-21%
5.0
9 Terjual
Besok
Jakarta Utara",https://shopee.co.id/ZTE-A36-4GB-64GB-BLACK-GREEN-i.383392952.44357405577?extraParams=%7B%22display_model_id%22%3A320744905047%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c06b433-cab1-4ec3-af7c-3503aa481fc4&xptdk=1c06b433-cab1-4ec3-af7c-3503aa481fc4
https://down-id.img.susercontent.com/file/sg-11134201-7ra2z-mbc2n4u5kkqr90,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE Neo 3 5G RAM 20 GB (8 + 12 GB) ROM 256GB  - Garansi Resmi,Rp,2.799.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-5 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Banjarmasin,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,,,,,,"Scrape to BigSeller
ZTE Neo 3 5G RAM 20 GB (8 + 12 GB) ROM 256GB - Garansi Resmi
Rp
2.799.000
5.0
10 Terjual
3-5 Hari
Banjarmasin",https://shopee.co.id/ZTE-Neo-3-5G-RAM-20-GB-(8-12-GB)-ROM-256GB-Garansi-Resmi-i.813315322.44355563550?extraParams=%7B%22display_model_id%22%3A295469570176%2C%22model_selection_logic%22%3A3%7D&sp_atk=2a244a15-7382-4341-9206-638b1622230f&xptdk=2a244a15-7382-4341-9206-638b1622230f
https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mcddygzk6c7bf9,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"ZTE Nubia Neo 3 GT 5G 8/256GB, Unisoc T9100 6000mAh 80W FastCharge 120Hz OLED Display - Garansi Resmi ZTE 1 Tahun",Rp,3.214.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,100 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
ZTE Nubia Neo 3 GT 5G 8/256GB, Unisoc T9100 6000mAh 80W FastCharge 120Hz OLED Display - Garansi Resmi ZTE 1 Tahun
Rp
3.214.000
-3%
5.0
100 Terjual
Besok
Jakarta Barat",https://shopee.co.id/ZTE-Nubia-Neo-3-GT-5G-8-256GB-Unisoc-T9100-6000mAh-80W-FastCharge-120Hz-OLED-Display-Garansi-Resmi-ZTE-1-Tahun-i.21617072.43659109849?extraParams=%7B%22display_model_id%22%3A249147438630%2C%22model_selection_logic%22%3A3%7D&sp_atk=c820bde8-dcb6-4512-8976-2fcf51e5c252&xptdk=c820bde8-dcb6-4512-8976-2fcf51e5c252
https://down-id.img.susercontent.com/file/id-11134207-7rbk0-m6pvkx7p82ei00,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,zte v9 port biru f609 unit only kecil besar,Rp,159.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,80 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,6-10 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,,,,,,,"Scrape to BigSeller
zte v9 port biru f609 unit only kecil besar
Rp
159.000
4.7
80 Terjual
6-10 Hari
Palembang",https://shopee.co.id/zte-v9-port-biru-f609-unit-only-kecil-besar-i.1481889988.24541955040?extraParams=%7B%22display_model_id%22%3A139256317488%2C%22model_selection_logic%22%3A3%7D&sp_atk=feab9fa0-fb78-48ea-bfc5-276d7b03cb41&xptdk=feab9fa0-fb78-48ea-bfc5-276d7b03cb41
https://down-id.img.susercontent.com/file/sg-11134201-7rdvx-mdoh3ozxeuuc15,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NEW ZTE nubia Focus 2 5G 8GB 256GB 108 MP AI Camera  Layar besar 6.7 inci HD+ 120Hz,Rp,2.279.000,,,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-24%,,,,,"Scrape to BigSeller
NEW ZTE nubia Focus 2 5G 8GB 256GB 108 MP AI Camera Layar besar 6.7 inci HD+ 120Hz
Rp
2.279.000
-24%
1 Terjual
3 Hari
Jakarta Pusat",https://shopee.co.id/NEW-ZTE-nubia-Focus-2-5G-8GB-256GB-108-MP-AI-Camera-Layar-besar-6.7-inci-HD-120Hz-i.27662413.43664324697?extraParams=%7B%22display_model_id%22%3A375649814439%2C%22model_selection_logic%22%3A3%7D&sp_atk=893f5d46-60a3-4c6a-a0ec-45fa6b258fed&xptdk=893f5d46-60a3-4c6a-a0ec-45fa6b258fed
https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mb6edyed6cdga7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE Nubia Neo 3 5G RAM 8/256 GB | Nubia Neo3 5g RAM 8GB + 12GB /256 GB GARANSI RESMI ZTE INDONESIA,Rp,2.758.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,87 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
ZTE Nubia Neo 3 5G RAM 8/256 GB | Nubia Neo3 5g RAM 8GB + 12GB /256 GB GARANSI RESMI ZTE INDONESIA
Rp
2.758.000
-8%
4.9
87 Terjual
Besok
Jakarta Barat",https://shopee.co.id/ZTE-Nubia-Neo-3-5G-RAM-8-256-GB-Nubia-Neo3-5g-RAM-8GB-12GB-256-GB-GARANSI-RESMI-ZTE-INDONESIA-i.147398891.41855158943?extraParams=%7B%22display_model_id%22%3A395309943517%2C%22model_selection_logic%22%3A3%7D&sp_atk=84330f3a-f91d-4d73-86d4-1686afca27cc&xptdk=84330f3a-f91d-4d73-86d4-1686afca27cc
https://down-id.img.susercontent.com/file/id-11134207-7r98v-ly3wdsa8j2lg22,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE V8,Rp,174.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.1,261 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,4-7 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,,,,,,"Scrape to BigSeller
ZTE V8
Rp
174.000
4.1
261 Terjual
4-7 Hari
Jakarta Timur",https://shopee.co.id/ZTE-V8-i.1311865183.29456136396?extraParams=%7B%22display_model_id%22%3A256255059499%2C%22model_selection_logic%22%3A3%7D&sp_atk=7dd20c03-e3f3-4c9d-8999-83991fb13100&xptdk=7dd20c03-e3f3-4c9d-8999-83991fb13100
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mbqbh8gjv17ia1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE NUBIA A56 RAM 4+8/128GB GARANSI RESMI 12 BULAN,Rp,1.900.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,5 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
ZTE NUBIA A56 RAM 4+8/128GB GARANSI RESMI 12 BULAN
Rp
1.900.000
5.0
5 Terjual
Besok
Pontianak",https://shopee.co.id/ZTE-NUBIA-A56-RAM-4-8-128GB-GARANSI-RESMI-12-BULAN-i.283479061.28888292848?extraParams=%7B%22display_model_id%22%3A295605125882%2C%22model_selection_logic%22%3A3%7D&sp_atk=ccfa2993-a87e-44c2-ab24-763f1ba3c767&xptdk=ccfa2993-a87e-44c2-ab24-763f1ba3c767
https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mbasvgejwsly65,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"ZTE NUBIA FOCUS 2 5G 8GB+256GB 108MP 6,7inches 120Hz GARANSI RESMI",Rp,2.329.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
ZTE NUBIA FOCUS 2 5G 8GB+256GB 108MP 6,7inches 120Hz GARANSI RESMI
Rp
2.329.000
-1%
5.0
1 Terjual
Besok
Jakarta Selatan",https://shopee.co.id/ZTE-NUBIA-FOCUS-2-5G-8GB-256GB-108MP-6-7inches-120Hz-GARANSI-RESMI-i.257997524.26387856330?extraParams=%7B%22display_model_id%22%3A243545607505%2C%22model_selection_logic%22%3A3%7D&sp_atk=8800b1f6-4b44-4d5e-9fcc-d69654d82363&xptdk=8800b1f6-4b44-4d5e-9fcc-d69654d82363
https://down-id.img.susercontent.com/file/id-11134207-8224w-mkayom6p9wxv80,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZTE Nubia A76 5G 8/128 Unisoc T8300 6.75 Inch Sertifikasi IP54 Baterai 5000 mAh | Garansi Resmi ZTE Indonesia 1 Tahun,Rp,2.006.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.0,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-16%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
ZTE Nubia A76 5G 8/128 Unisoc T8300 6.75 Inch Sertifikasi IP54 Baterai 5000 mAh | Garansi Resmi ZTE Indonesia 1 Tahun
Rp
2.006.000
-16%
4.0
2 Terjual
Besok
Jakarta Barat",https://shopee.co.id/ZTE-Nubia-A76-5G-8-128-Unisoc-T8300-6.75-Inch-Sertifikasi-IP54-Baterai-5000-mAh-Garansi-Resmi-ZTE-Indonesia-1-Tahun-i.21617072.49955832989?extraParams=%7B%22display_model_id%22%3A149340584346%2C%22model_selection_logic%22%3A3%7D&sp_atk=545aa731-917f-4a59-90b2-493ddb0f8740&xptdk=545aa731-917f-4a59-90b2-493ddb0f8740
https://down-id.img.susercontent.com/file/id-11134207-81ztc-mepiphcwciddd6,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZTE Nubia Neo 3 5G 8/256 GB Garansi Resmi,Rp,2.705.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,"Scrape to BigSeller
ZTE Nubia Neo 3 5G 8/256 GB Garansi Resmi
Rp
2.705.000
4.5
10 Terjual
Besok
Medan",https://shopee.co.id/ZTE-Nubia-Neo-3-5G-8-256-GB-Garansi-Resmi-i.10422348.19167281902?extraParams=%7B%22display_model_id%22%3A266574340534%2C%22model_selection_logic%22%3A3%7D&sp_atk=7ab3fe45-f038-4d96-9d63-a74914e6cca5&xptdk=7ab3fe45-f038-4d96-9d63-a74914e6cca5
