-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,text-xs/sp14_2,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,text-ellipsis,img_2,text-xs_2,truncate,_container,_container_link,text-shopee-green,img,text-xs/sp14_3
https://down-id.img.susercontent.com/file/sg-11134201-8262h-mknvnkcquuiv4d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"TECNO SPARK Go 3 4GB+4GB*/64GB, IP64, 6.75"" HD+, 120Hz Smooth Display, 5000mAh, 15W* Charging",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.444.000,-46%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1RB+ Terjual,,"TECNO SPARK Go 3 4GB+4GB*/64GB, IP64, 6.75"" HD+, 120Hz Smooth Display, 5000mAh, 15W* Charging
Rp
1.444.000
-46%
5.0
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/TECNO-SPARK-Go-3-4GB-4GB*-64GB-IP64-6.75-HD-120Hz-Smooth-Display-5000mAh-15W*-Charging-i.27662413.52206175804?extraParams=%7B%22display_model_id%22%3A287408111789%2C%22model_selection_logic%22%3A3%7D&sp_atk=6fa8f74e-020a-44ed-9c0a-adb4d9d3aef4&xptdk=6fa8f74e-020a-44ed-9c0a-adb4d9d3aef4,,,
https://down-id.img.susercontent.com/file/id-11134207-8224s-ml3pd1t5nvgk54,https://down-id.img.susercontent.com/file/id-11134258-822wk-mnbbsy3o6tqb85,"TECNO SPARK Go 3 4GB+4GB*/128GB, IP64, 6.75"" HD+, 120Hz Smooth Display, 5000mAh, 15W* Charging, Freelink Communication, TECNO AI - sparkgo3",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,1.599.000,-27%,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,1RB+ Terjual,,"TECNO SPARK Go 3 4GB+4GB*/128GB, IP64, 6.75"" HD+, 120Hz Smooth Display, 5000mAh, 15W* Charging, Freelink Communication, TECNO AI - sparkgo3
Rp
1.599.000
-27%
5.0
1RB+ Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/TECNO-SPARK-Go-3-4GB-4GB*-128GB-IP64-6.75-HD-120Hz-Smooth-Display-5000mAh-15W*-Charging-Freelink-Communication-TECNO-AI-sparkgo3-i.333261179.53904898332?extraParams=%7B%22display_model_id%22%3A325452616503%2C%22model_selection_logic%22%3A3%7D&sp_atk=3720106b-a2f8-4fbb-96ec-0cc4239c598b&xptdk=3720106b-a2f8-4fbb-96ec-0cc4239c598b,,,
https://down-id.img.susercontent.com/file/id-11134207-8224z-ml4h38v2dkp151,https://down-id.img.susercontent.com/file/id-11134258-822wk-mnbbsy3o6tqb85,"[NEW LAUNCH] TECNO SPARK 40 - 6+6GB*/128GB, 6.67"" LCD 120Hz Smooth Display, Helio G91, 5200mAh + 45W Flash Charge, IP64, Android 15, spark40",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.299.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2RB+ Terjual,,"[NEW LAUNCH] TECNO SPARK 40 - 6+6GB*/128GB, 6.67"" LCD 120Hz Smooth Display, Helio G91, 5200mAh + 45W Flash Charge, IP64, Android 15, spark40
Rp
2.299.000
4.9
2RB+ Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/-NEW-LAUNCH-TECNO-SPARK-40-6-6GB*-128GB-6.67-LCD-120Hz-Smooth-Display-Helio-G91-5200mAh-45W-Flash-Charge-IP64-Android-15-spark40-i.333261179.53502014856?extraParams=%7B%22display_model_id%22%3A385197516656%2C%22model_selection_logic%22%3A3%7D&sp_atk=0628ec3f-a866-45ac-afd7-77c80ab47cc1&xptdk=0628ec3f-a866-45ac-afd7-77c80ab47cc1,,,
https://down-id.img.susercontent.com/file/id-11134207-8224t-mjxvo7ytkfeo32,https://down-id.img.susercontent.com/file/id-11134258-822ws-mnciva8io4qu2f,"Tecno Spark Go 3 (RAM 4+4GB, ROM 64/128GB, IP64, 6.75"" , 120Hz Smooth Display, 5000 mAh)",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.615.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,126 Terjual,,"Tecno Spark Go 3 (RAM 4+4GB, ROM 64/128GB, IP64, 6.75"" , 120Hz Smooth Display, 5000 mAh)
Rp
1.615.000
4.9
126 Terjual
< 2 Hari",https://shopee.co.id/Tecno-Spark-Go-3-(RAM-4-4GB-ROM-64-128GB-IP64-6.75-120Hz-Smooth-Display-5000-mAh)-i.49893858.27963344921?extraParams=%7B%22display_model_id%22%3A205788820956%2C%22model_selection_logic%22%3A3%7D&sp_atk=2f5e9fdf-190a-4472-90f7-2950a3e9f1d3&xptdk=2f5e9fdf-190a-4472-90f7-2950a3e9f1d3,,,
https://down-id.img.susercontent.com/file/id-11134207-822wu-mne1qbeupamef6,https://down-id.img.susercontent.com/file/id-11134258-822wk-mnbbsy3o6tqb85,"[5x SUPERZOOM FLASHSNAP] TECNO CAMON 50 PRO 5G 8GB+8GB*/256GB, 50MP Sony LYT-700C, 50MP 3x Telephoto Camera, MediaTek Dimensity 7400 Ultimate 5G, IP69K, 6500mAh, Android 16, camon50pro",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.499.000,-5%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,Cashback 50%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,887 Terjual,,"[5x SUPERZOOM FLASHSNAP] TECNO CAMON 50 PRO 5G 8GB+8GB*/256GB, 50MP Sony LYT-700C, 50MP 3x Telephoto Camera, MediaTek Dimensity 7400 Ultimate 5G, IP69K, 6500mAh, Android 16, camon50pro
Rp
5.499.000
-5%
Cashback 50%
4.9
887 Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/-5x-SUPERZOOM-FLASHSNAP-TECNO-CAMON-50-PRO-5G-8GB-8GB*-256GB-50MP-Sony-LYT-700C-50MP-3x-Telephoto-Camera-MediaTek-Dimensity-7400-Ultimate-5G-IP69K-6500mAh-Android-16-camon50pro-i.333261179.55056086409?extraParams=%7B%22display_model_id%22%3A420553723827%2C%22model_selection_logic%22%3A3%7D&sp_atk=e2d4b294-3427-4c6c-8e62-f8ce3532ef11&xptdk=e2d4b294-3427-4c6c-8e62-f8ce3532ef11,,,
https://down-id.img.susercontent.com/file/id-11134207-822wm-mne1qbeunw1y1a,https://down-id.img.susercontent.com/file/id-11134258-822wk-mnbbsy3o6tqb85,"[5x SUPERZOOM FLASHSNAP] TECNO CAMON 50 PRO 5G 12GB+12GB*/256GB, 50MP Sony LYT-700C, 50MP 3x Telephoto Camera, MediaTek Dimensity 7400 Ultimate 5G, IP69K, 6500mAh, Android 16, camon50pro",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,5.999.000,-5%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,Cashback 50%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,573 Terjual,,"[5x SUPERZOOM FLASHSNAP] TECNO CAMON 50 PRO 5G 12GB+12GB*/256GB, 50MP Sony LYT-700C, 50MP 3x Telephoto Camera, MediaTek Dimensity 7400 Ultimate 5G, IP69K, 6500mAh, Android 16, camon50pro
Rp
5.999.000
-5%
Cashback 50%
4.9
573 Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/-5x-SUPERZOOM-FLASHSNAP-TECNO-CAMON-50-PRO-5G-12GB-12GB*-256GB-50MP-Sony-LYT-700C-50MP-3x-Telephoto-Camera-MediaTek-Dimensity-7400-Ultimate-5G-IP69K-6500mAh-Android-16-camon50pro-i.333261179.56806073947?extraParams=%7B%22display_model_id%22%3A345553724991%2C%22model_selection_logic%22%3A3%7D&sp_atk=55abfb7c-11cf-4606-9814-b52eb12ebc99&xptdk=55abfb7c-11cf-4606-9814-b52eb12ebc99,,,
https://down-id.img.susercontent.com/file/id-11134207-822wh-mlertym83if6fd,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Tecno Camon 50 [12GB+256GB] - Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.649.000,,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,26 Terjual,,"Tecno Camon 50 [12GB+256GB] - Garansi Resmi 1 Tahun
Rp
3.649.000
5.0
26 Terjual
3-5 Hari
Jakarta Utara",https://shopee.co.id/Tecno-Camon-50-12GB-256GB-Garansi-Resmi-1-Tahun-i.1053062682.41478844582?extraParams=%7B%22display_model_id%22%3A420575095044%2C%22model_selection_logic%22%3A3%7D&sp_atk=51010a48-b576-4f8a-97f4-1151e79e6691&xptdk=51010a48-b576-4f8a-97f4-1151e79e6691,,,
https://down-id.img.susercontent.com/file/id-11134207-8224v-ml1tsfd5evib52,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,TECNO CAMON 50 NFC | 8GB / 128GB | 8GB / 256GB | 12GB / 256GB | HELIO G200 | 50 MP SONY LYT-700C ULTRA NIGHT CAMER | GARANSI RESMI TAM / TECNO INDONESIA,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.149.000,-6%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,79 Terjual,,"TECNO CAMON 50 NFC | 8GB / 128GB | 8GB / 256GB | 12GB / 256GB | HELIO G200 | 50 MP SONY LYT-700C ULTRA NIGHT CAMER | GARANSI RESMI TAM / TECNO INDONESIA
Rp
3.149.000
-6%
4.9
79 Terjual
Hari ini
Kab. Sidoarjo",https://shopee.co.id/TECNO-CAMON-50-NFC-8GB-128GB-8GB-256GB-12GB-256GB-HELIO-G200-50-MP-SONY-LYT-700C-ULTRA-NIGHT-CAMER-GARANSI-RESMI-TAM-TECNO-INDONESIA-i.105409987.28583227872?extraParams=%7B%22display_model_id%22%3A258166116239%2C%22model_selection_logic%22%3A3%7D&sp_atk=88542cde-37fa-4fe3-85b7-d0ad27bc0c7e&xptdk=88542cde-37fa-4fe3-85b7-d0ad27bc0c7e,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m8c0smlj7c3vc2,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Tecno Camon 40 8/256Gb AMOLED 120Hz Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.503.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,209 Terjual,,"Tecno Camon 40 8/256Gb AMOLED 120Hz Garansi Resmi
Rp
3.503.000
4.9
209 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Tecno-Camon-40-8-256Gb-AMOLED-120Hz-Garansi-Resmi-i.303300919.29382574599?extraParams=%7B%22display_model_id%22%3A248116093333%2C%22model_selection_logic%22%3A3%7D&sp_atk=36c0eae1-dd91-487d-a446-1765ae2c13b3&xptdk=36c0eae1-dd91-487d-a446-1765ae2c13b3,,,
https://down-id.img.susercontent.com/file/id-11134207-8224t-ml3pd1t5qolg21,https://down-id.img.susercontent.com/file/id-11134258-822wk-mnbbsy3o6tqb85,"TECNO SPARK 40 Pro - 8+8GB*/128GB, 1.5K & 144Hz AMOLED Display, Ultra Thin Body, Mediatek Helio G100 Ultimate, 5200mAh+45W Fast Charge, IP64 - spark40pro",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.699.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4RB+ Terjual,,"TECNO SPARK 40 Pro - 8+8GB*/128GB, 1.5K & 144Hz AMOLED Display, Ultra Thin Body, Mediatek Helio G100 Ultimate, 5200mAh+45W Fast Charge, IP64 - spark40pro
Rp
2.699.000
4.9
4RB+ Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/TECNO-SPARK-40-Pro-8-8GB*-128GB-1.5K-144Hz-AMOLED-Display-Ultra-Thin-Body-Mediatek-Helio-G100-Ultimate-5200mAh-45W-Fast-Charge-IP64-spark40pro-i.333261179.27139351210?extraParams=%7B%22display_model_id%22%3A188623962879%2C%22model_selection_logic%22%3A3%7D&sp_atk=9afa7aef-c4b4-43b1-a82a-2d640748ed2e&xptdk=9afa7aef-c4b4-43b1-a82a-2d640748ed2e,,,
https://down-id.img.susercontent.com/file/id-11134207-8224y-ml3pd1t5mgw419,https://down-id.img.susercontent.com/file/id-11134258-822wk-mnbbsy3o6tqb85,"TECNO POVA 7 5G 8+8GB*/128GB, 6000 mAh, Mediatek D7300 Ultimate, 144Hz Smooth Display , 50MP Primary Camera, Wireless Powerbank, Android 15 - HiOS 15 - POVA7",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.999.000,-9%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2RB+ Terjual,,"TECNO POVA 7 5G 8+8GB*/128GB, 6000 mAh, Mediatek D7300 Ultimate, 144Hz Smooth Display , 50MP Primary Camera, Wireless Powerbank, Android 15 - HiOS 15 - POVA7
Rp
2.999.000
-9%
4.9
2RB+ Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/TECNO-POVA-7-5G-8-8GB*-128GB-6000-mAh-Mediatek-D7300-Ultimate-144Hz-Smooth-Display-50MP-Primary-Camera-Wireless-Powerbank-Android-15-HiOS-15-POVA7-i.333261179.40455822950?extraParams=%7B%22display_model_id%22%3A275489400646%2C%22model_selection_logic%22%3A3%7D&sp_atk=58746421-bcb6-494d-b176-eb8a1f4754da&xptdk=58746421-bcb6-494d-b176-eb8a1f4754da,,,
https://down-id.img.susercontent.com/file/id-11134207-8224z-mhwurjj5f4zkfa,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Tecno Spark 40 6/128GB 8/256GB LTE 50MP Kamera,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.641.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,72 Terjual,,"Tecno Spark 40 6/128GB 8/256GB LTE 50MP Kamera
Rp
2.641.000
4.9
72 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Tecno-Spark-40-6-128GB-8-256GB-LTE-50MP-Kamera-i.303300919.41927050487?extraParams=%7B%22display_model_id%22%3A380259565163%2C%22model_selection_logic%22%3A3%7D&sp_atk=b057bebc-0377-4bad-abe9-5022642c6426&xptdk=b057bebc-0377-4bad-abe9-5022642c6426,,,
https://down-id.img.susercontent.com/file/id-11134207-822wi-mld9vt9itzpfb2,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Tecno Camon 50 [12/256GB] [8/256GB] [8/128GB] Garansi Resmi Tecno Indonesia 13 Bulan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.399.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Palembang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,780 Terjual,,"Tecno Camon 50 [12/256GB] [8/256GB] [8/128GB] Garansi Resmi Tecno Indonesia 13 Bulan
Rp
3.399.000
4.9
780 Terjual
< 2 Hari
Palembang",https://shopee.co.id/Tecno-Camon-50-12-256GB-8-256GB-8-128GB-Garansi-Resmi-Tecno-Indonesia-13-Bulan-i.133736627.20862782085?extraParams=%7B%22display_model_id%22%3A315601486819%2C%22model_selection_logic%22%3A3%7D&sp_atk=c936da2f-ddd5-4175-a86e-8d4486d9bebf&xptdk=c936da2f-ddd5-4175-a86e-8d4486d9bebf,,,
https://down-id.img.susercontent.com/file/id-11134207-8224w-ml3pd1t5thqc27,https://down-id.img.susercontent.com/file/id-11134258-822wk-mnbbsy3o6tqb85,"TECNO SPARK 40 Pro+ - 8+8GB*/256GB, Mediatek Helio G200, 30W Wireless Charge, 1.5K & 144Hz 3D Curved AMOLED Display, Ultra Thin Body, 5200mAh+45W Fast Charge, IP64 - spark40proplus",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.749.000,-14%,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2RB+ Terjual,,"TECNO SPARK 40 Pro+ - 8+8GB*/256GB, Mediatek Helio G200, 30W Wireless Charge, 1.5K & 144Hz 3D Curved AMOLED Display, Ultra Thin Body, 5200mAh+45W Fast Charge, IP64 - spark40proplus
Rp
2.749.000
-14%
4.9
2RB+ Terjual
2-4 Hari
Jakarta Barat",https://shopee.co.id/TECNO-SPARK-40-Pro-8-8GB*-256GB-Mediatek-Helio-G200-30W-Wireless-Charge-1.5K-144Hz-3D-Curved-AMOLED-Display-Ultra-Thin-Body-5200mAh-45W-Fast-Charge-IP64-spark40proplus-i.333261179.43560995753?extraParams=%7B%22display_model_id%22%3A275922819678%2C%22model_selection_logic%22%3A3%7D&sp_atk=60267840-1c82-4657-b4de-9d92d9e00050&xptdk=60267840-1c82-4657-b4de-9d92d9e00050,,,
https://down-id.img.susercontent.com/file/id-11134207-82251-mh017zkpj1n1cc,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Tecno Spark 40 Pro+ Plus [8GB+256GB] - Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,2.629.000,,,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,40 Terjual,,"Tecno Spark 40 Pro+ Plus [8GB+256GB] - Garansi Resmi 1 Tahun
Rp
2.629.000
4.9
40 Terjual
3-5 Hari
Jakarta Utara",https://shopee.co.id/Tecno-Spark-40-Pro-Plus-8GB-256GB-Garansi-Resmi-1-Tahun-i.1053062682.42718191109?extraParams=%7B%22display_model_id%22%3A206301084981%2C%22model_selection_logic%22%3A3%7D&sp_atk=9917b1e9-fbc3-4567-ac74-ebc36f806f22&xptdk=9917b1e9-fbc3-4567-ac74-ebc36f806f22,,,
