-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-green,text-shopee-primary,pointer-events-none_3,text-ellipsis,img_2,text-white_2,truncate,_container,_container_link,img,text-xs,text-xs_2
https://down-id.img.susercontent.com/file/id-11134207-7rbk0-ma3mqfp00s3799,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung A55 12/256GB // 8/256GB 8//128GB SECOND  MULUS TERAWAT,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.379.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,88 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 jam,,"Samsung A55 12/256GB // 8/256GB 8//128GB SECOND MULUS TERAWAT
Rp
4.379.000
5.0
88 Terjual
2 jam
Kab. Sidoarjo",https://shopee.co.id/Samsung-A55-12-256GB-8-256GB-8-128GB-SECOND-MULUS-TERAWAT-i.309409025.29320085075?extraParams=%7B%22display_model_id%22%3A89857443066%2C%22model_selection_logic%22%3A3%7D&sp_atk=85561864-8c86-4a61-a0bb-a9ef1ac05d3b&xptdk=85561864-8c86-4a61-a0bb-a9ef1ac05d3b,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lv73h48yuwcza9,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Samsung S21 FE | S20 FE 8/128 8/256 Sein Minusan Second Bekas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.400.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,637 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Samsung S21 FE | S20 FE 8/128 8/256 Sein Minusan Second Bekas
Rp
1.400.000
4.9
637 Terjual
2-3 Hari
Jakarta Timur",https://shopee.co.id/Samsung-S21-FE-S20-FE-8-128-8-256-Sein-Minusan-Second-Bekas-i.221779283.25730072896?extraParams=%7B%22display_model_id%22%3A330817015720%2C%22model_selection_logic%22%3A3%7D&sp_atk=406a03c9-bb56-4ffa-a435-7beedeb63ac3&xptdk=406a03c9-bb56-4ffa-a435-7beedeb63ac3,,,
https://down-id.img.susercontent.com/file/sg-11134201-7rbkc-lpgfrd8ljtooe8,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Samsung A05 Ram 4/64GB | Ram 4/128GB | Ram 6/128GB ( Second ),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,1.339.100,4.7,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,285 Terjual,-11%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 jam,,"Samsung A05 Ram 4/64GB | Ram 4/128GB | Ram 6/128GB ( Second )
Rp
1.339.100
-11%
4.7
285 Terjual
2 jam
Surabaya",https://shopee.co.id/Samsung-A05-Ram-4-64GB-Ram-4-128GB-Ram-6-128GB-(-Second-)-i.194632330.20187097323?extraParams=%7B%22display_model_id%22%3A194826567541%2C%22model_selection_logic%22%3A3%7D&sp_atk=16b8e611-d62f-436a-a043-07c9b85b30c1&xptdk=16b8e611-d62f-436a-a043-07c9b85b30c1,,,
https://down-id.img.susercontent.com/file/id-11134207-81ztd-me4rwjm3dt6o4d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung A16 8/256GB 5G // 8/256GB 4G // 8/128GB SECOND MULUS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.269.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,41 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 jam,,"Samsung A16 8/256GB 5G // 8/256GB 4G // 8/128GB SECOND MULUS
Rp
2.269.000
5.0
41 Terjual
2 jam
Kab. Sidoarjo",https://shopee.co.id/Samsung-A16-8-256GB-5G-8-256GB-4G-8-128GB-SECOND-MULUS-i.309409025.27474795159?extraParams=%7B%22display_model_id%22%3A306404483070%2C%22model_selection_logic%22%3A3%7D&sp_atk=81b11e51-c513-41d0-b6e6-3ff59be394f0&xptdk=81b11e51-c513-41d0-b6e6-3ff59be394f0,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98q-loe2gma480sn01,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Handpone Hp Samsung A14 A13 M12 A12 6/128 4/128 4G 5G Second Original Seken bekas Murah Bergaransi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,850.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,297 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Handpone Hp Samsung A14 A13 M12 A12 6/128 4/128 4G 5G Second Original Seken bekas Murah Bergaransi
Rp
850.000
4.9
297 Terjual
2-3 Hari
Jakarta Timur",https://shopee.co.id/Handpone-Hp-Samsung-A14-A13-M12-A12-6-128-4-128-4G-5G-Second-Original-Seken-bekas-Murah-Bergaransi-i.221779283.14371106218?extraParams=%7B%22display_model_id%22%3A272397393699%2C%22model_selection_logic%22%3A3%7D&sp_atk=53c701c1-3967-4d25-b335-eb01eaa4c156&xptdk=53c701c1-3967-4d25-b335-eb01eaa4c156,,,
https://down-id.img.susercontent.com/file/id-11134207-7rase-m2b7d3py79fu96,https://down-id.img.susercontent.com/file/id-11134258-822wp-mlyjp115kz5tc6,Samsung S23 ULTRA 5G Sein Mulus Fullset No Minus Hp Seken Second Gadgetkoe.Id,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.490.000,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Hari ini,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,126 Terjual,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d2a1900a0267d45fd0f5.png,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Hari ini,,"Samsung S23 ULTRA 5G Sein Mulus Fullset No Minus Hp Seken Second Gadgetkoe.Id
Rp
10.490.000
-6%
4.8
126 Terjual
Hari ini
Kab. Sidoarjo",https://shopee.co.id/Samsung-S23-ULTRA-5G-Sein-Mulus-Fullset-No-Minus-Hp-Seken-Second-Gadgetkoe.Id-i.25663938.21188787459?extraParams=%7B%22display_model_id%22%3A241977191588%2C%22model_selection_logic%22%3A3%7D&sp_atk=4fae74e4-1a18-4d05-a185-28eb98e61266&xptdk=4fae74e4-1a18-4d05-a185-28eb98e61266,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbkd-ma7ehzqhh5or02,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung S24FE 8/512GB // 8/256GB // 8/128GB SEIN SECOND MULUS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.699.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,53 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 jam,,"Samsung S24FE 8/512GB // 8/256GB // 8/128GB SEIN SECOND MULUS
Rp
6.699.000
5.0
53 Terjual
2 jam
Kab. Sidoarjo",https://shopee.co.id/Samsung-S24FE-8-512GB-8-256GB-8-128GB-SEIN-SECOND-MULUS-i.309409025.29322631984?extraParams=%7B%22display_model_id%22%3A248992639717%2C%22model_selection_logic%22%3A3%7D&sp_atk=8ec050dc-b1ec-4ae0-a1b5-efead9d624c6&xptdk=8ec050dc-b1ec-4ae0-a1b5-efead9d624c6,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lx28v06scdge96,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Handpone HP Samsung S21 S20 FE Ram 8/128 8/256 Second Resmi sein Seken bekas Murah bergaransi toko,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.400.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,184 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Handpone HP Samsung S21 S20 FE Ram 8/128 8/256 Second Resmi sein Seken bekas Murah bergaransi toko
Rp
2.400.000
4.9
184 Terjual
2-3 Hari
Jakarta Timur",https://shopee.co.id/Handpone-HP-Samsung-S21-S20-FE-Ram-8-128-8-256-Second-Resmi-sein-Seken-bekas-Murah-bergaransi-toko-i.221779283.25970560269?extraParams=%7B%22display_model_id%22%3A415474194644%2C%22model_selection_logic%22%3A3%7D&sp_atk=4432455a-a98e-4970-b238-ef7329038ae6&xptdk=4432455a-a98e-4970-b238-ef7329038ae6,,,
https://down-id.img.susercontent.com/file/id-11134207-822wj-mmyp1lgagr9e63,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,SAMSUNG S21 FE 8/128 SAMSUNG S 21 FE 8/128 SAMSUNG S21FE 8/128 SECOND BEKAS GARANSI RESMI,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.800.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,1 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"SAMSUNG S21 FE 8/128 SAMSUNG S 21 FE 8/128 SAMSUNG S21FE 8/128 SECOND BEKAS GARANSI RESMI
Rp
2.800.000
5.0
1 Terjual
3 Hari
Tangerang",https://shopee.co.id/SAMSUNG-S21-FE-8-128-SAMSUNG-S-21-FE-8-128-SAMSUNG-S21FE-8-128-SECOND-BEKAS-GARANSI-RESMI-i.853782271.53158677349?extraParams=%7B%22display_model_id%22%3A385770320838%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb83f300-dbde-416e-9021-43825b25f21c&xptdk=bb83f300-dbde-416e-9021-43825b25f21c,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-mavafkftmpem58,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SAMSUNG A56 5G 12/256GB // 8/256GB SECOND MULUS TERAWAT RESMI INDONESIA,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.099.000,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sidoarjo,134 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,< 2 Hari,,"SAMSUNG A56 5G 12/256GB // 8/256GB SECOND MULUS TERAWAT RESMI INDONESIA
Rp
5.099.000
5.0
134 Terjual
< 2 Hari
Kab. Sidoarjo",https://shopee.co.id/SAMSUNG-A56-5G-12-256GB-8-256GB-SECOND-MULUS-TERAWAT-RESMI-INDONESIA-i.309409025.28535047276?extraParams=%7B%22display_model_id%22%3A320003930568%2C%22model_selection_logic%22%3A3%7D&sp_atk=c01ca9e4-b81a-4be8-a445-27740d9e87a2&xptdk=c01ca9e4-b81a-4be8-a445-27740d9e87a2,,,
https://down-id.img.susercontent.com/file/sg-11134201-7rbkh-lpjfif4eo5r97d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Samsung A05S Ram 6 Rom 128GB Second Berkualitas,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.600.999,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,49 Terjual,-33%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Cashback 99%,,"Samsung A05S Ram 6 Rom 128GB Second Berkualitas
Rp
1.600.999
-33%
Cashback 99%
4.8
49 Terjual
2 jam
Surabaya",https://shopee.co.id/Samsung-A05S-Ram-6-Rom-128GB-Second-Berkualitas-i.288677122.24954326584?extraParams=%7B%22display_model_id%22%3A250138668053%2C%22model_selection_logic%22%3A3%7D&sp_atk=59fd1120-255a-47d2-98a7-64cd8c223591&xptdk=59fd1120-255a-47d2-98a7-64cd8c223591,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk2-mazepy5n2ra1b1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Samsung A26 5G Ram 8GB Rom 256GB ( Second ),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.599.100,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,26 Terjual,-10%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 jam,,"Samsung A26 5G Ram 8GB Rom 256GB ( Second )
Rp
3.599.100
-10%
4.9
26 Terjual
2 jam
Surabaya",https://shopee.co.id/Samsung-A26-5G-Ram-8GB-Rom-256GB-(-Second-)-i.194632330.29237595390?extraParams=%7B%22display_model_id%22%3A285382504091%2C%22model_selection_logic%22%3A3%7D&sp_atk=1fd506cd-2173-4f03-bf1b-a524b714f134&xptdk=1fd506cd-2173-4f03-bf1b-a524b714f134,,,
https://down-id.img.susercontent.com/file/id-11134207-822wm-mnawhwkz1ceb65,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,SAMSUNG Z FLIP 4 8/256 HP Second Murah,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.150.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,2 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,,"SAMSUNG Z FLIP 4 8/256 HP Second Murah
Rp
3.150.000
2 Terjual
2 jam
Surabaya",https://shopee.co.id/SAMSUNG-Z-FLIP-4-8-256-HP-Second-Murah-i.355374561.40024903227?extraParams=%7B%22display_model_id%22%3A228176462082%2C%22model_selection_logic%22%3A3%7D&sp_atk=f2ca91ae-b5c8-4b49-99e0-c2334e5935f9&xptdk=f2ca91ae-b5c8-4b49-99e0-c2334e5935f9,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98y-lynk8kmvxy5kff,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Samsung A15 4G 8/256 GB Handphone Second Bekas Fullset,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.895.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,71 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Samsung A15 4G 8/256 GB Handphone Second Bekas Fullset
Rp
1.895.000
4.9
71 Terjual
3 Hari
Jakarta Selatan",https://shopee.co.id/Samsung-A15-4G-8-256-GB-Handphone-Second-Bekas-Fullset-i.451756410.25419754913?extraParams=%7B%22display_model_id%22%3A197705930625%2C%22model_selection_logic%22%3A3%7D&sp_atk=4f7e2914-4aef-4bb0-a250-179a2c19f1fc&xptdk=4f7e2914-4aef-4bb0-a250-179a2c19f1fc,,,
https://down-id.img.susercontent.com/file/sg-11134201-7rfhb-m47cw6vmclaga6,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Samsung A16 4G | 5G Ram 8/128GB | Ram 8/256GB ( Second ),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.229.999,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 jam,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,26 Terjual,-26%,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,Cashback 99%,,"Samsung A16 4G | 5G Ram 8/128GB | Ram 8/256GB ( Second )
Rp
2.229.999
-26%
Cashback 99%
5.0
26 Terjual
2 jam
Surabaya",https://shopee.co.id/Samsung-A16-4G-5G-Ram-8-128GB-Ram-8-256GB-(-Second-)-i.288677122.26271719650?extraParams=%7B%22display_model_id%22%3A195673526088%2C%22model_selection_logic%22%3A3%7D&sp_atk=2219d0d0-61d8-4c46-b898-de43b78d1ae5&xptdk=2219d0d0-61d8-4c46-b898-de43b78d1ae5,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98r-lt3abggi6kxpb3,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Handpone Samsung A52s A52 A72 8/128 8/256 Second Seken bekas murah Resmi Sein Murah Bergaransi Seken,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.050.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,881 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Handpone Samsung A52s A52 A72 8/128 8/256 Second Seken bekas murah Resmi Sein Murah Bergaransi Seken
Rp
2.050.000
4.9
881 Terjual
2-3 Hari
Jakarta Timur",https://shopee.co.id/Handpone-Samsung-A52s-A52-A72-8-128-8-256-Second-Seken-bekas-murah-Resmi-Sein-Murah-Bergaransi-Seken-i.221779283.23281542944?extraParams=%7B%22display_model_id%22%3A233679669094%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2422367-56de-46b7-bd79-d5d322e78c70&xptdk=d2422367-56de-46b7-bd79-d5d322e78c70,,,
https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m7v0h3cel8b4fc,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Samsung S21 FE 5g 8/128 8/256 Second Istimewa Siap Lembur,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.600.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),18 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,< 2 Hari,,"Samsung S21 FE 5g 8/128 8/256 Second Istimewa Siap Lembur
Rp
3.600.000
4.9
18 Terjual
< 2 Hari
Surakarta (Solo)",https://shopee.co.id/Samsung-S21-FE-5g-8-128-8-256-Second-Istimewa-Siap-Lembur-i.133913527.25442139487?extraParams=%7B%22display_model_id%22%3A29576137753%2C%22model_selection_logic%22%3A3%7D&sp_atk=cf2f314b-1c41-4aec-aebf-c3a326ad4cbf&xptdk=cf2f314b-1c41-4aec-aebf-c3a326ad4cbf,,,
https://down-id.img.susercontent.com/file/id-11134207-7r98w-lxrykbb0fuek40,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Samsung S22 Ultra S23 S22 S21 S21+ S20 Ultra 16/512 | 12/128 | 8/256 8/128 Second  Bekas Original Sein,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,2.799.000,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,200 Terjual,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,,,"Samsung S22 Ultra S23 S22 S21 S21+ S20 Ultra 16/512 | 12/128 | 8/256 8/128 Second Bekas Original Sein
Rp
2.799.000
4.9
200 Terjual
2-3 Hari
Jakarta Timur",https://shopee.co.id/Samsung-S22-Ultra-S23-S22-S21-S21-S20-Ultra-16-512-12-128-8-256-8-128-Second-Bekas-Original-Sein-i.221779283.24529877589?extraParams=%7B%22display_model_id%22%3A306275824604%2C%22model_selection_logic%22%3A3%7D&sp_atk=029b911c-8f88-499b-91de-c6c2332cf5d8&xptdk=029b911c-8f88-499b-91de-c6c2332cf5d8,,,
