-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,truncate,img,text-xs/sp14_2,text-xs,pointer-events-none,pointer-events-none_2,align-middle,w-auto,text-white,pointer-events-none_3,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m9jnsfc6ym0r29,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,"ADVAN Laptop Workplus Heritage Ryzen 5 7535HS | 16GB/1TB | Desain Eksklusif Batik Megamendung |  14"" IPS Full HD Plus WUXGA 1920x1200 Display 16:10 | 1.55 KG Weigth | Windows 11 | Garansi Resmi 2 Tahun",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.699.000,-30%,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,"ADVAN Laptop Workplus Heritage Ryzen 5 7535HS | 16GB/1TB | Desain Eksklusif Batik Megamendung | 14"" IPS Full HD Plus WUXGA 1920x1200 Display 16:10 | 1.55 KG Weigth | Windows 11 | Garansi Resmi 2 Tahun
Rp
7.699.000
-30%
Pilih Lokal
4.9
1RB+ Terjual
3-4 Hari
Semarang",https://shopee.co.id/ADVAN-Laptop-Workplus-Heritage-Ryzen-5-7535HS-16GB-1TB-Desain-Eksklusif-Batik-Megamendung-14-IPS-Full-HD-Plus-WUXGA-1920x1200-Display-16-10-1.55-KG-Weigth-Windows-11-Garansi-Resmi-2-Tahun-i.919692407.27885387223?extraParams=%7B%22display_model_id%22%3A186048778351%2C%22model_selection_logic%22%3A3%7D&sp_atk=8dae2f0c-82e2-4a5f-9587-a47d8e51fef5&xptdk=8dae2f0c-82e2-4a5f-9587-a47d8e51fef5
https://down-id.img.susercontent.com/file/id-11134207-7ra0u-mb9nknk1bfa62d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Dell Latitude Core i3/i5/i7 32GB RAM SSD 256GB Windows 11 Siap Pakai,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,1.350.000,,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Laptop Dell Latitude Core i3/i5/i7 32GB RAM SSD 256GB Windows 11 Siap Pakai
Rp
1.350.000
Cicilan
4.5
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Laptop-Dell-Latitude-Core-i3-i5-i7-32GB-RAM-SSD-256GB-Windows-11-Siap-Pakai-i.230649038.12447121939?extraParams=%7B%22display_model_id%22%3A129158926143%2C%22model_selection_logic%22%3A3%7D&sp_atk=aed66690-b9d8-4ce5-9b8a-518fba3047aa&xptdk=aed66690-b9d8-4ce5-9b8a-518fba3047aa
https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdr1j5antnanba,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,casing Laptop Zyrex nb sky 232,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,80.000,,,,,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung Barat,,,,"casing Laptop Zyrex nb sky 232
Rp
80.000
3-4 Hari
Kab. Bandung Barat",https://shopee.co.id/casing-Laptop-Zyrex-nb-sky-232-i.417071905.27940386331?extraParams=%7B%22display_model_id%22%3A296222327710%2C%22model_selection_logic%22%3A3%7D&sp_atk=3a7bf79c-b041-420e-87fc-1035d98462ab&xptdk=3a7bf79c-b041-420e-87fc-1035d98462ab
https://down-id.img.susercontent.com/file/id-11134207-82252-mjo8azgyt1qc42,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Advan Soulmate X Amd 3020e RAM16GB SSD512GB 14'' HD Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.549.000,,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,1RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Advan Soulmate X Amd 3020e RAM16GB SSD512GB 14'' HD Windows 11
Rp
3.549.000
Pilih Lokal
4.9
1RB+ Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Advan-Soulmate-X-Amd-3020e-RAM16GB-SSD512GB-14''-HD-Windows-11-i.186855095.22270594690?extraParams=%7B%22display_model_id%22%3A286814674200%2C%22model_selection_logic%22%3A3%7D&sp_atk=512bee51-ad2a-4407-b96e-78d33b460b2d&xptdk=512bee51-ad2a-4407-b96e-78d33b460b2d
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m95klrgl9bzv9b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX D-TECH RYZEN 5 16GB 256GB W11 14.0 2Y BLU,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.368.000,-1%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,25 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"ZYREX D-TECH RYZEN 5 16GB 256GB W11 14.0 2Y BLU
Rp
6.368.000
-1%
5.0
25 Terjual
Besok
Surabaya",https://shopee.co.id/ZYREX-D-TECH-RYZEN-5-16GB-256GB-W11-14.0-2Y-BLU-i.1471949508.27135254661?extraParams=%7B%22display_model_id%22%3A198814156066%2C%22model_selection_logic%22%3A3%7D&sp_atk=856b47b7-0a99-4ed7-8bc8-b0c3a66203f1&xptdk=856b47b7-0a99-4ed7-8bc8-b0c3a66203f1
https://down-id.img.susercontent.com/file/id-11134207-7r98w-luptmfcyiyyxe0,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,ADVAN Laptop Workplus AMD Ryzen 5 6600H | Ryzen 7 7735HS | 16Gb/512Gb 1TB | 14'' FHD IPS 16:10 | Fingerprint | Windows 11 | Garansi Resmi 1 Tahun,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.699.000,-11%,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,10RB+ Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,,,,"ADVAN Laptop Workplus AMD Ryzen 5 6600H | Ryzen 7 7735HS | 16Gb/512Gb 1TB | 14'' FHD IPS 16:10 | Fingerprint | Windows 11 | Garansi Resmi 1 Tahun
Rp
7.699.000
-11%
Pilih Lokal
4.9
10RB+ Terjual
3-4 Hari
Semarang",https://shopee.co.id/ADVAN-Laptop-Workplus-AMD-Ryzen-5-6600H-Ryzen-7-7735HS-16Gb-512Gb-1TB-14''-FHD-IPS-16-10-Fingerprint-Windows-11-Garansi-Resmi-1-Tahun-i.919692407.20591880461?extraParams=%7B%22display_model_id%22%3A223237095714%2C%22model_selection_logic%22%3A3%7D&sp_atk=b956ac7e-72c9-4ed5-bc15-06acafb633a2&xptdk=b956ac7e-72c9-4ed5-bc15-06acafb633a2
https://down-id.img.susercontent.com/file/id-11134207-822wk-mlg2f5ju5h543f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX D-TECH RYZEN 5 3500 16GB 256GB 14.0 Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.561.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,39 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,,"ZYREX D-TECH RYZEN 5 3500 16GB 256GB 14.0 Windows 11
Rp
7.561.000
5.0
39 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/ZYREX-D-TECH-RYZEN-5-3500-16GB-256GB-14.0-Windows-11-i.1039970542.26524129086?extraParams=%7B%22display_model_id%22%3A242516603761%2C%22model_selection_logic%22%3A3%7D&sp_atk=91819392-7a67-43ec-9f23-ae5ce8c1013e&xptdk=91819392-7a67-43ec-9f23-ae5ce8c1013e
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mcubt614y2wn34,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,ZYREX D-TECH RYZEN 5 3500U 16GB 256GB W11 14.0 2Y BLU LAPTOP ZYREX D-TECH,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.507.500,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.7,12 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Pontianak,,,,"ZYREX D-TECH RYZEN 5 3500U 16GB 256GB W11 14.0 2Y BLU LAPTOP ZYREX D-TECH
Rp
6.507.500
4.7
12 Terjual
3-8 Hari
Pontianak",https://shopee.co.id/ZYREX-D-TECH-RYZEN-5-3500U-16GB-256GB-W11-14.0-2Y-BLU-LAPTOP-ZYREX-D-TECH-i.1534026306.27139363742?extraParams=%7B%22display_model_id%22%3A290927133936%2C%22model_selection_logic%22%3A3%7D&sp_atk=c483fd3f-7407-4116-b412-382674444c62&xptdk=c483fd3f-7407-4116-b412-382674444c62
https://down-id.img.susercontent.com/file/id-11134207-822wu-mlg022iakg0f4c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX L-BOOK N4020 8GB 128GB 14.0 Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.160.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.5,28 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,,"ZYREX L-BOOK N4020 8GB 128GB 14.0 Windows 11
Rp
4.160.000
4.5
28 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/ZYREX-L-BOOK-N4020-8GB-128GB-14.0-Windows-11-i.1039970542.42720046661?extraParams=%7B%22display_model_id%22%3A306638141710%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca073c0f-cd7f-488b-b7ea-8127fad418c2&xptdk=ca073c0f-cd7f-488b-b7ea-8127fad418c2
https://down-id.img.susercontent.com/file/id-11134207-8224r-mfuleslz62a133,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP AXIOO HYPE 5 X3 JKT48 AMD Ryzen 5 3500U 8GB 256GB FHD IPS Backlit Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.796.000,-1%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,101 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tegal,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP AXIOO HYPE 5 X3 JKT48 AMD Ryzen 5 3500U 8GB 256GB FHD IPS Backlit Windows 11
Rp
3.796.000
-1%
4.9
101 Terjual
3-4 Hari
Kab. Tegal",https://shopee.co.id/LAPTOP-AXIOO-HYPE-5-X3-JKT48-AMD-Ryzen-5-3500U-8GB-256GB-FHD-IPS-Backlit-Windows-11-i.318218543.25585447992?extraParams=%7B%22display_model_id%22%3A290859786822%2C%22model_selection_logic%22%3A3%7D&sp_atk=f126a4f8-9827-495a-a813-74b24000b4f0&xptdk=f126a4f8-9827-495a-a813-74b24000b4f0
https://down-id.img.susercontent.com/file/id-11134207-822wt-mllmxhunuwpb2f,,Zyrex Notebook Bunaken,,Rp,2.000.000,-13%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Sleman,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Zyrex Notebook Bunaken
Rp
2.000.000
-13%
< 2 Hari
Kab. Sleman",https://shopee.co.id/Zyrex-Notebook-Bunaken-i.1768128794.51456961349?extraParams=%7B%22display_model_id%22%3A297443472057%2C%22model_selection_logic%22%3A3%7D&sp_atk=e4376361-9f25-4007-b7f2-dde868126915&xptdk=e4376361-9f25-4007-b7f2-dde868126915
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mbhol5et602maa,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP ZYREX D-TECH PRO V2 RYZEN 5 6600H - 16GB 512GB 14.0FHD IPS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,7.097.000,-24%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,40 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"LAPTOP ZYREX D-TECH PRO V2 RYZEN 5 6600H - 16GB 512GB 14.0FHD IPS
Rp
7.097.000
-24%
5.0
40 Terjual
Besok
Surabaya",https://shopee.co.id/LAPTOP-ZYREX-D-TECH-PRO-V2-RYZEN-5-6600H-16GB-512GB-14.0FHD-IPS-i.1273997571.41356361751?extraParams=%7B%22display_model_id%22%3A420593489929%2C%22model_selection_logic%22%3A3%7D&sp_atk=838223a5-25ff-4ad0-8f38-091942b8d3fd&xptdk=838223a5-25ff-4ad0-8f38-091942b8d3fd
https://down-id.img.susercontent.com/file/id-11134207-822wt-mmmu64skgiyw18,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Zyrex D-Tech Ryzen 5 8GB 256GB SSD Navy,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,4.050.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"Laptop Zyrex D-Tech Ryzen 5 8GB 256GB SSD Navy
Rp
4.050.000
< 2 Hari
Jakarta Barat",https://shopee.co.id/Laptop-Zyrex-D-Tech-Ryzen-5-8GB-256GB-SSD-Navy-i.850155898.56008217596?extraParams=%7B%22display_model_id%22%3A435730307429%2C%22model_selection_logic%22%3A3%7D&sp_atk=eaa94236-74fe-4b43-8da5-ea56f6b22fce&xptdk=eaa94236-74fe-4b43-8da5-ea56f6b22fce
https://down-id.img.susercontent.com/file/id-11134207-7ra0j-mcn27dj7p41k8d,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"Laptop Termurah ZYREX LIFEBOOK N4020 16GB 640GB Windows 11 PRO 14.0"" INCH",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,3.960.000,-5%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,39 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Laptop Termurah ZYREX LIFEBOOK N4020 16GB 640GB Windows 11 PRO 14.0"" INCH
Rp
3.960.000
-5%
4.9
39 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/Laptop-Termurah-ZYREX-LIFEBOOK-N4020-16GB-640GB-Windows-11-PRO-14.0-INCH-i.256652736.23687023877?extraParams=%7B%22display_model_id%22%3A157236562794%2C%22model_selection_logic%22%3A3%7D&sp_atk=036b4697-4a16-421c-b696-9217aad81b62&xptdk=036b4697-4a16-421c-b696-9217aad81b62
https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mb55o8tz6x1y29,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,ZYREX LIFEBOOK INTEL N4020 RAM 8GB 256GB WINDOWS 11PRO HD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.960.000,-5%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,131 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"ZYREX LIFEBOOK INTEL N4020 RAM 8GB 256GB WINDOWS 11PRO HD
Rp
3.960.000
-5%
4.9
131 Terjual
< 2 Hari
Depok",https://shopee.co.id/ZYREX-LIFEBOOK-INTEL-N4020-RAM-8GB-256GB-WINDOWS-11PRO-HD-i.1367937206.43105014508?extraParams=%7B%22display_model_id%22%3A295425549493%2C%22model_selection_logic%22%3A3%7D&sp_atk=5c066e0a-7545-40c1-a093-d786119e7d9e&xptdk=5c066e0a-7545-40c1-a093-d786119e7d9e
https://down-id.img.susercontent.com/file/id-11134207-8224t-mkrzb9pyio0343,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo Hype 5 G12 i5 16GB 512GB SSD Windows 11 Pro,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.198.000,-1%,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,124 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,"Axioo Hype 5 G12 i5 16GB 512GB SSD Windows 11 Pro
Rp
4.198.000
-1%
Hadiah Gratis
5.0
124 Terjual
< 2 Hari
Kab. Bogor",https://shopee.co.id/Axioo-Hype-5-G12-i5-16GB-512GB-SSD-Windows-11-Pro-i.933196574.22154667652?extraParams=%7B%22display_model_id%22%3A276178271525%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab7d607c-3aa0-4718-9eab-4f4ffa4d3046&xptdk=ab7d607c-3aa0-4718-9eab-4f4ffa4d3046
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m6s1cp1cv9recb,,LAPTOP ZYREX D-TECH RYZEN 5 3500 16GB 256GB W11 14.0,,Rp,4.039.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Tangerang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,,"LAPTOP ZYREX D-TECH RYZEN 5 3500 16GB 256GB W11 14.0
Rp
4.039.000
< 2 Hari
Kab. Tangerang",https://shopee.co.id/LAPTOP-ZYREX-D-TECH-RYZEN-5-3500-16GB-256GB-W11-14.0-i.1471354300.26777887455?extraParams=%7B%22display_model_id%22%3A185831442605%2C%22model_selection_logic%22%3A3%7D&sp_atk=f09b4b5d-911f-499a-abfb-5094c2f1d2b1&xptdk=f09b4b5d-911f-499a-abfb-5094c2f1d2b1
