-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,truncate,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,text-shopee-primary,text-shopee-green,pointer-events-none_3,img,text-xs/sp14_3,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/sg-11134201-81zte-mildcdir6m0y70,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern A14 AI F2HMG 005ID Ryzen 5 220 8GB 512GB W11 OHS M365 Platinum Gray,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.264.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=51953501401&shopid=285014574,"MSI Modern A14 AI F2HMG 005ID Ryzen 5 220 8GB 512GB W11 OHS M365 Platinum Gray
Rp
10.264.000
Produk Baru
< 2 Hari
Denpasar",https://shopee.co.id/MSI-Modern-A14-AI-F2HMG-005ID-Ryzen-5-220-8GB-512GB-W11-OHS-M365-Platinum-Gray-i.285014574.51953501401?extraParams=%7B%22display_model_id%22%3A234630158796%2C%22model_selection_logic%22%3A3%7D&sp_atk=164de1be-a269-430b-b869-d276ca5dff69&xptdk=164de1be-a269-430b-b869-d276ca5dff69
https://down-id.img.susercontent.com/file/id-11134207-8224y-mioiytvhigaw89,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI Modern 14 C13M i3-1315U 8GB 512GB SSD 14 FHD Win 11 Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,8.576.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang,-37%,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=47053726585&shopid=269581133,"Laptop MSI Modern 14 C13M i3-1315U 8GB 512GB SSD 14 FHD Win 11 Resmi
Rp
8.576.000
-37%
Produk Baru
< 2 Hari
Tangerang",https://shopee.co.id/Laptop-MSI-Modern-14-C13M-i3-1315U-8GB-512GB-SSD-14-FHD-Win-11-Resmi-i.269581133.47053726585?extraParams=%7B%22display_model_id%22%3A325824608095%2C%22model_selection_logic%22%3A3%7D&sp_atk=495eebd2-97dc-409d-a838-32bb01298577&xptdk=495eebd2-97dc-409d-a838-32bb01298577
https://down-id.img.susercontent.com/file/id-11134207-7rbk8-m8yjzbode2oh76,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,LAPTOP MSI MODERN 14 9S7-14S122-074 i5-1335U 8GB/512GB/IRIS XE/WIN11 + OHS,,Rp,9.289.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26879627297&shopid=190967652,"LAPTOP MSI MODERN 14 9S7-14S122-074 i5-1335U 8GB/512GB/IRIS XE/WIN11 + OHS
Rp
9.289.000
< 2 Hari
Jakarta Pusat",https://shopee.co.id/LAPTOP-MSI-MODERN-14-9S7-14S122-074-i5-1335U-8GB-512GB-IRIS-XE-WIN11-OHS-i.190967652.26879627297?extraParams=%7B%22display_model_id%22%3A215882391880%2C%22model_selection_logic%22%3A3%7D&sp_atk=6391c9b5-34f7-4e8d-bcb4-c55a2975f2c7&xptdk=6391c9b5-34f7-4e8d-bcb4-c55a2975f2c7
https://down-id.img.susercontent.com/file/id-11134207-8224v-mh39hu2ece161e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Modern 14 F13MG Gray Notebook i5 512GB SSD,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.149.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,2-3 Hari,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=50801457081&shopid=135935289,"MSI Modern 14 F13MG Gray Notebook i5 512GB SSD
Rp
10.149.000
2-3 Hari
Malang",https://shopee.co.id/MSI-Modern-14-F13MG-Gray-Notebook-i5-512GB-SSD-i.135935289.50801457081?extraParams=%7B%22display_model_id%22%3A325133761094%2C%22model_selection_logic%22%3A3%7D&sp_atk=cb780c8c-380d-4a39-a244-7a5161746c76&xptdk=cb780c8c-380d-4a39-a244-7a5161746c76
https://down-id.img.susercontent.com/file/id-11134207-8224r-mhztndch2w3lf7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI Modern 14 C12MO 12th Gen Intel Core I5-1235U 8/512GB,,Rp,5.999.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=45602774475&shopid=407815554,"Laptop MSI Modern 14 C12MO 12th Gen Intel Core I5-1235U 8/512GB
Rp
5.999.000
< 2 Hari
Bandung",https://shopee.co.id/Laptop-MSI-Modern-14-C12MO-12th-Gen-Intel-Core-I5-1235U-8-512GB-i.407815554.45602774475?extraParams=%7B%22display_model_id%22%3A335266241543%2C%22model_selection_logic%22%3A3%7D&sp_atk=f3dccd92-41ba-4fea-b701-49f518530e6a&xptdk=f3dccd92-41ba-4fea-b701-49f518530e6a
https://down-id.img.susercontent.com/file/id-11134207-8224y-mjl14fcqwc8x4b,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Thin 15 Gaming Laptop RTX 4050 32GB 2TB,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,11.996.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,-1%,35 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29358952870&shopid=445258003,"MSI Thin 15 Gaming Laptop RTX 4050 32GB 2TB
Rp
11.996.000
-1%
4.9
35 Terjual
< 2 Hari
Depok",https://shopee.co.id/MSI-Thin-15-Gaming-Laptop-RTX-4050-32GB-2TB-i.445258003.29358952870?extraParams=%7B%22display_model_id%22%3A400733582764%2C%22model_selection_logic%22%3A3%7D&sp_atk=17e658b2-9da5-4f5c-aeaa-6438659c3004&xptdk=17e658b2-9da5-4f5c-aeaa-6438659c3004
https://down-id.img.susercontent.com/file/id-11134201-23020-rtf1x217bunvf3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP MSI MODERN 14 C7M RYZEN 5 7430u 16GB 512SSD WINDOWS 11,,Rp,7.675.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,5 Hari,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=20374083418&shopid=651287406,"LAPTOP MSI MODERN 14 C7M RYZEN 5 7430u 16GB 512SSD WINDOWS 11
Rp
7.675.000
5 Hari
Jakarta Pusat",https://shopee.co.id/LAPTOP-MSI-MODERN-14-C7M-RYZEN-5-7430u-16GB-512SSD-WINDOWS-11-i.651287406.20374083418?extraParams=%7B%22display_model_id%22%3A139062882150%2C%22model_selection_logic%22%3A3%7D&sp_atk=abb18b3a-97a9-482e-bf26-0193878dcee4&xptdk=abb18b3a-97a9-482e-bf26-0193878dcee4
https://down-id.img.susercontent.com/file/id-11134207-82250-mk9kew49fu9z8e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI Thin 15 B2RVE Core 5 RTX4050 Gaming Laptop,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,11.997.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,-1%,23 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28619771401&shopid=1413978586,"MSI Thin 15 B2RVE Core 5 RTX4050 Gaming Laptop
Rp
11.997.000
-1%
5.0
23 Terjual
< 2 Hari
Jakarta Selatan",https://shopee.co.id/MSI-Thin-15-B2RVE-Core-5-RTX4050-Gaming-Laptop-i.1413978586.28619771401?extraParams=%7B%22display_model_id%22%3A282423469450%2C%22model_selection_logic%22%3A3%7D&sp_atk=8c46d833-ff21-4855-9d62-6e67d966bb03&xptdk=8c46d833-ff21-4855-9d62-6e67d966bb03
https://down-id.img.susercontent.com/file/id-11134207-8224u-mjxlccokaakhcc,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI MODERN 14 I5 1334 8GB 512GB W11 14.0FHD BLIT 2Y SILVER-F13MG.647,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.691.500,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Makassar,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=55605293827&shopid=1534048892,"MSI MODERN 14 I5 1334 8GB 512GB W11 14.0FHD BLIT 2Y SILVER-F13MG.647
Rp
9.691.500
< 2 Hari
Makassar",https://shopee.co.id/MSI-MODERN-14-I5-1334-8GB-512GB-W11-14.0FHD-BLIT-2Y-SILVER-F13MG.647-i.1534048892.55605293827?extraParams=%7B%22display_model_id%22%3A430484751374%2C%22model_selection_logic%22%3A3%7D&sp_atk=23f80a0d-f81c-4b61-aa27-69c23166f1b9&xptdk=23f80a0d-f81c-4b61-aa27-69c23166f1b9
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmbiqhjxn8js71,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,MSI Modern 14 F13MG Intel Core i5-1334U 8GB SSD 512GB 14 W11+OfficeHome,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.552.000,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=49407941074&shopid=484463974,"MSI Modern 14 F13MG Intel Core i5-1334U 8GB SSD 512GB 14 W11+OfficeHome
Rp
10.552.000
Surakarta (Solo)",https://shopee.co.id/MSI-Modern-14-F13MG-Intel-Core-i5-1334U-8GB-SSD-512GB-14-W11-OfficeHome-i.484463974.49407941074?extraParams=%7B%22display_model_id%22%3A395703255575%2C%22model_selection_logic%22%3A3%7D&sp_atk=7d5f05ff-5632-4718-b92b-df5bb4261fbe&xptdk=7d5f05ff-5632-4718-b92b-df5bb4261fbe
https://down-id.img.susercontent.com/file/id-11134207-81ztd-mekxiyxf9lhf67,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI Modern 15 C2RMG | Core 9 270H 16GB 1TB 14.0FHD IPS W11+OHS,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,15.050.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,,2-4 Hari,,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=43768764578&shopid=1543389959,"MSI Modern 15 C2RMG | Core 9 270H 16GB 1TB 14.0FHD IPS W11+OHS
Rp
15.050.000
2-4 Hari
Yogyakarta",https://shopee.co.id/MSI-Modern-15-C2RMG-Core-9-270H-16GB-1TB-14.0FHD-IPS-W11-OHS-i.1543389959.43768764578?extraParams=%7B%22display_model_id%22%3A238089258559%2C%22model_selection_logic%22%3A3%7D&sp_atk=e8161d26-6a59-490a-ac85-86127ea815eb&xptdk=e8161d26-6a59-490a-ac85-86127ea815eb
https://down-id.img.susercontent.com/file/id-11134207-7r990-m03th1c9lkhe3f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop MSI Modern 14 C12MO/Core i3-1315U/8GB/512GB SSD/14 FHD IPS/Win 11 Home+OHS 2021,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Samarinda,,< 2 Hari,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24035972316&shopid=451538119,"Laptop MSI Modern 14 C12MO/Core i3-1315U/8GB/512GB SSD/14 FHD IPS/Win 11 Home+OHS 2021
Rp
10.200.000
< 2 Hari
Samarinda",https://shopee.co.id/Laptop-MSI-Modern-14-C12MO-Core-i3-1315U-8GB-512GB-SSD-14-FHD-IPS-Win-11-Home-OHS-2021-i.451538119.24035972316?extraParams=%7B%22display_model_id%22%3A148789491472%2C%22model_selection_logic%22%3A3%7D&sp_atk=7ca558e6-8d88-4b4a-978c-92682b66889b&xptdk=7ca558e6-8d88-4b4a-978c-92682b66889b
https://down-id.img.susercontent.com/file/id-11134207-8224r-mgbwvv7g3vuzb8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop MSI Modern 14 C12MO(9S7-14J111-1283)/Core i5-1235U/8GB/512GB SSD/FHD IPS/Win 11 + Office,,Rp,8.895.250,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,Besok 11:00,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=40125851728&shopid=47640161,"Laptop MSI Modern 14 C12MO(9S7-14J111-1283)/Core i5-1235U/8GB/512GB SSD/FHD IPS/Win 11 + Office
Rp
8.895.250
Besok 11:00
Surabaya",https://shopee.co.id/Laptop-MSI-Modern-14-C12MO(9S7-14J111-1283)-Core-i5-1235U-8GB-512GB-SSD-FHD-IPS-Win-11-Office-i.47640161.40125851728?extraParams=%7B%22display_model_id%22%3A445021343770%2C%22model_selection_logic%22%3A3%7D&sp_atk=308dc997-aa82-4f73-9881-3544a9359ac3&xptdk=308dc997-aa82-4f73-9881-3544a9359ac3
https://down-id.img.susercontent.com/file/id-11134207-8224x-mjl76bw7dypxa1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MSI Thin 15 GeForce RTX3050 4GB – Intel i5 13420H RAM 8GB SSD 512GB Windows 11 Layar 15.6"" FHD 144Hz Backlit Keyboard 2Y Grey (GRY) – B13UC.2409",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,13.062.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,-18%,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24286165591&shopid=1112723412,"MSI Thin 15 GeForce RTX3050 4GB – Intel i5 13420H RAM 8GB SSD 512GB Windows 11 Layar 15.6"" FHD 144Hz Backlit Keyboard 2Y Grey (GRY) – B13UC.2409
Rp
13.062.000
-18%
1 Terjual
Besok
Surabaya",https://shopee.co.id/MSI-Thin-15-GeForce-RTX3050-4GB-%E2%80%93-Intel-i5-13420H-RAM-8GB-SSD-512GB-Windows-11-Layar-15.6-FHD-144Hz-Backlit-Keyboard-2Y-Grey-(GRY)-%E2%80%93-B13UC.2409-i.1112723412.24286165591?extraParams=%7B%22display_model_id%22%3A425571502227%2C%22model_selection_logic%22%3A3%7D&sp_atk=d593c36a-e656-4704-af21-0637467d580d&xptdk=d593c36a-e656-4704-af21-0637467d580d
https://down-id.img.susercontent.com/file/sg-11134201-81zvt-mmu1142kos1v25,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"MSI Modern 14 F13MG-9S7-299 Core I5-1334U 8GB 512GB SSD 14""FHD IPS WIN 11 OHS",,Rp,9.499.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,1 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=47854408873&shopid=233137926,"MSI Modern 14 F13MG-9S7-299 Core I5-1334U 8GB 512GB SSD 14""FHD IPS WIN 11 OHS
Rp
9.499.000
Produk Baru
5.0
1 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/MSI-Modern-14-F13MG-9S7-299-Core-I5-1334U-8GB-512GB-SSD-14-FHD-IPS-WIN-11-OHS-i.233137926.47854408873?extraParams=%7B%22display_model_id%22%3A315412782496%2C%22model_selection_logic%22%3A3%7D&sp_atk=95d2b5da-6cfb-4e51-8180-5f9f59132e45&xptdk=95d2b5da-6cfb-4e51-8180-5f9f59132e45
https://down-id.img.susercontent.com/file/sg-11134201-8226z-mhd84iy38rgrbe,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,MSI MODERN 14 I5 1334U - RAM 8GB 512GB W11+OHS 14.0FHD IPS BLIT -F13MG.296,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.381.000,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,-53%,3-4 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=41426687454&shopid=1273153296,"MSI MODERN 14 I5 1334U - RAM 8GB 512GB W11+OHS 14.0FHD IPS BLIT -F13MG.296
Rp
9.381.000
-53%
Hadiah Gratis
3-4 Hari
Jakarta Utara",https://shopee.co.id/MSI-MODERN-14-I5-1334U-RAM-8GB-512GB-W11-OHS-14.0FHD-IPS-BLIT-F13MG.296-i.1273153296.41426687454?extraParams=%7B%22display_model_id%22%3A375607265119%2C%22model_selection_logic%22%3A3%7D&sp_atk=4cd272e2-ad5a-4ff5-98c6-2ed8ab331d35&xptdk=4cd272e2-ad5a-4ff5-98c6-2ed8ab331d35
https://down-id.img.susercontent.com/file/id-11134207-8224v-mibhfnaw8v7qcd,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,MSI GF63 THIN 11SC INTEL i5 NVIDIA GTX 1650 MAX Q DESIGN RAM 16GB SSD 512GB LAYAR 144Hz,,Rp,8.321.000,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,2 Terjual,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=55503175877&shopid=151596342,"MSI GF63 THIN 11SC INTEL i5 NVIDIA GTX 1650 MAX Q DESIGN RAM 16GB SSD 512GB LAYAR 144Hz
Rp
8.321.000
Produk Baru
2 Terjual
< 2 Hari
Bandung",https://shopee.co.id/MSI-GF63-THIN-11SC-INTEL-i5-NVIDIA-GTX-1650-MAX-Q-DESIGN-RAM-16GB-SSD-512GB-LAYAR-144Hz-i.151596342.55503175877?extraParams=%7B%22display_model_id%22%3A420775602989%2C%22model_selection_logic%22%3A3%7D&sp_atk=bc2076ab-7da9-4ab6-afbe-8dbe34ea05de&xptdk=bc2076ab-7da9-4ab6-afbe-8dbe34ea05de
