-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,text-xs/sp14_2,pointer-events-none,w-auto,text-white,pointer-events-none_2,align-middle,truncate,img_2,text-xs_2,pointer-events-none_3,text-white_2,text-white_2_link,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-82250-mjaxw2duovlu8a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Axioo Hype 1 Intel Celeron N4020 8GB 384GB Win 11 14.0 Inch,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.907.000,-23%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,113 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=27552296249&shopid=1274014683,"Laptop Axioo Hype 1 Intel Celeron N4020 8GB 384GB Win 11 14.0 Inch
Rp
3.907.000
-23%
4.9
113 Terjual
< 2 Hari
Depok",https://shopee.co.id/Laptop-Axioo-Hype-1-Intel-Celeron-N4020-8GB-384GB-Win-11-14.0-Inch-i.1274014683.27552296249?extraParams=%7B%22display_model_id%22%3A310415371461%2C%22model_selection_logic%22%3A3%7D&sp_atk=3c3cc2e2-29f9-4101-a37f-b5da9d7cbdba&xptdk=3c3cc2e2-29f9-4101-a37f-b5da9d7cbdba
https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m6f7ms4i8alp9e,https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6,Axioo Laptop Hype 3 G11 Intel Core i3-1125G4/8GB/256GB/FHD IPS - Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.999.000,-24%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,Pilih Lokal,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,384 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=23651351142&shopid=14454427,"Axioo Laptop Hype 3 G11 Intel Core i3-1125G4/8GB/256GB/FHD IPS - Windows 11
Rp
6.999.000
-24%
Pilih Lokal
4.9
384 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Axioo-Laptop-Hype-3-G11-Intel-Core-i3-1125G4-8GB-256GB-FHD-IPS-Windows-11-i.14454427.23651351142?extraParams=%7B%22display_model_id%22%3A420728828729%2C%22model_selection_logic%22%3A3%7D&sp_atk=f74de968-f27c-41fc-b3a1-4c1f7033df1a&xptdk=f74de968-f27c-41fc-b3a1-4c1f7033df1a
https://down-id.img.susercontent.com/file/id-11134207-8224x-mheo7ep6dgqw52,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 5 AMD JKT48 X3 RYZEN 5 3500 8GB 256GB DOS 14.0FHD IPS BLIT GRY,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,6.293.000,-2%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,2 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=44207380019&shopid=1471949508,"AXIOO HYPE 5 AMD JKT48 X3 RYZEN 5 3500 8GB 256GB DOS 14.0FHD IPS BLIT GRY
Rp
6.293.000
-2%
5.0
2 Terjual
Besok
Surabaya",https://shopee.co.id/AXIOO-HYPE-5-AMD-JKT48-X3-RYZEN-5-3500-8GB-256GB-DOS-14.0FHD-IPS-BLIT-GRY-i.1471949508.44207380019?extraParams=%7B%22display_model_id%22%3A305624552759%2C%22model_selection_logic%22%3A3%7D&sp_atk=3ce7eff4-befe-4d13-8c08-b44d4dc4e66b&xptdk=3ce7eff4-befe-4d13-8c08-b44d4dc4e66b
https://down-id.img.susercontent.com/file/id-11134207-81ztm-mfmc3fe5h4webc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 10 INTEL N4020 - RAM 8GB 256GB WINDOWS 11 14.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,3.756.000,-33%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,Cicilan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,526 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=11927614196&shopid=250649369,"AXIOO HYPE 10 INTEL N4020 - RAM 8GB 256GB WINDOWS 11 14.0
Rp
3.756.000
-33%
Cicilan
Hadiah Gratis
4.9
526 Terjual
< 2 Hari
Jakarta Utara",https://shopee.co.id/AXIOO-HYPE-10-INTEL-N4020-RAM-8GB-256GB-WINDOWS-11-14.0-i.250649369.11927614196?extraParams=%7B%22display_model_id%22%3A89892051047%2C%22model_selection_logic%22%3A3%7D&sp_atk=ad495e36-e22f-49f6-9e47-3c8d1e2d659e&xptdk=ad495e36-e22f-49f6-9e47-3c8d1e2d659e
https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m9o457gnc4f279,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 10 N4020 8GB 256GB DOS/WINDOWS14.0 TITANUM BRW,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,4.619.000,-2%,4.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,43 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28135128337&shopid=1471949508,"AXIOO HYPE 10 N4020 8GB 256GB DOS/WINDOWS14.0 TITANUM BRW
Rp
4.619.000
-2%
4.9
43 Terjual
Besok
Surabaya",https://shopee.co.id/AXIOO-HYPE-10-N4020-8GB-256GB-DOS-WINDOWS14.0-TITANUM-BRW-i.1471949508.28135128337?extraParams=%7B%22display_model_id%22%3A216041644702%2C%22model_selection_logic%22%3A3%7D&sp_atk=5e0f51ef-f451-4ab7-9907-44ceff003a87&xptdk=5e0f51ef-f451-4ab7-9907-44ceff003a87
https://down-id.img.susercontent.com/file/id-11134207-7rase-m1l07is0lcf229,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo MyBook Hype 1 Intel Celeron N4020 4GB/ 8GBSSD 128GB 14″ HD W11 Garansi Resmi,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.599.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Yogyakarta,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,2 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=26414653241&shopid=969079686,"Axioo MyBook Hype 1 Intel Celeron N4020 4GB/ 8GBSSD 128GB 14″ HD W11 Garansi Resmi
Rp
3.599.000
2 Terjual
< 2 Hari
Yogyakarta",https://shopee.co.id/Axioo-MyBook-Hype-1-Intel-Celeron-N4020-4GB-8GBSSD-128GB-14%E2%80%B3-HD-W11-Garansi-Resmi-i.969079686.26414653241?extraParams=%7B%22display_model_id%22%3A205613280637%2C%22model_selection_logic%22%3A3%7D&sp_atk=47a0c43d-3ffa-45bc-b7a4-1e7eac4ad465&xptdk=47a0c43d-3ffa-45bc-b7a4-1e7eac4ad465
https://down-id.img.susercontent.com/file/id-11134207-8224u-mgej30sz4mx455,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Axioo Core i5 1235U 16GB / 8GB RAM Hype 5 G12 Intel  gen 12 i5-1235U SSD 256GB FHD IPS Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,9.235.000,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,17 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24638115054&shopid=26681244,"Laptop Axioo Core i5 1235U 16GB / 8GB RAM Hype 5 G12 Intel gen 12 i5-1235U SSD 256GB FHD IPS Windows 11
Rp
9.235.000
5.0
17 Terjual
Besok 11:00
Surabaya",https://shopee.co.id/Laptop-Axioo-Core-i5-1235U-16GB-8GB-RAM-Hype-5-G12-Intel-gen-12-i5-1235U-SSD-256GB-FHD-IPS-Windows-11-i.26681244.24638115054?extraParams=%7B%22display_model_id%22%3A79546160024%2C%22model_selection_logic%22%3A3%7D&sp_atk=25bb2d1c-a4ba-454c-9af1-f9274b5ca8df&xptdk=25bb2d1c-a4ba-454c-9af1-f9274b5ca8df
https://down-id.img.susercontent.com/file/id-11134207-7rasl-m4v1tj0wsrf79d,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Axioo Hype 5 Ryzen 5 16GB 512GB 14"" FHD IPS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,7.549.000,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Malang,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,22 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28473209646&shopid=164898651,"Axioo Hype 5 Ryzen 5 16GB 512GB 14"" FHD IPS
Rp
7.549.000
5.0
22 Terjual
1-3 Hari
Malang",https://shopee.co.id/Axioo-Hype-5-Ryzen-5-16GB-512GB-14-FHD-IPS-i.164898651.28473209646?extraParams=%7B%22display_model_id%22%3A49562673755%2C%22model_selection_logic%22%3A3%7D&sp_atk=ea93733a-a264-4a56-8d53-42cf08a9edb6&xptdk=ea93733a-a264-4a56-8d53-42cf08a9edb6
https://down-id.img.susercontent.com/file/id-11134207-8224v-ml1y20v8aqdhba,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,AXIOO HYPE 5 AMD X6 RYZEN 5 6600H 16GB 256GB / 512GB W11 14.0FHD IPS BLIT HDMI Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,8.732.000,-3%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,114 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=29570427409&shopid=1039970542,"AXIOO HYPE 5 AMD X6 RYZEN 5 6600H 16GB 256GB / 512GB W11 14.0FHD IPS BLIT HDMI Windows 11
Rp
8.732.000
-3%
5.0
114 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/AXIOO-HYPE-5-AMD-X6-RYZEN-5-6600H-16GB-256GB-512GB-W11-14.0FHD-IPS-BLIT-HDMI-Windows-11-i.1039970542.29570427409?extraParams=%7B%22display_model_id%22%3A315573673861%2C%22model_selection_logic%22%3A3%7D&sp_atk=77e2dfe8-85f4-48eb-8cb7-03c5628c0366&xptdk=77e2dfe8-85f4-48eb-8cb7-03c5628c0366
https://down-id.img.susercontent.com/file/id-11134207-8224w-mjdxq3bq6y2sa8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Axioo Hype 3 G11 Core i3 16GB 512GB Win11 Pro,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.198.000,-1%,4.8,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Timur,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,46 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=27919049393&shopid=1413962134,"Axioo Hype 3 G11 Core i3 16GB 512GB Win11 Pro
Rp
4.198.000
-1%
4.8
46 Terjual
< 2 Hari
Jakarta Timur",https://shopee.co.id/Axioo-Hype-3-G11-Core-i3-16GB-512GB-Win11-Pro-i.1413962134.27919049393?extraParams=%7B%22display_model_id%22%3A237085251686%2C%22model_selection_logic%22%3A3%7D&sp_atk=2d663195-dac4-4a06-8a7a-f61473025758&xptdk=2d663195-dac4-4a06-8a7a-f61473025758
https://down-id.img.susercontent.com/file/id-11134207-822wo-mmm3vdtk38xt5e,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,axioo,,Rp,2.200.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purwakarta,,,5-8 Hari,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=49258212823&shopid=1116042534,"axioo
Rp
2.200.000
5-8 Hari
Kab. Purwakarta",https://shopee.co.id/axioo-i.1116042534.49258212823?extraParams=%7B%22display_model_id%22%3A420728595736%2C%22model_selection_logic%22%3A3%7D&sp_atk=8609e090-a3ac-4dab-a25a-8e27d59fa91f&xptdk=8609e090-a3ac-4dab-a25a-8e27d59fa91f
https://down-id.img.susercontent.com/file/id-11134207-81ztl-metyp7gpfz0m9c,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Axioo MyBook Hype 3 Core i3 16GB 512GB Win11Pro,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,5.998.000,-1%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,8 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=28178484768&shopid=1407296337,"Axioo MyBook Hype 3 Core i3 16GB 512GB Win11Pro
Rp
5.998.000
-1%
Hadiah Gratis
5.0
8 Terjual
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Axioo-MyBook-Hype-3-Core-i3-16GB-512GB-Win11Pro-i.1407296337.28178484768?extraParams=%7B%22display_model_id%22%3A79527821971%2C%22model_selection_logic%22%3A3%7D&sp_atk=c5e9a454-342b-43a7-9850-0a0d9c08de8f&xptdk=c5e9a454-342b-43a7-9850-0a0d9c08de8f
https://down-id.img.susercontent.com/file/id-11134207-81ztl-mey16qg3dq13df,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Axioo HYPE 7 Ryzen 7 32GB 1TB Windows 11 Pro,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,8.198.000,-1%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,Hadiah Gratis,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,29 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=24593063810&shopid=1407296337,"Axioo HYPE 7 Ryzen 7 32GB 1TB Windows 11 Pro
Rp
8.198.000
-1%
Hadiah Gratis
5.0
29 Terjual
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Axioo-HYPE-7-Ryzen-7-32GB-1TB-Windows-11-Pro-i.1407296337.24593063810?extraParams=%7B%22display_model_id%22%3A271679921554%2C%22model_selection_logic%22%3A3%7D&sp_atk=1eeac373-5e87-46fc-bd24-b188e844dfc3&xptdk=1eeac373-5e87-46fc-bd24-b188e844dfc3
https://down-id.img.susercontent.com/file/id-11134207-8224z-mh7bktnzbwgd1f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Axioo Hype 5 AMD Ryzen 5 16GB 512GB SSD 14"" FHD IPS",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,6.299.000,,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,22 Terjual,,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=41069230795&shopid=1632612180,"Axioo Hype 5 AMD Ryzen 5 16GB 512GB SSD 14"" FHD IPS
Rp
6.299.000
5.0
22 Terjual
< 2 Hari
Tangerang Selatan",https://shopee.co.id/Axioo-Hype-5-AMD-Ryzen-5-16GB-512GB-SSD-14-FHD-IPS-i.1632612180.41069230795?extraParams=%7B%22display_model_id%22%3A262542136729%2C%22model_selection_logic%22%3A3%7D&sp_atk=ab13820f-9f41-46ea-b9e5-abcfcac818fc&xptdk=ab13820f-9f41-46ea-b9e5-abcfcac818fc
https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mb6w27t3ueah91,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"AXIOO MYBOOK HYPE 1 Celeron N4020 8GB 512GB SSD 14"" HD IPS Windows 11",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,4.194.000,-1%,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bekasi,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,38 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,Produk Serupa,https://shopee.co.id/find_similar_products?catid=100644&itemid=43955223525&shopid=1563161820,"AXIOO MYBOOK HYPE 1 Celeron N4020 8GB 512GB SSD 14"" HD IPS Windows 11
Rp
4.194.000
-1%
5.0
38 Terjual
< 2 Hari
Bekasi",https://shopee.co.id/AXIOO-MYBOOK-HYPE-1-Celeron-N4020-8GB-512GB-SSD-14-HD-IPS-Windows-11-i.1563161820.43955223525?extraParams=%7B%22display_model_id%22%3A262303460017%2C%22model_selection_logic%22%3A3%7D&sp_atk=a2db6c09-500c-4f5e-bb0c-e1b0ab6f8aeb&xptdk=a2db6c09-500c-4f5e-bb0c-e1b0ab6f8aeb
