-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,pointer-events-none,align-middle,inline-block,text-shopee-primary,pointer-events-none_2,img,text-xs/sp14_3,text-xs,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-8224q-mk24a7pxy4g565,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,HP PROBOOK 440 G8 Baru Intel Core i5 11 Gen 8GB 256GB 14 Inch Full HD Iris Xe,Rp,5.600.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,,,,,,"HP PROBOOK 440 G8 Baru Intel Core i5 11 Gen 8GB 256GB 14 Inch Full HD Iris Xe
Rp
5.600.000
Surakarta (Solo)",https://shopee.co.id/HP-PROBOOK-440-G8-Baru-Intel-Core-i5-11-Gen-8GB-256GB-14-Inch-Full-HD-Iris-Xe-i.518002517.55155550991?extraParams=%7B%22display_model_id%22%3A360502741192%2C%22model_selection_logic%22%3A3%7D&sp_atk=223f772b-0a09-4402-858f-911ce609ed08&xptdk=223f772b-0a09-4402-858f-911ce609ed08
https://down-id.img.susercontent.com/file/id-11134207-7rasf-m3943esuyihp3e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop HP 14 EM0530AU Ryzen 5 7530U 1TB SSD RAM 16GB HP 14 EM0320AU AMD RYZEN 3 7320U SILVER BARU,Rp,7.697.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,14 Terjual,,"Laptop HP 14 EM0530AU Ryzen 5 7530U 1TB SSD RAM 16GB HP 14 EM0320AU AMD RYZEN 3 7320U SILVER BARU
Rp
7.697.000
-1%
5.0
14 Terjual
Jakarta Selatan",https://shopee.co.id/Laptop-HP-14-EM0530AU-Ryzen-5-7530U-1TB-SSD-RAM-16GB-HP-14-EM0320AU-AMD-RYZEN-3-7320U-SILVER-BARU-i.1413978586.24638973378?extraParams=%7B%22display_model_id%22%3A340383331637%2C%22model_selection_logic%22%3A3%7D&sp_atk=f0c7c146-b863-43e5-aa27-761bd77871c0&xptdk=f0c7c146-b863-43e5-aa27-761bd77871c0
https://down-id.img.susercontent.com/file/id-11134207-822wt-mlq3wp04gqv700,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Baru Hp 14 Intel Core 3 N355 (8Cpus, up to 3.9Ghz) SSD",Rp,7.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,19 Terjual,,"Laptop Baru Hp 14 Intel Core 3 N355 (8Cpus, up to 3.9Ghz) SSD
Rp
7.700.000
5.0
19 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Baru-Hp-14-Intel-Core-3-N355-(8Cpus-up-to-3.9Ghz)-SSD-i.832166767.49350573759?extraParams=%7B%22display_model_id%22%3A390634077570%2C%22model_selection_logic%22%3A3%7D&sp_atk=7e200465-813d-48fe-82ee-40c7895145b2&xptdk=7e200465-813d-48fe-82ee-40c7895145b2
https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mb50v26atjso36,https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c,"Chromebook Murah!! HP ChromeBook 11 G5 EE, Seri Baru, Slim, Lengkap, Grey",Rp,830.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,1 Terjual,,"Chromebook Murah!! HP ChromeBook 11 G5 EE, Seri Baru, Slim, Lengkap, Grey
Rp
830.000
1 Terjual
Jakarta Barat",https://shopee.co.id/Chromebook-Murah!!-HP-ChromeBook-11-G5-EE-Seri-Baru-Slim-Lengkap-Grey-i.70934091.44455295409?extraParams=%7B%22display_model_id%22%3A237888820452%2C%22model_selection_logic%22%3A3%7D&sp_atk=93fdd226-b65d-4788-9602-836a432a5e6b&xptdk=93fdd226-b65d-4788-9602-836a432a5e6b
https://down-id.img.susercontent.com/file/id-11134207-82252-mk3o7fi8krgi93,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Baru HP 14S EP0261TU Intel Core I3 Gen 13 RAM 16GB SSD 512GB 14 Inch Win11 OHS Garansi Resmi,Rp,7.299.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,21 Terjual,Hadiah Gratis,"Laptop Baru HP 14S EP0261TU Intel Core I3 Gen 13 RAM 16GB SSD 512GB 14 Inch Win11 OHS Garansi Resmi
Rp
7.299.000
Hadiah Gratis
4.9
21 Terjual
Bandung",https://shopee.co.id/Laptop-Baru-HP-14S-EP0261TU-Intel-Core-I3-Gen-13-RAM-16GB-SSD-512GB-14-Inch-Win11-OHS-Garansi-Resmi-i.1319460264.27661307494?extraParams=%7B%22display_model_id%22%3A301264690284%2C%22model_selection_logic%22%3A3%7D&sp_atk=471ae329-8520-498b-a217-ba27c4143d69&xptdk=471ae329-8520-498b-a217-ba27c4143d69
https://down-id.img.susercontent.com/file/id-11134207-8224x-mhn3ljrmpxj59f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"HP Elitebook X360 830 G6 Core i7 Gen 8 Ram 8GB / 16GB SSD 128GB / 256GB / 512GB, Layar 13.3""Inch FHD",Rp,4.990.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,,,,Kombo Hemat,"HP Elitebook X360 830 G6 Core i7 Gen 8 Ram 8GB / 16GB SSD 128GB / 256GB / 512GB, Layar 13.3""Inch FHD
Rp
4.990.000
-1%
Kombo Hemat
Surabaya",https://shopee.co.id/HP-Elitebook-X360-830-G6-Core-i7-Gen-8-Ram-8GB-16GB-SSD-128GB-256GB-512GB-Layar-13.3-Inch-FHD-i.1290502453.29508147413?extraParams=%7B%22display_model_id%22%3A315225115549%2C%22model_selection_logic%22%3A3%7D&sp_atk=46f1f423-ba83-4160-aece-87b6175371fc&xptdk=46f1f423-ba83-4160-aece-87b6175371fc
https://down-id.img.susercontent.com/file/id-11134207-81ztm-mfrrg2nf6nm34e,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Baru Murah HP 14 Intel N150 RAM 8GB 384GB SSD 14"" HD Windows 11 Original",Rp,5.499.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,9 Terjual,,"Laptop Baru Murah HP 14 Intel N150 RAM 8GB 384GB SSD 14"" HD Windows 11 Original
Rp
5.499.000
5.0
9 Terjual
Tangerang Selatan",https://shopee.co.id/Laptop-Baru-Murah-HP-14-Intel-N150-RAM-8GB-384GB-SSD-14-HD-Windows-11-Original-i.1632612180.28342755289?extraParams=%7B%22display_model_id%22%3A267113506007%2C%22model_selection_logic%22%3A3%7D&sp_atk=129434ac-f817-41b0-9ef9-aab5c0694127&xptdk=129434ac-f817-41b0-9ef9-aab5c0694127
https://down-id.img.susercontent.com/file/id-11134207-822wm-mn5dsr45ewar05,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,"Laptop Baru Hp Intel Core 3 N355 8Cpus up to 3,9Ghz RAM 32GB SSD 1TB",Rp,7.700.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,12 Terjual,,"Laptop Baru Hp Intel Core 3 N355 8Cpus up to 3,9Ghz RAM 32GB SSD 1TB
Rp
7.700.000
5.0
12 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Baru-Hp-Intel-Core-3-N355-8Cpus-up-to-3-9Ghz-RAM-32GB-SSD-1TB-i.1748504779.48056741380?extraParams=%7B%22display_model_id%22%3A287545161696%2C%22model_selection_logic%22%3A3%7D&sp_atk=3171138c-ae7b-4edf-a3cb-d234e43ad2d8&xptdk=3171138c-ae7b-4edf-a3cb-d234e43ad2d8
https://down-id.img.susercontent.com/file/id-11134207-822wg-mn3uw8c5c7wo14,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop HP Envy x360 - OmniBook X Flip [NEW] 2 in 1 Intel Core Ultra 7 Intel Graphics 16GB RAM 1TB SSD Touchscreen Silver / Blue Windows 11 Home 14 Inch Garansi 2 Tahun Promo Murah Gratis Ongkir Official Non Second,Rp,19.305.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,-11%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,128 Terjual,Hadiah Gratis,"Laptop HP Envy x360 - OmniBook X Flip [NEW] 2 in 1 Intel Core Ultra 7 Intel Graphics 16GB RAM 1TB SSD Touchscreen Silver / Blue Windows 11 Home 14 Inch Garansi 2 Tahun Promo Murah Gratis Ongkir Official Non Second
Rp
19.305.000
-11%
Hadiah Gratis
5.0
128 Terjual
Jakarta Utara",https://shopee.co.id/Laptop-HP-Envy-x360-OmniBook-X-Flip-NEW-2-in-1-Intel-Core-Ultra-7-Intel-Graphics-16GB-RAM-1TB-SSD-Touchscreen-Silver-Blue-Windows-11-Home-14-Inch-Garansi-2-Tahun-Promo-Murah-Gratis-Ongkir-Official-Non-Second-i.12758413.25783017670?extraParams=%7B%22display_model_id%22%3A217625858547%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb997d85-4b9d-44ba-b416-dbec2ed9f984&xptdk=eb997d85-4b9d-44ba-b416-dbec2ed9f984
https://down-id.img.susercontent.com/file/id-11134207-82251-ml641yy3p825d1,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Laptop HP 240 G7, Core i5-8265U, Gen 7th, Hd Graphics 620, Ram 8 GB / 1Tb, Seri Baru, Lengkap, Silver Dop  Spesifikasi: - Procecor : Intel Core i5 - 8265U, ~ 1,6Ghz Up to 1,8Ghz, Gen 8th - Vga : Intel Hd Graphics 620 - Ram : 8 Gb - Hdd : 1 Tb - Layar : 14",Rp,3.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,,,,,,,,"Laptop HP 240 G7, Core i5-8265U, Gen 7th, Hd Graphics 620, Ram 8 GB / 1Tb, Seri Baru, Lengkap, Silver Dop Spesifikasi: - Procecor : Intel Core i5 - 8265U, ~ 1,6Ghz Up to 1,8Ghz, Gen 8th - Vga : Intel Hd Graphics 620 - Ram : 8 Gb - Hdd : 1 Tb - Layar : 14
Rp
3.300.000
Jakarta Barat",https://shopee.co.id/Laptop-HP-240-G7-Core-i5-8265U-Gen-7th-Hd-Graphics-620-Ram-8-GB-1Tb-Seri-Baru-Lengkap-Silver-Dop-Spesifikasi-Procecor-Intel-Core-i5-8265U-~-1-6Ghz-Up-to-1-8Ghz-Gen-8th-Vga-Intel-Hd-Graphics-620-Ram-8-Gb-Hdd-1-Tb-Layar-14-i.1168421838.48606502703?extraParams=%7B%22display_model_id%22%3A287420958178%2C%22model_selection_logic%22%3A3%7D&sp_atk=53507f37-225a-49eb-ab6e-d5ab0dd205e4&xptdk=53507f37-225a-49eb-ab6e-d5ab0dd205e4
https://down-id.img.susercontent.com/file/id-11134207-822wi-mmk2cveqax3j5f,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NEW Laptop Hp 14 Intel Core N150 RAM 16GB SSD 1TB 14 Inch Windows 11 Home Original OHS,Rp,5.498.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.9,30 Terjual,,"NEW Laptop Hp 14 Intel Core N150 RAM 16GB SSD 1TB 14 Inch Windows 11 Home Original OHS
Rp
5.498.000
-1%
4.9
30 Terjual
Jakarta Pusat",https://shopee.co.id/NEW-Laptop-Hp-14-Intel-Core-N150-RAM-16GB-SSD-1TB-14-Inch-Windows-11-Home-Original-OHS-i.748792991.23253435100?extraParams=%7B%22display_model_id%22%3A277464413199%2C%22model_selection_logic%22%3A3%7D&sp_atk=065be85b-2aba-4b20-ac03-a715c957fd98&xptdk=065be85b-2aba-4b20-ac03-a715c957fd98
https://down-id.img.susercontent.com/file/id-11134207-8224w-mj12vidbnpj4a1,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop HP 14 Baru Intel N150 8GB 512GB SSD WIN11 Home Water Blue,Rp,5.497.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Tangerang Selatan,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,7 Terjual,Hadiah Gratis,"Laptop HP 14 Baru Intel N150 8GB 512GB SSD WIN11 Home Water Blue
Rp
5.497.000
-1%
Hadiah Gratis
5.0
7 Terjual
Tangerang Selatan",https://shopee.co.id/Laptop-HP-14-Baru-Intel-N150-8GB-512GB-SSD-WIN11-Home-Water-Blue-i.1671404664.45451195474?extraParams=%7B%22display_model_id%22%3A415106214366%2C%22model_selection_logic%22%3A3%7D&sp_atk=a821af5c-bb9e-42a4-ac63-bb94f6890516&xptdk=a821af5c-bb9e-42a4-ac63-bb94f6890516
https://down-id.img.susercontent.com/file/id-11134207-8224w-mi09gv0k0q2sa8,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,HP EliteBook 830 G7/G8 Intel Core i5-11Gen/Intel Iris Xe Graphics/Laptop Super Mewah,Rp,3.980.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,,-20%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,4.8,13 Terjual,,"HP EliteBook 830 G7/G8 Intel Core i5-11Gen/Intel Iris Xe Graphics/Laptop Super Mewah
Rp
3.980.000
-20%
4.8
13 Terjual
Jakarta Pusat",https://shopee.co.id/HP-EliteBook-830-G7-G8-Intel-Core-i5-11Gen-Intel-Iris-Xe-Graphics-Laptop-Super-Mewah-i.172852785.21172520060?extraParams=%7B%22display_model_id%22%3A430254516284%2C%22model_selection_logic%22%3A3%7D&sp_atk=d5bce38b-fc4e-464b-a718-96cf35daeb06&xptdk=d5bce38b-fc4e-464b-a718-96cf35daeb06
https://down-id.img.susercontent.com/file/fb7940608a0b9a947e776ea432d9fe89,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Hp ProBook 430 G3 i7 Gen 6 Ram 8GB SSD 512GB Camera,Rp,5.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Utara,,,,,,,Cicilan,"Hp ProBook 430 G3 i7 Gen 6 Ram 8GB SSD 512GB Camera
Rp
5.500.000
Cicilan
Jakarta Utara",https://shopee.co.id/Hp-ProBook-430-G3-i7-Gen-6-Ram-8GB-SSD-512GB-Camera-i.323892732.3777905898?extraParams=%7B%22display_model_id%22%3A24175407453%2C%22model_selection_logic%22%3A3%7D&sp_atk=e4bfa595-fd23-4ed1-959b-71445edcb79b&xptdk=e4bfa595-fd23-4ed1-959b-71445edcb79b
https://down-id.img.susercontent.com/file/id-11134207-822wi-mlols7bxhywxd9,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Baru Hp Fortis X360 Intel Celeron N5100 Touchscreen RAM 8GB SSD 1TB,Rp,4.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,,"Laptop Baru Hp Fortis X360 Intel Celeron N5100 Touchscreen RAM 8GB SSD 1TB
Rp
4.800.000
Jakarta Pusat",https://shopee.co.id/Laptop-Baru-Hp-Fortis-X360-Intel-Celeron-N5100-Touchscreen-RAM-8GB-SSD-1TB-i.1748504779.56557052670?extraParams=%7B%22display_model_id%22%3A325629813145%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb7eb720-4156-43d3-8407-9e2b86e076b2&xptdk=fb7eb720-4156-43d3-8407-9e2b86e076b2
https://down-id.img.susercontent.com/file/id-11134207-7r98w-ls198k7epxtla6,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Laptop Baru Buka Dus Garansi On 2025 Hp 14-ep0001TU Core i5-1335U Ram 16/512Gb,Rp,8.250.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,,"Laptop Baru Buka Dus Garansi On 2025 Hp 14-ep0001TU Core i5-1335U Ram 16/512Gb
Rp
8.250.000
Jakarta Barat",https://shopee.co.id/Laptop-Baru-Buka-Dus-Garansi-On-2025-Hp-14-ep0001TU-Core-i5-1335U-Ram-16-512Gb-i.346011270.24114672193?extraParams=%7B%22display_model_id%22%3A217326717698%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5dc5c20-586d-49f6-8722-7eadc39c0b17&xptdk=a5dc5c20-586d-49f6-8722-7eadc39c0b17
https://down-id.img.susercontent.com/file/id-11134207-7r98z-lt7nwxd8j2o936,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,PROMO LAPTOP HP Pavilion 15-CW1002AU AMD Ryzen 3 RAM 16GB SSD 512GB windows 10 original free TAS,Rp,5.562.550,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,,,1 Terjual,,"PROMO LAPTOP HP Pavilion 15-CW1002AU AMD Ryzen 3 RAM 16GB SSD 512GB windows 10 original free TAS
Rp
5.562.550
1 Terjual
Surabaya",https://shopee.co.id/PROMO-LAPTOP-HP-Pavilion-15-CW1002AU-AMD-Ryzen-3-RAM-16GB-SSD-512GB-windows-10-original-free-TAS-i.7217222.24219800830?extraParams=%7B%22display_model_id%22%3A194979881813%2C%22model_selection_logic%22%3A3%7D&sp_atk=0ba2f4d2-9345-4a58-94f1-71bf1b421303&xptdk=0ba2f4d2-9345-4a58-94f1-71bf1b421303
https://down-id.img.susercontent.com/file/id-11134207-822wo-mlbtlhadzb48f1,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Laptop Baru Hp 14 AMD Ryzen 7 7730U 16Cpus up to 4.5Ghz,Rp,10.300.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,11 Terjual,,"Laptop Baru Hp 14 AMD Ryzen 7 7730U 16Cpus up to 4.5Ghz
Rp
10.300.000
5.0
11 Terjual
Jakarta Pusat",https://shopee.co.id/Laptop-Baru-Hp-14-AMD-Ryzen-7-7730U-16Cpus-up-to-4.5Ghz-i.570719412.24512114556?extraParams=%7B%22display_model_id%22%3A445555912351%2C%22model_selection_logic%22%3A3%7D&sp_atk=46ea3555-0022-4d18-94de-a10341996748&xptdk=46ea3555-0022-4d18-94de-a10341996748
https://down-id.img.susercontent.com/file/id-11134207-7rbke-m9u40ubrbffxc6,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,"Laptop Baru HP 15S FQ5444TU core i3 Gen 12 RAM 8GB SSD 512GB 15,6 FHD Key Backlight",Rp,5.500.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surakarta (Solo),,,,,,,,"Laptop Baru HP 15S FQ5444TU core i3 Gen 12 RAM 8GB SSD 512GB 15,6 FHD Key Backlight
Rp
5.500.000
Surakarta (Solo)",https://shopee.co.id/Laptop-Baru-HP-15S-FQ5444TU-core-i3-Gen-12-RAM-8GB-SSD-512GB-15-6-FHD-Key-Backlight-i.518002517.41851132451?extraParams=%7B%22display_model_id%22%3A285091237562%2C%22model_selection_logic%22%3A3%7D&sp_atk=4deffb56-ff1e-4bb4-a3d1-939b0cdfe957&xptdk=4deffb56-ff1e-4bb4-a3d1-939b0cdfe957
https://down-id.img.susercontent.com/file/21fe943b123d37858e3bea1a37fd1527,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Laptop Hp Pavilion 15 - bw071AX, Amd A12-9720P, DualVga Amd Radeon R7, Ram 8gb, Hdd 1TB, IPS, Seri Baru, Editing, Gaming Ngebut, Lengkap",Rp,4.350.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Barat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,,"Laptop Hp Pavilion 15 - bw071AX, Amd A12-9720P, DualVga Amd Radeon R7, Ram 8gb, Hdd 1TB, IPS, Seri Baru, Editing, Gaming Ngebut, Lengkap
Rp
4.350.000
Jakarta Barat",https://shopee.co.id/Laptop-Hp-Pavilion-15-bw071AX-Amd-A12-9720P-DualVga-Amd-Radeon-R7-Ram-8gb-Hdd-1TB-IPS-Seri-Baru-Editing-Gaming-Ngebut-Lengkap-i.83853427.20354178333?extraParams=%7B%22display_model_id%22%3A174753672949%2C%22model_selection_logic%22%3A3%7D&sp_atk=72b5131e-5d81-4367-b357-6e16586191a5&xptdk=72b5131e-5d81-4367-b357-6e16586191a5
https://down-id.img.susercontent.com/file/id-11134207-822wj-mlrrlysrrojk2f,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Laptop Baru HP Fortis X360 TouchScreen Intel Celeron N5100 8/1TB,Rp,4.800.000,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,,,,,"Laptop Baru HP Fortis X360 TouchScreen Intel Celeron N5100 8/1TB
Rp
4.800.000
Jakarta Pusat",https://shopee.co.id/Laptop-Baru-HP-Fortis-X360-TouchScreen-Intel-Celeron-N5100-8-1TB-i.50668026.29144256202?extraParams=%7B%22display_model_id%22%3A355570223692%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb048b6c-75a8-4941-9658-3263c8b8f333&xptdk=fb048b6c-75a8-4941-9658-3263c8b8f333
