-image-yazkc-11,-image-yazkc-11_2,text-sm,inline-block,text-xs/sp14,font-medium,text-shopee-primary,pointer-events-none,pointer-events-none_2,w-auto,text-white,pointer-events-none_3,align-middle,img,text-xs/sp14_3,text-shopee-green,truncate,_container,_container_link
https://down-id.img.susercontent.com/file/id-11134207-822wq-mn5a9ekswzk11a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"Dell Latitude 5330 Core i5 / i7 Gen 12 RAM 8GB / 16GB SSD 128GB / 256GB / 512GB / 1TB, Layar 13""Inch",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,5.990.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,1 Terjual,,"Dell Latitude 5330 Core i5 / i7 Gen 12 RAM 8GB / 16GB SSD 128GB / 256GB / 512GB / 1TB, Layar 13""Inch
Rp
5.990.000
-1%
1 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Dell-Latitude-5330-Core-i5-i7-Gen-12-RAM-8GB-16GB-SSD-128GB-256GB-512GB-1TB-Layar-13-Inch-i.1448742375.43372748114?extraParams=%7B%22display_model_id%22%3A380796639282%2C%22model_selection_logic%22%3A3%7D&sp_atk=9bfcd4aa-77ce-4698-9f03-d5a539f69746&xptdk=9bfcd4aa-77ce-4698-9f03-d5a539f69746
https://down-id.img.susercontent.com/file/id-11134207-822wo-mlpxbn1holj6ab,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Laptop DELL Latitude 5410 Intel Core i5-10210U Ram 16GB SSD 256GB,,Rp,4.450.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 11:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,Besok 11:00,,"Laptop DELL Latitude 5410 Intel Core i5-10210U Ram 16GB SSD 256GB
Rp
4.450.000
Besok 11:00
Surabaya",https://shopee.co.id/Laptop-DELL-Latitude-5410-Intel-Core-i5-10210U-Ram-16GB-SSD-256GB-i.20977174.42129203642?extraParams=%7B%22display_model_id%22%3A335633316697%2C%22model_selection_logic%22%3A3%7D&sp_atk=4660f005-d5cd-47d4-b729-4f0e41e0290d&xptdk=4660f005-d5cd-47d4-b729-4f0e41e0290d
https://down-id.img.susercontent.com/file/id-11134207-8224u-mg9acoxok1e049,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,"Dell Latitude 7320 i5 16GB/32GB SSD 13"" FHD",https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.500.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,1 Terjual,,"Dell Latitude 7320 i5 16GB/32GB SSD 13"" FHD
Rp
7.500.000
5.0
1 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/Dell-Latitude-7320-i5-16GB-32GB-SSD-13-FHD-i.1526223742.55050162301?extraParams=%7B%22display_model_id%22%3A415014822193%2C%22model_selection_logic%22%3A3%7D&sp_atk=c831782c-07f1-421d-b898-f9bace9f5057&xptdk=c831782c-07f1-421d-b898-f9bace9f5057
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-majc3sgtwbske7,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Laptop Latitude 3420 /Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/14″ FHD/Windows 11 Pro/Black/3Y,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/7c9110f78e069acbced7.png,Rp,13.099.000,-13%,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Medan,,,1 Terjual,,"Dell Laptop Latitude 3420 /Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/14″ FHD/Windows 11 Pro/Black/3Y
Rp
13.099.000
-13%
1 Terjual
4-7 Hari
Medan",https://shopee.co.id/Dell-Laptop-Latitude-3420-Intel-Core-i5-1135G7-8GB-512GB-SSD-Intel-Iris-Xe-Graphics-14%E2%80%B3-FHD-Windows-11-Pro-Black-3Y-i.239103282.28850548804?extraParams=%7B%22display_model_id%22%3A245866820546%2C%22model_selection_logic%22%3A3%7D&sp_atk=ae584de5-0090-496a-877d-588ea5acc5c8&xptdk=ae584de5-0090-496a-877d-588ea5acc5c8
https://down-id.img.susercontent.com/file/id-11134207-822wk-mn31ihovzwu9f5,,DELL LATITUDE 5320 INTEL I7-1185G7 INTEL IRIS XE RAM 16GB SSD 512GB,,Rp,3.950.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,3 Terjual,,"DELL LATITUDE 5320 INTEL I7-1185G7 INTEL IRIS XE RAM 16GB SSD 512GB
Rp
3.950.000
-1%
3 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/DELL-LATITUDE-5320-INTEL-I7-1185G7-INTEL-IRIS-XE-RAM-16GB-SSD-512GB-i.1769522231.47407122677?extraParams=%7B%22display_model_id%22%3A335788773662%2C%22model_selection_logic%22%3A3%7D&sp_atk=2ab0d7ce-14a9-4bec-bc53-c38a45149278&xptdk=2ab0d7ce-14a9-4bec-bc53-c38a45149278
https://down-id.img.susercontent.com/file/sg-11134201-7rdx8-mckerurceu8j03,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 5310 Core I5 16GB 1TB SSD Bonus,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,3.508.000,-41%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,6 Terjual,,"Dell Latitude 5310 Core I5 16GB 1TB SSD Bonus
Rp
3.508.000
-41%
5.0
6 Terjual
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-5310-Core-I5-16GB-1TB-SSD-Bonus-i.1556303584.44409988062?extraParams=%7B%22display_model_id%22%3A265839651359%2C%22model_selection_logic%22%3A3%7D&sp_atk=8d53cbee-5bbc-475d-8110-e2d0e567fe33&xptdk=8d53cbee-5bbc-475d-8110-e2d0e567fe33
https://down-id.img.susercontent.com/file/id-11134207-822wl-mlivchex0av43a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,laptop Dell 5320 ram 16Gb core i7 gen11 ssd 256gb slim 13inch touchscreen,,Rp,5.600.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok 12:00,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Surabaya,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,3 Terjual,,"laptop Dell 5320 ram 16Gb core i7 gen11 ssd 256gb slim 13inch touchscreen
Rp
5.600.000
5.0
3 Terjual
Besok 12:00
Surabaya",https://shopee.co.id/laptop-Dell-5320-ram-16Gb-core-i7-gen11-ssd-256gb-slim-13inch-touchscreen-i.31172897.27434771664?extraParams=%7B%22display_model_id%22%3A188465768926%2C%22model_selection_logic%22%3A3%7D&sp_atk=57242154-7ce6-45a6-bad7-6c8f0650ff50&xptdk=57242154-7ce6-45a6-bad7-6c8f0650ff50
https://down-id.img.susercontent.com/file/id-11134207-822wu-mmzuszm5vpjc42,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 13 5330 2in1 i7 16GB 1TB SSD Touchscreen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,Rp,10.998.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bogor,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,17 Terjual,,"Dell Latitude 13 5330 2in1 i7 16GB 1TB SSD Touchscreen
Rp
10.998.000
-1%
5.0
17 Terjual
< 2 Hari
Bogor",https://shopee.co.id/Dell-Latitude-13-5330-2in1-i7-16GB-1TB-SSD-Touchscreen-i.1130324666.43456523595?extraParams=%7B%22display_model_id%22%3A420721224789%2C%22model_selection_logic%22%3A3%7D&sp_atk=aca4dd02-c52e-4c93-8da4-33e576837264&xptdk=aca4dd02-c52e-4c93-8da4-33e576837264
https://down-id.img.susercontent.com/file/id-11134207-822wg-mminuwjl5se918,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 7430 Touchscreen Intel Core I7 Gen 12 I Ram 16 Gb Ssd NVME 512 Gb I Windows 11,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,7.730.000,-40%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"Dell Latitude 7430 Touchscreen Intel Core I7 Gen 12 I Ram 16 Gb Ssd NVME 512 Gb I Windows 11
Rp
7.730.000
-40%
< 2 Hari
Jakarta Pusat",https://shopee.co.id/Dell-Latitude-7430-Touchscreen-Intel-Core-I7-Gen-12-I-Ram-16-Gb-Ssd-NVME-512-Gb-I-Windows-11-i.478794673.45858072041?extraParams=%7B%22display_model_id%22%3A385715719985%2C%22model_selection_logic%22%3A3%7D&sp_atk=bb23b022-22f4-40b8-992b-72e236a84416&xptdk=bb23b022-22f4-40b8-992b-72e236a84416
https://down-id.img.susercontent.com/file/id-11134207-8224w-mg4m8l1t2l1oad,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,LAPTOP DELL Inspiron 15 3511 CORE I7 GEN 11 RAM 8GB SSD 512GB DUAL VGA,,Rp,7.490.000,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"LAPTOP DELL Inspiron 15 3511 CORE I7 GEN 11 RAM 8GB SSD 512GB DUAL VGA
Rp
7.490.000
< 2 Hari
Semarang",https://shopee.co.id/LAPTOP-DELL-Inspiron-15-3511-CORE-I7-GEN-11-RAM-8GB-SSD-512GB-DUAL-VGA-i.100409425.40725419058?extraParams=%7B%22display_model_id%22%3A244056444311%2C%22model_selection_logic%22%3A3%7D&sp_atk=963f5696-1b63-403a-b5c7-aef13f2bb771&xptdk=963f5696-1b63-403a-b5c7-aef13f2bb771
https://down-id.img.susercontent.com/file/id-11134207-822wu-mn3uo7n0qg3o6a,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"DELL Inspiron 3493 Intel Core i7 - 1065G7 8/512 Nvidia GeForce MX230 Webcam, WiFi, Bluetooth | GL15200",,Rp,7.189.250,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Semarang,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,,< 2 Hari,,"DELL Inspiron 3493 Intel Core i7 - 1065G7 8/512 Nvidia GeForce MX230 Webcam, WiFi, Bluetooth | GL15200
Rp
7.189.250
< 2 Hari
Semarang",https://shopee.co.id/DELL-Inspiron-3493-Intel-Core-i7-1065G7-8-512-Nvidia-GeForce-MX230-Webcam-WiFi-Bluetooth-GL15200-i.389558274.46708950050?extraParams=%7B%22display_model_id%22%3A267542078454%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb381275-8840-4cf4-a1ad-7d2d981d12ee&xptdk=eb381275-8840-4cf4-a1ad-7d2d981d12ee
https://down-id.img.susercontent.com/file/id-11134207-822wq-mlniotshn9c05c,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Dell Latitude 13 5330 2in1 i7 32GB 1TB Touchscreen,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,Rp,10.996.000,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,< 2 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Depok,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,5.0,4 Terjual,,"Dell Latitude 13 5330 2in1 i7 32GB 1TB Touchscreen
Rp
10.996.000
-1%
5.0
4 Terjual
< 2 Hari
Depok",https://shopee.co.id/Dell-Latitude-13-5330-2in1-i7-32GB-1TB-Touchscreen-i.445258003.22986883255?extraParams=%7B%22display_model_id%22%3A295114200422%2C%22model_selection_logic%22%3A3%7D&sp_atk=2272dace-3dac-403c-b7ad-e8a1c7a3b258&xptdk=2272dace-3dac-403c-b7ad-e8a1c7a3b258
