-image-yazkc-11,-image-yazkc-11_2,text-sm,text-xs/sp14,font-medium,text-xs/sp14_2,pointer-events-none,text-shopee-green,pointer-events-none_2,align-middle,text-shopee-primary,w-auto,text-white,truncate,inline-block,pointer-events-none_3,img_2,_container,_container_link
https://down-id.img.susercontent.com/file/21884c73126064b34b7b6bb7cdc60379,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Hp Jdul Nokia 6500s-1 / Nokia 6500s-1 Bekas,Rp,490.000,4.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,11 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung Barat,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Hp Jdul Nokia 6500s-1 / Nokia 6500s-1 Bekas
Rp
490.000
4.0
11 Terjual
2-3 Hari
Kab. Bandung Barat",https://shopee.co.id/Hp-Jdul-Nokia-6500s-1-Nokia-6500s-1-Bekas-i.451318957.16412558523?extraParams=%7B%22display_model_id%22%3A170433301918%2C%22model_selection_logic%22%3A3%7D&sp_atk=4b7874db-bbc0-433d-8a97-8773b44867d5&xptdk=4b7874db-bbc0-433d-8a97-8773b44867d5
https://down-id.img.susercontent.com/file/id-11134207-7ra0k-md4s9mocyejced,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA 101 SCOND NORMAL BERGARANSI CELL20,Rp,34.300,4.5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,10 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
NOKIA 101 SCOND NORMAL BERGARANSI CELL20
Rp
34.300
-2%
4.5
10 Terjual
Besok
Kab. Cirebon",https://shopee.co.id/NOKIA-101-SCOND-NORMAL-BERGARANSI-CELL20-i.783717747.24442890875?extraParams=%7B%22display_model_id%22%3A205900574184%2C%22model_selection_logic%22%3A2%7D&sp_atk=53773403-7a1a-4d82-9595-8075a818d2ed&xptdk=53773403-7a1a-4d82-9595-8075a818d2ed
https://down-id.img.susercontent.com/file/efbf60ffa006b61f3cc05ab0a0f23916,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia Asha 210 Second,Rp,200.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,5-8 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Denpasar,,,,Cicilan,,,,"Scrape to BigSeller
Nokia Asha 210 Second
Rp
200.000
Cicilan
5-8 Hari
Denpasar",https://shopee.co.id/Nokia-Asha-210-Second-i.37653213.14981508975?extraParams=%7B%22display_model_id%22%3A144277814669%2C%22model_selection_logic%22%3A3%7D&sp_atk=96c319d6-4f0f-4803-9e0b-e9925d808b9f&xptdk=96c319d6-4f0f-4803-9e0b-e9925d808b9f
https://down-id.img.susercontent.com/file/fae48ce396025438192c59c644658a53,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,HP Nokia 8210 Original / Hp Jadul Nokia 8210 / Hp Bekas Nokia 8210,Rp,349.000,4.4,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,15 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung Barat,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
HP Nokia 8210 Original / Hp Jadul Nokia 8210 / Hp Bekas Nokia 8210
Rp
349.000
4.4
15 Terjual
2-3 Hari
Kab. Bandung Barat",https://shopee.co.id/HP-Nokia-8210-Original-Hp-Jadul-Nokia-8210-Hp-Bekas-Nokia-8210-i.451318957.10431511938?extraParams=%7B%22display_model_id%22%3A84324205544%2C%22model_selection_logic%22%3A3%7D&sp_atk=11147e99-9795-48ee-80d2-4deaa22fef13&xptdk=11147e99-9795-48ee-80d2-4deaa22fef13
https://down-id.img.susercontent.com/file/id-11134207-8224r-mh1ce6zn5zwr45,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,"NOKIA 6760 , ADA MINUS",Rp,130.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Wonosobo,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/e4734dab67ee2f9ebd5a.png,,,"Scrape to BigSeller
NOKIA 6760 , ADA MINUS
Rp
130.000
1 Terjual
2-3 Hari
Kab. Wonosobo",https://shopee.co.id/NOKIA-6760-ADA-MINUS-i.178509174.24971417270?extraParams=%7B%22display_model_id%22%3A157245947860%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca16f3bb-5270-4a8e-8ea7-b0b8e04ab9f0&xptdk=ca16f3bb-5270-4a8e-8ea7-b0b8e04ab9f0
https://down-id.img.susercontent.com/file/dea93f9f7976868d6592486c69db8c85,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f,Hp Nokia 5210 /  Hp Jadul Nokia 5210 / Hp Bekas Nokia 5210,Rp,390.000,3.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,9 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Bandung Barat,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Hp Nokia 5210 / Hp Jadul Nokia 5210 / Hp Bekas Nokia 5210
Rp
390.000
3.0
9 Terjual
2-3 Hari
Kab. Bandung Barat",https://shopee.co.id/Hp-Nokia-5210-Hp-Jadul-Nokia-5210-Hp-Bekas-Nokia-5210-i.451318957.11245611394?extraParams=%7B%22display_model_id%22%3A112234340711%2C%22model_selection_logic%22%3A3%7D&sp_atk=ef6fa3c2-cefa-4899-b121-27eb5b6d9f34&xptdk=ef6fa3c2-cefa-4899-b121-27eb5b6d9f34
https://down-id.img.susercontent.com/file/id-11134207-8224q-mj9sfxab40sn51,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA N82 XENON FLASH ORIGINAL NOKIA UNIT NORMAL HP SECOND JADUL UNIK LANGKA,Rp,450.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Bandung,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,Produk Baru,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Scrape to BigSeller
NOKIA N82 XENON FLASH ORIGINAL NOKIA UNIT NORMAL HP SECOND JADUL UNIK LANGKA
Rp
450.000
Produk Baru
1 Terjual
Besok
Bandung",https://shopee.co.id/NOKIA-N82-XENON-FLASH-ORIGINAL-NOKIA-UNIT-NORMAL-HP-SECOND-JADUL-UNIK-LANGKA-i.1264728516.49304414786?extraParams=%7B%22display_model_id%22%3A234637932882%2C%22model_selection_logic%22%3A3%7D&sp_atk=4e963062-1780-44ed-9540-7d42c1c038a3&xptdk=4e963062-1780-44ed-9540-7d42c1c038a3
https://down-id.img.susercontent.com/file/id-11134207-7rasd-m1zkur3egzhk87,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA JADUL 1280 SCOND HITAM CELL20,Rp,34.300,3.9,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,29 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
NOKIA JADUL 1280 SCOND HITAM CELL20
Rp
34.300
-2%
3.9
29 Terjual
Besok
Kab. Cirebon",https://shopee.co.id/NOKIA-JADUL-1280-SCOND-HITAM-CELL20-i.783717747.25787782644?extraParams=%7B%22display_model_id%22%3A217930971937%2C%22model_selection_logic%22%3A2%7D&sp_atk=a2ca92cc-317a-4bb1-84af-e379a8ff4807&xptdk=a2ca92cc-317a-4bb1-84af-e379a8ff4807
https://down-id.img.susercontent.com/file/id-11134207-7rbk5-mawhf9hau99n20,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,Nokia 106 RM- 962 Normal second,Rp,44.900,4.7,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,11 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,-1%,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/b4d1b8a78b3621dbdf4a.svg,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia 106 RM- 962 Normal second
Rp
44.900
-1%
4.7
11 Terjual
2-6 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-106-RM-962-Normal-second-i.1054277163.23581868938?extraParams=%7B%22display_model_id%22%3A305361646976%2C%22model_selection_logic%22%3A2%7D&sp_atk=21dab7e4-9515-4412-b478-4886aa8e3f33&xptdk=21dab7e4-9515-4412-b478-4886aa8e3f33
https://down-id.img.susercontent.com/file/722e4db17df92806813dcb46545561cc,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,NOKIA C3-00 SECOND ORIGINAL,Rp,178.500,4.6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,127 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Indramayu,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
NOKIA C3-00 SECOND ORIGINAL
Rp
178.500
4.6
127 Terjual
4-7 Hari
Kab. Indramayu",https://shopee.co.id/NOKIA-C3-00-SECOND-ORIGINAL-i.185807864.7362044762?extraParams=%7B%22display_model_id%22%3A177804186241%2C%22model_selection_logic%22%3A3%7D&sp_atk=001e5093-b409-4cd3-bc41-ee6723efa33d&xptdk=001e5093-b409-4cd3-bc41-ee6723efa33d
https://down-id.img.susercontent.com/file/id-11134207-7r98o-llr6c4pq3d70c3,https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5,nokia tipe 210 versi 2019 ory second,Rp,170.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Purwakarta,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/a425c915798471b33e5d.png,,,"Scrape to BigSeller
nokia tipe 210 versi 2019 ory second
Rp
170.000
1 Terjual
2-3 Hari
Kab. Purwakarta",https://shopee.co.id/nokia-tipe-210-versi-2019-ory-second-i.390708010.21184230882?extraParams=%7B%22display_model_id%22%3A49699827647%2C%22model_selection_logic%22%3A3%7D&sp_atk=6f2ccf15-0f1a-4da1-b17a-558481ccd3e1&xptdk=6f2ccf15-0f1a-4da1-b17a-558481ccd3e1
https://down-id.img.susercontent.com/file/id-11134207-822wt-mn41pcmfg45i04,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Nokia 105 King TA-1174 Siap Pakai Ponsel Second Support All Operator Ponsel Bekas Pakai,Rp,65.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,3-6 Hari,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,,"Scrape to BigSeller
Nokia 105 King TA-1174 Siap Pakai Ponsel Second Support All Operator Ponsel Bekas Pakai
Rp
65.000
3-6 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-105-King-TA-1174-Siap-Pakai-Ponsel-Second-Support-All-Operator-Ponsel-Bekas-Pakai-i.1048231247.19482689980?extraParams=%7B%22display_model_id%22%3A247455258154%2C%22model_selection_logic%22%3A2%7D&sp_atk=290dc05b-6d40-426f-9b52-5d886c8e0689&xptdk=290dc05b-6d40-426f-9b52-5d886c8e0689
https://down-id.img.susercontent.com/file/4c21319176538d0e3872abb18bd10314,https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04,Nokia jadul 105 seken / second,Rp,35.000,4.5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/76dff349290d20891fc1.svg,94 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Kab. Cirebon,,,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/d7099d3fd1dfdaf705ab.svg,"Scrape to BigSeller
Nokia jadul 105 seken / second
Rp
35.000
4.5
94 Terjual
9-15 Hari
Kab. Cirebon",https://shopee.co.id/Nokia-jadul-105-seken-second-i.221683098.11751521953?extraParams=%7B%22display_model_id%22%3A67354521413%2C%22model_selection_logic%22%3A2%7D&sp_atk=f2a35d7b-8bd2-4e38-b473-c82a46e4b37e&xptdk=f2a35d7b-8bd2-4e38-b473-c82a46e4b37e
https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m6drld4bn4rsb5,https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13,Hp Nokia E7 jadul mulus,Rp,525.000,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/38e203dc86172a6c6560.svg,1 Terjual,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/5dd7b4560d0e2d3190e8.svg,Jakarta Pusat,-36%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,Besok,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.8/pc/0614b8f0a8fdde22942d.svg,"Scrape to BigSeller
Hp Nokia E7 jadul mulus
Rp
525.000
-36%
1 Terjual
Besok
Jakarta Pusat",https://shopee.co.id/Hp-Nokia-E7-jadul-mulus-i.62862844.26876570866?extraParams=%7B%22display_model_id%22%3A138330001751%2C%22model_selection_logic%22%3A3%7D&sp_atk=40917652-47b3-47ed-80d8-32f1a228d12d&xptdk=40917652-47b3-47ed-80d8-32f1a228d12d
