web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777282176-1","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Workplus AI Ryzen 7 225 8GB/512GB 14"" inch FHD+ 16:10 IPS Dual Cooling System Laptop Notebook Free Windows 11 Garansi Resmi 2 Tahun","9.779.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777282176-2","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan Laptop 2 in 1 Evo-X 13""Inch Intel N100/12GB LPDDR5/512GB SSD/Intel UHD/WIN 11/1y/13"" 2.5K Touch/2.4G/5G WiFi/Metal Body/5000mAh/Stylus+Keyboard","7.499.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777282176-3","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP BARU ADVAN WORKPRO LITE INTEL CORE I3-1220P INTEL UHD RAM 8GB DDR4 SSD 256 14INCH FHD","4.613.370","","","","Kota Surabaya"
"1777282176-4","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop WorkMate | AMD Ryzen 5 3500U / Intel i3-1215U | 14 Inch FHD+ 16:10 IPS | 8GB/256GB Upgradable | WIFI 5 | Garansi Resmi 1 Tahun","6.199.000","4,8","Terjual 47","Kab. Tangerang","Advan Laptop Flagship Store"
"1777282176-5","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop Soulmate PLUS AMD RYZEN 5 3500U 8GB 256GB W11","4.375.000","","","","Kota Surabaya"
"1777282176-6","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan 360 Go Ryzen Notebook Touchscreen New Original Garansi Resmi","5.639.000","","","Kota Bekasi & kota lainnya","CA Shop Flagship Store"
"1777282176-7","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP ADVAN WORKMATE R5-3500U/8/256/W11/GREY / LIGHT BLUE","5.759.000","5","Terjual 2","Kota Bandung","Funan Van Java Flagship Store"
"1777282176-8","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan WorkPlus Heritage/AMD Ryzen 5-7535HS/8GB DDR4 (Upgrade)/512GB SSD (Upgrade)/AMD Radeon 660M/WIN 11/14"" WUXGA (16:10)","7.459.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777282176-9","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan T. Book -8GB + 128GB +SSD 256GB","4.403.000","","","Kab. Kudus","Sinar Jaya Comp Flagship Store"
"1777282176-10","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD","3.750.000","","Terjual 1","Kota Yogyakarta","Wisno Grahakom Flagship Store"
"1777282176-11","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan Soulmate X2 AMD Athlon SIlver N3020 8G 128SSD","3.700.000","","","Kota Bandung","Mediatouch Computer Flagship Store"
"1777282176-12","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop ADVAN Workmate Amd Ryzen 5 3500u 8GB 256GB 14'' FHD+","5.713.000","5","Terjual 1","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1777282176-13","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop ADVAN Soulmate X AMD 3020e RAM 8GB 128GB SSD Windows 14 Inch FHD","3.634.000","","","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1777282176-14","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan Soulmate X RAM 8/128GB + 4/128GB Notebook AMD Windows Home New Original Garansi Resmi","3.339.000","5","Terjual 6","Kota Bekasi & kota lainnya","CA Shop Flagship Store"
"1777282176-15","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan TBook Notebook - Dark Grey (Intel Celeron N100 / 4GB / 128GB (Upgradabe) / 14"" HD / Free Windows 11","4.249.000","","","Blibli Video Games Flagship Store","Disediakan Blibli"
"1777282176-16","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan WorkPlus Heritage reguler /AMD Ryzen 5-7535HS/16GB DDR5 (Upgrade)/512GB SSD/AMD Radeon 660M/WIN 11/14"" WUXGA (16:10)","8.409.000","5","Terjual 1","Kota Bandung","Funan Van Java Flagship Store"
"1777282176-17","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop 360 Stylus PRO Intel Core i3-1215U/8GB/256GB SSD/Intel UHD/WIN 11/14"" FHD IPS Touch (16:10)/Stylus","6.409.000","","Terjual 1","Kota Bandung","Funan Van Java Flagship Store"
"1777282176-18","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Workmate Ultra Intel Ultra 5 115U Laptop Notebook Free Windows 11With AI Boost NPU 8GB/256GB 14"" inch FHD+ 16:10 IPS","8.099.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777282176-19","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan TBook Notebook - Grey (Intel Celeron N100 / 4GB / 128GB (Upgradabe) / 14"" HD / Free Windows 11","4.249.000","","","Blibli Video Games Flagship Store","Disediakan Blibli"
"1777282176-20","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop ADVAN Workmate AMD Ryzen 5 3500U 8GB 256GB Window 11 Home 14.0 UWUXGA IPS","5.915.000","","Terjual 2","Kota Jakarta Barat","Paradisestore.id Flagship Store"
"1777282176-21","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan Workplus RAM 16GB 512GB Notebook Intel i5 Gen 12 Windows 11 New Original Garansi Resmi","7.839.000","","","Kota Bekasi","CA Shop Flagship Store"
"1777282176-22","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP ADVAN T-BOOK TRANSFORMER : INTEL N100,4GB DDR4,128GB EMC,WIN 11HOME,GREY","3.357.819","","","Kota Palembang","MDP SUPERSTORE Flagship Store"
"1777282176-23","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP ADVAN WORK PLUS HERITAGE SILVER AMD RYZEN 5-7535HS 8GB 512GB WIN 11 HOME TANPA OFFICE NO OHS 2021","7.478.000","","Terjual 2","Kota Surabaya","ExpoComp Flagship Store"
"1777282176-24","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan Workplus Heritage RAM 8GB / 16GB 512GB SSD Notebook Ryzen Windows 11 New Original Garansi Resmi","7.839.000","","Terjual 2","Kota Bekasi & kota lainnya","CA Shop Flagship Store"
"1777282176-25","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop ADVAN 360 Go 4GB/256GB 14” AMD Ryzen 3 3200U FHD IPS Touchscreen Laptop 2-in-1 Notebook Flip Free Windows 11 Original - Grey, NON BUNDLING","5.544.999","","","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1777282176-26","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan Evo X 2 in 1 T25A-NSNS1 - N150 12GB 512GB W11 13-2K IPS Touch","7.200.000","","","Kota Bandung","Sakura Komputer Flagship Store"
"1777282176-27","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan TBOOK 8/384GB + 8/128GB + 4/128GB Notebook Intel N100 Windows 11 New Original Garansi Resmi","3.549.000","","Terjual 2","Kota Bekasi & kota lainnya","CA Shop Flagship Store"
"1777282176-28","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP ADVAN 2 IN 1 EVO-X GREY INTEL CORE i3-1215U 12GB 512GB WIN 11 16 INCH IPS 100% SRGB INCLUDE PEN TOUCH","7.655.000","","","Kota Surabaya","ExpoComp Flagship Store"
"1777282176-29","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP ADVAN WORKPLUS DARBOTZ(SILVER) AMD RYZEN 7 16GB LPDDR5,512GB SSD PCIE,RADEON GRAPHICS,FINGERPRINT,14""FHD IPS, WINDOWS 11","9.189.801","","","Kota Palembang","MDP SUPERSTORE Flagship Store"
"1777282176-30","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop 2 in 1 Evo-X 16 Intel i3-1215U 12GB/512GB 2K IPS Free Stylus + Keyboard","7.522.200","5","Terjual 14","Kab. Sleman & kota lainnya","Alyosha Flagship Store"
"1777282176-31","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan Laptop Workmate AMD Ryzen 5 3500U 8GB 256GB 14"" IPS FHD Windows 11","5.841.000","","","Kota Surabaya","Grosiria Flagship Store"
"1777282176-32","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop Workplus AMD RYZEN 7 7735HS 16GB 512GB 14'' FHD Work Plus","7.211.000","","Terjual 2","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1777282176-33","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop AI Gen Core Ultra 5 125H 512GB SSD 16GB RAM Arc Graphic Grey [Advan AI ULTRA 5 GREY]","9.480.404","","","Kota Surabaya","Grosiria Flagship Store"
"1777282176-34","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","LAPTOP ADVAN SOULMATE 1405","2.600.000","","","","Kab. Bandung"
"1777282176-35","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan Workpro Laptop i5 8/256GB | Intel Core i5-1035G7 | Garansi Resmi Advan Indonesia 1 Tahun","4.509.000","","Terjual 2","Kota Tangerang","Evogad Flagship Store"
"1777282176-36","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Workplus Heritage Batik AMD Ryzen 5 7535HS RAM16GB SSD1TB 14'' FHD IPS Windows 11","7.249.000","4,8","Terjual 25","Kota Jakarta Pusat","SKYNET COMPUTER Flagship Store"
"1777282176-37","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop 2 in 1 Evo-X 13 Intel N100 12GB/512GB 2K IPS 100% SRGB","7.202.790","","","Kota Bandung","Up To Date Computer Flagship Store"
"1777282176-38","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop 2 In 1 360 GO | Touchscreen | 14 Inch IPS FHD | 4GB/256GB | Windows 11 | Garansi Resmi 1 Tahun","4.999.000","","","Kab. Tangerang","Advan Laptop Flagship Store"
"1777282176-39","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN LAPTOP WORKMATE ULTRA | INTEL ULTRA 5 115U WITH AI BOOST | 14 INCH FHD+ 16:10 IPS | 8GB+256GB | FREE WINDOWS 11","8.199.000","","","Kab. Tangerang","Advan Laptop Flagship Store"
"1777282176-40","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","[FREE STYLUS PEN +KEYBOARD] ADVAN Laptop 2 in 1 EVO-X 16” / 13"" Touchscreen Detachable 2.5K Display Intel i3-1215U / Intel N100 12GB/512GB Windows 11","6.099.000","","Terjual 3","Kab. Tangerang","Advan Laptop Flagship Store"
"1777282176-41","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop 2in1 EVO-X 16”Touch Screen Detachable 2.5K Intel i3-1215U 12GB/512GB WIN 11 Free Stylus","7.399.000","","Terjual 2","Kota Jakarta Pusat","ANUGERAH DIGITAL Flagship Store"
"1777282176-42","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop WORKPLUS HERITAGE AMD Ryzen 5 7535HS 8GB 16GB 512GB SSD 14"" WUXGA W11 Silver [ADVAN WORKPLUS HERITAGE R5]","7.220.404","","","Kota Surabaya","Grosiria Flagship Store"
"1777282176-43","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop Gaming Pixwar Touchscreen | Ryzen 7 6800H | 16GB/512GB | Display 15,6 Inch FHD Touchscreen | Garansi Resmi 1 Tahum","9.199.000","","","Kab. Tangerang","Advan Indonesia Flagship Store"
"1777282176-44","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop 2 In 1 360 GO | Touchscreen | 14 Inch IPS FHD | 4GB/256GB | Windows 11 | Garansi Resmi 1 Tahun","4.999.000","","","Kab. Tangerang","Advan Indonesia Flagship Store"
"1777282176-45","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Laptop Workplus Heritage Ryzen 5 7535HS 16GB/1TB Desain Batik Megamendung 14"" IPS Full HD Plus WUXGA 1920x1200 Display 16:10 Windows 11","8.099.000","4","Terjual 1","Kab. Tangerang","Advan Indonesia Flagship Store"
"1777282176-46","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop ADVAN 360 Stylus PRO Intel Core i3-1215U 14”IPS FHD Touchscreen","6.625.000","","","","Kota Madiun"
"1777282176-47","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","NOTEBOOK ADVAN SOULMATE (BLACK) : INTEL N4020,4GB DDR4,128GB MMC,14"" DISPLAY,WIN 11HOME (+TAS)","2.396.601","","Terjual 1","Kota Palembang","MDP SUPERSTORE Flagship Store"
"1777282176-48","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD IPS","2.499.000","","","","Kab. Sleman"
"1777282176-49","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan 360 Stylus Pro Core i3 1215U 8GB 256GB W11 Home Grey","6.599.000","5","Terjual 2","Kota Denpasar","Blessing Computer Flagship Store"
"1777282176-50","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan Pixwar 16GB 512GB Notebook Ryzen 7 Windows 11 Gaming New Original Garansi Resmi","8.660.000","","Terjual 1","","Kota Bekasi"
"1777282176-51","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","NOTEBOOK ADVAN WORK PRO LITE (GREY) : INTEL CORE I3-1220P,8GB DDR4,256GB SSD,14""FHD DISPLAY,WIN 11 HOME","4.594.401","","","Kota Palembang","MDP SUPERSTORE Flagship Store"
"1777282176-52","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Laptop Advan 360 Stylus Pro Sketsa Notebook Flip 2in1 Tablet Touch New Original Garansi Resmi","6.580.000","","","","Kota Bekasi"
"1777282176-53","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Workpro Lite i3 1215U/8GB/256GB SSD/14""FHD/W11","4.829.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777282176-54","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan 2 in 1 Evo-X 13 Intel N150 12GB 512GB SSD 13"" IPS Touch SC W11","6.885.000","","","Kota Surakarta (Solo)","Risc Computer Flagship Store"
"1777282176-55","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN AI-GEN - AMD Ryzen 7 8845HS 16GB SSD 512GB 780M W11","9.399.000","","","Kota Surakarta (Solo)","Risc Computer Flagship Store"
"1777282176-56","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","ADVAN Workplus R7 7735HS/16GB/512GB SSD/14"" FHD IPS/W11","9.139.000","","","Kota Medan","SOFTCOM Flagship Store"
"1777282176-57","https://www.blibli.com/cari/laptop%20advan?brand=Advan&sort=0&category=LA-1000004&category=LA-1000005&intent=false&firstLoad=false&page=10&start=360","Advan WorkMate i3 Grey [Intel Core i3-1215U 8GB 256GB SSD 14""FHD+ IPS Intel Graphics Windows 11 Garansi 1 Year] | Pegacare+","5.758.000","","","Kota Yogyakarta","Pegastore.id Flagship Store"
